id,price,moonRank,💎 score (%),storeURL,ARTIFAKT,Colormap,Form,Geometry,Scalar,Skeleton,Skew,Skin,Spike,Swell,Twist,Weld
76,1.5,281,80.38,https://magiceden.io/item-details/7vTFN5TWyx3WA3F7T7o3KSTTV6EwKpct2maT8nD8koPt,Temple of Concordia,Aubergine,Geometric,Torus,Verticality,,,,,,,
80,1,1420,54.49,https://magiceden.io/item-details/DiXaCw7UVKxfE3oj1jYppnC3JqFvdzCohgMa8vLUW4xj,Herstmonceux Castle,Plasma,Voxel,,Planarity,,,,,,,
97,1000,48,0,https://magiceden.io/item-details/Ex2GWxz4yDhsmqdWENWWRCpcLVybQ8NmLzQP17CrRhwA,99 Domes Mosque,,Mesh,,,,,Bifrost,,,,
194,0.5,528,83.68,https://magiceden.io/item-details/7LMxJAzXG4vD3tpQ1hdxpDmv3qQK7tmvgh4okg7KiisB,Temple of Kukulcan,Thrust,Geometric,Cube,Illuminance,,,,,,,
315,0.45,1079,69.24,https://magiceden.io/item-details/HrKvyc9tjgiF5WwiypmAEDrzEHJUpuQnv4JJBbCpYmAr,Belem Tower,Thermal,Wireframe,,Illuminance,,,,,,,
326,2,1175,51.14,https://magiceden.io/item-details/544YhwGfFKA2c2BDiW6B7LegxngsmWxkuNRa7KRsyGeA,Peterborough Guildhall,First Contact,Cloud,,Planarity,,,,,,,
328,0.3,1426,61.33,https://magiceden.io/item-details/AHgkkR9hD9ewxcHeb91Z1HWuQaG8fCDMv9sNLrsvf966,Temple of Kukulcan,Nipy Spectral,Cloud,,Planarity,,,,,,,
330,0.9,1292,58.96,https://magiceden.io/item-details/7Hz6HQMUHHq6mW4LeQxEJT1tLc1GDY7yA8mTS3B6S7dR,Torre de Aragon,Tango,Wireframe,,Verticality,,,,,,,
388,1.25,280,82.91,https://magiceden.io/item-details/3VnhX7Cui92N2iVnSs1JFUyu2zmg8q7FGMJe2nYQBYSg,Temple of Concordia,Pizza,Geometric,Cone,Planarity,,,,,,,
516,0.5,155,93.8,https://magiceden.io/item-details/5x21qdr7pau38PkBzV5Ca6PBJapyDsU22FXJEsHtDBbp,Puerta de Toledo,Electra Planet,Geometric,Triangle,Omnivariance,,,,,,,True
547,0.79,95,92.52,https://magiceden.io/item-details/GXa4tWfBZXFNBY2qNk57nMiwLQfQD1g6iVza5ZrefBqx,Umm an-Nar Tomb,Otono,Geometric,Cube,Illuminance,True,,,,True,,
576,23,1467,0,https://magiceden.io/item-details/EsWXDZ3Um2eWsoPFGbP2Zf7JatFMpTabNb9zoxHUP2o8,Temple of Kukulcan,Tango,Wireframe,,Verticality,,,,,,,
601,0.3,360,90.24,https://magiceden.io/item-details/J23r5ov1VaVcsr6b1AgeoZmBDpygob5vaFYpSZmxCNmY,Rinsi Church,Duality,Geometric,Icosphere,Linearity,,,,,,,
604,0.39,758,78.54,https://magiceden.io/item-details/7rpuSpJbcUX66GtjeYqtodaVQa9BvPJ7jUJvXsLrKjtJ,Herstmonceux Castle,Crayon Crush,Voxel,,Verticality,,,,,,,
610,0.3,522,85.84,https://magiceden.io/item-details/73xEknceS2m9Jx9i6jPizZW94VgwnfZsgGKxoynCWXbB,Evju Bygdetun Stabbur,Vapor Shade,Geometric,Cube,Omnivariance,,,,,,,
616,0.99,1232,59.69,https://magiceden.io/item-details/FAfhGxmaLTysrwLm7aN6JQ9o9A8SQX5X2QdcSdRamJsp,Umm an-Nar Tomb,Terra,Voxel,,Omnivariance,,,,,,,
639,1.1,765,71.25,https://magiceden.io/item-details/Eut3tPkH9ejUvCgqDXzLeeVU9srPVVbPdn5VttHidVmg,Evju Bygdetun Stabbur,White Walker,Cloud,,Omnivariance,,,,,,,
680,1.75,431,73.81,https://magiceden.io/item-details/5UKnDUyJfydEMV5dW9rtApUqvwVHYh4DXBHnnMA2g3Qo,Evju Bygdetun Stabbur,Gemini,Geometric,Triangle,Illuminance,,,,,,,
747,0.3,1124,69.52,https://magiceden.io/item-details/FXpmfs527M2bDQdYJrupUgBeHpWEv5EMT6k4G34apghb,Umm an-Nar Tomb,Pizza,Cloud,,Omnivariance,,,,,,,
758,5,60,51.37,https://magiceden.io/item-details/FP2kogCVJDXsknw9W6Tk5XrxZKurzRwU7jbeyCoZ7Z5g,Umm an-Nar Tomb,Gelato,Geometric,Tetrahedron,Omnivariance,,,,True,True,,
763,0.9,307,85.67,https://magiceden.io/item-details/Ed1D89UZFs4htqFd4ZnLQMyegA5DwYsVGobu4E2a5v1A,Temple of Concordia,Tango,Geometric,Triangle,Planarity,,,,,,,
772,3.5,763,47.31,https://magiceden.io/item-details/2D6Y4sTpqn2Ch9HuSFfvJs8knrTZVqeE8RE2ucKRiWXN,Heddal Stave Church,Balsamic,Cloud,,Illuminance,,,,,,,
779,0.5,461,85.5,https://magiceden.io/item-details/6rsBdk5jaTDapjjWftvaJ8PXRUzecREL2YJFEP6iZwpp,Puerta de Toledo,Tango,Geometric,Cone,Planarity,,,,,,,
797,0.769,1087,65.83,https://magiceden.io/item-details/Gu7Mg9W49f7uhbDS6e977n6gR7FQTur3R5rq1oPEDhvL,Linji Huguo Chan Temple Sanmon,Otono,Cloud,,Verticality,,,,,,,
798,1,782,71.79,https://magiceden.io/item-details/7y3Kmu9MPmY86zCjKFGvJbH9QcqEATCztGukC2eSJTUE,Heddal Stave Church,Balsamic,Cloud,,Linearity,,,,,,,
822,0.45,907,73.9,https://magiceden.io/item-details/AZNkvr8SeoHfuM2oApFekarqeE5pSHkZJGvpz9zhEbDb,Belem Tower,Hi-C,Cloud,,Linearity,,,,,,,
825,1.25,748,70.22,https://magiceden.io/item-details/8ZPcNee6RnNAkmTAkdPyLRoErjP3Uuqh7Gy26c4xvvgB,Rinsi Church,Thrust,Wireframe,,Linearity,,,,,,,
867,1.13,214,85.9,https://magiceden.io/item-details/7iQM2TanK3rNd1qNdmQYHqz5fRamhVoei875nXSxbjAD,Salomons Stables,Hi-C,Geometric,Icosphere,Verticality,,,,,True,,
871,1.2,1144,59.98,https://magiceden.io/item-details/B34Q3ZynT1xRRzPjnnownWjyLTU6zAZG55Y3jYCse8CJ,Belem Tower,Hi-C,Wireframe,,Planarity,,,,,,,
889,1.5,1196,55.57,https://magiceden.io/item-details/4cgJZam6SS1FjrWGFH1pwwZRX6vKJtaeDRSwvPqPxK9a,Peterborough Guildhall,Fusion Factory,Wireframe,,Omnivariance,,,,,,,
892,0.7,646,78.48,https://magiceden.io/item-details/DFhgFMVPjJkk2EGjeHKHGHCs3pTdmJCkT28ToEv5Kxxf,Temple of Kukulcan,First Contact,Geometric,Tetrahedron,Linearity,,,,,,,
899,0.439,1225,65.39,https://magiceden.io/item-details/BjJVVoHyJUWf98jmBx6BQDXb3fw7nyMbvRgmeBUKBJ6G,Puerta de Toledo,Vapor Shade,Wireframe,,Planarity,,,,,,,
914,0.38,1475,59.2,https://magiceden.io/item-details/Acz4vQis386axt5nd1GazKtPABmf4xr1EEDGVtuaZWHR,Salomons Stables,Gemini,Wireframe,,Omnivariance,,,,,,,
965,2,420,71.61,https://magiceden.io/item-details/8DZdSwGRKBDs5KCuH9G6xnVhWzWef1ur995Z3BeB4iNL,Peterborough Guildhall,Pizza,Geometric,Icosphere,Illuminance,,,,,,,
974,7,6,32.84,https://magiceden.io/item-details/BfUpqnuN8UG14E5YThNXHXwthqsNhDrJPiMR2shd5bKs,Torre de Aragon,SpaceGhostPurrp,Geometric,Triangle,Verticality,,,,,True,,True
984,6666,965,0,https://magiceden.io/item-details/2qSyj6JoRwoMFtADbgym5VhpirrsUTvoBRTF2Pqev1ja,Umm an-Nar Tomb,Fusion Factory,Cloud,,Illuminance,,,,,,,
991,0.95,433,81.76,https://magiceden.io/item-details/EfGtjL7hd6jv6xPZgVgi3SsNoaZZ6GE4ENRsCUxtUrKa,Torre de Aragon,Gelato,Geometric,Torus,Illuminance,,,,,,,
1017,0.5,862,74.62,https://magiceden.io/item-details/D67phtwTnxiQgqAgR9oMHsfLcnbeYtTcCKGEU3NjLKZZ,Herstmonceux Castle,Mango,Voxel,,Verticality,,,,,,,
1069,0.6,799,75.33,https://magiceden.io/item-details/EzBbgtLqKoVNLpDxZUuJuKKGXcWa1AVrTKJvBueCKaTp,Umm an-Nar Tomb,Turbo,Cloud,,Illuminance,,,,,,,
1074,0.55,438,85.62,https://magiceden.io/item-details/Cad8RUKg8Q8EZprccVHRdNSxdpBvYPeiDqWVGHShrpZp,Belem Tower,Hot Steel,Geometric,Cylinder,Illuminance,,,,,,,
1121,0.79,460,82.63,https://magiceden.io/item-details/HGWmGJexCaRTz21cE9uWKroch9K3Y2Ra6jn8CrfNy1CJ,Salomons Stables,Otono,Geometric,Cone,Planarity,,,,,,,
1127,1.5,480,74.98,https://magiceden.io/item-details/2Uy7ZnUWNkcPtZmyotTqsjMj1rGBAWYCXTPgR3N8PYk8,Temple of Kukulcan,Aubergine,Geometric,Torus,Omnivariance,,,,,,,
1133,1.2,295,83,https://magiceden.io/item-details/BeG6ydt8hHhsk6CZUop3QLJ9g1UEfLYcafWyb9NfFFyd,Evju Bygdetun Stabbur,White Walker,Geometric,Cone,Verticality,,,,,,,
1181,1,751,72.63,https://magiceden.io/item-details/2dNW6QxY8NQYD3gQWQb6THRsJf4rTWwr4fNJd9XNRmhA,Rinsi Church,Crayon Crush,Voxel,,Illuminance,,,,,,,
1189,0.45,1036,70.41,https://magiceden.io/item-details/AtWZeVPmHGZNjwSDAA2xDCZxjsJpjke689T9aoQtGeu5,Puerta de Toledo,Mango,Wireframe,,Linearity,,,,,,,
1204,1,1473,53.05,https://magiceden.io/item-details/5NZYUzR2kNcdNYsRrpdhAGyC1fCKC4gnUZsfU3UDfQ2,Umm an-Nar Tomb,Gemini,Wireframe,,Illuminance,,,,,,,
1219,0.35,1398,61.59,https://magiceden.io/item-details/Fi7JJYtwTT1YcqWmknQtp8Q3E8z67mQhqczvj87zg8JU,99 Domes Mosque,Tango,Wireframe,,Omnivariance,,,,,,,
1234,0.69,503,82.46,https://magiceden.io/item-details/9h7qi3Xuw5h8nMRfCEi7RjEucqsZT4zcKMjxdbRRmTBq,Puerta de Toledo,Gemini,Geometric,Icosphere,Omnivariance,,,,,,,
1266,1,1329,56.96,https://magiceden.io/item-details/6gnvNCdkxKUYZTecb5PyXaZG34VAN9r6EfwKcepGtctk,Heddal Stave Church,Drip,Voxel,,Linearity,,,,,,,
1270,0.5,186,92.96,https://magiceden.io/item-details/DbsZRQbWiPZV6pmvh7y6V19Vmpa8wUPx8veiSxfc1n9G,99 Domes Mosque,Fusion Factory,Geometric,Tetrahedron,Illuminance,,,,True,,,
1317,1.5,1260,53.83,https://magiceden.io/item-details/3VhzbMmdavrKFFcwQHem7hCwowiescLVN9x9YwkVbFQu,Puerta de Toledo,Aubergine,Wireframe,,Linearity,,,,,,,
1320,1.4,847,66.03,https://magiceden.io/item-details/BmpugnkXYpFVZS98M7e5Y7LoD8jNP59ve5mNYVoXFuEw,Herstmonceux Castle,Virid,Voxel,,Illuminance,,,,,,,
1341,0.88,348,84.76,https://magiceden.io/item-details/4rGb6G8Nm2Ujxv9hTm42DYdBAfCRZFL99bop7aixYAm6,Torre de Aragon,Fusion Factory,Geometric,Triangle,Omnivariance,,,,,,,
1344,1.42,1442,49.69,https://magiceden.io/item-details/5yGVabd5YadoYjQkAwsLGvaPV6iPHbmJiRfmjd54MFtx,Temple of Kukulcan,Balsamic,Voxel,,Omnivariance,,,,,,,
1361,1.1,995,65.02,https://magiceden.io/item-details/2wE8s2RCtPTS9ouyLAT19JwDPEdE765otorHqzkfUHD3,Umm an-Nar Tomb,Hi-C,Wireframe,,Verticality,,,,,,,
1363,0.3,948,74.29,https://magiceden.io/item-details/7TueLFu32R4a9tfJVf1ALA7GxWC3qxAduLYs1e1WVFbb,Bajra Sandhi Monument,Hot Steel,Cloud,,Linearity,,,,,,,
1364,1,1370,55.85,https://magiceden.io/item-details/DWBXtiFdxeqnMMsby4Dx9LG3CczKMsvcuFQTsMr3Me3a,Temple of Kukulcan,Pizza,Voxel,,Linearity,,,,,,,
1381,0.33,598,83.48,https://magiceden.io/item-details/VGpV94r5fxJW9qK4jC5jyuGkYTg7ZkLLu3v6u72trhE,Rinsi Church,Tango,Geometric,Cube,Planarity,,,,,,,
1385,0.3,1008,72.66,https://magiceden.io/item-details/2iaroZrsnohRhpQz5PwH8KsanwgoDS5t1yEYUovCtoyj,Peterborough Guildhall,Electra Planet,Wireframe,,Verticality,,,,,,,
1397,4.2,357,51.32,https://magiceden.io/item-details/A5ZJ5F2KLXfX5JFLH9sqvvcX2MiUZxQvWwqBwdMrAfAT,Bajra Sandhi Monument,Mango,Geometric,Icosphere,Omnivariance,,,,,,,
1407,0.3,337,90.86,https://magiceden.io/item-details/ARRF693FtPsHm9ZMGQsipupgAyfRir5XHn1FCxS4A8sP,Peterborough Guildhall,Thrust,Geometric,Icosphere,Linearity,,,,,,,
1409,0.4,1187,66.81,https://magiceden.io/item-details/7ngGCPaSnQfBTJ5jofqVycbFBNd97U6EWsRKV5DWPTjW,Torre de Aragon,Balsamic,Voxel,,Linearity,,,,,,,
1464,0.78,1140,64.28,https://magiceden.io/item-details/C2SM9RxfkhEvWiwSNsbjyHC4qFcVwf5trotNCwVs9G2b,Rinsi Church,Event Horizon,Cloud,,Planarity,,,,,,,
1468,0.45,545,83.72,https://magiceden.io/item-details/C1DhTo2cRpkbVXP4Dfp7EodNhrt1dEDmifqmHoRdMkNo,Herstmonceux Castle,Mango,Geometric,Tetrahedron,Illuminance,,,,,,,
1472,0.78,752,74.81,https://magiceden.io/item-details/Gt5M3Qwya8mHsw9tGPSYapi7MaZbCp4MEPjJiQcuFK5z,Rinsi Church,Turbo,Voxel,,Illuminance,,,,,,,
1478,1,1074,63.87,https://magiceden.io/item-details/HcfeKg7LpqfpkCkU6TpxhPJbrfrJpWJ4ASt5DbvBhapc,Torre de Aragon,Balsamic,Wireframe,,Verticality,,,,,,,
1488,2.5,79,75.86,https://magiceden.io/item-details/D7yzRJBy2gbZRU7vipSMbz3oF1kwvRaaVJcYw9PGcBAx,Rinsi Church,First Contact,Geometric,Tetrahedron,Linearity,True,,,,True,,
1489,2,133,79.39,https://magiceden.io/item-details/DHkHNkN9DZpcHM9TG2DntdrzNqDJPJ5FYxqpd3LBaAZv,Peterborough Guildhall,,Mesh,,,,,Emerald,,,,
