id,price,moonRank,💎 score (%),storeURL,acc_A,acc_B,background,cap_A,cap_B,cap_C,eyewear_A,eyewear_B,eyewear_C,helmet_A,helmet_a,helmet_B,helmet_C,helmet_D,helmet_E,helmet_F,mouth_A,mouth_B,mouth_C,mouth_D,skin_A,skin_B,skin_C,skin_D,teeth_B,teeth_C,top_A,top_B,top_C,top_D
1,201,1,0,https://alpha.art/t/7VjWe1tQtwQSTSWUnGfF6pL5k64benFf1GCR4Lg4oARH,,,gold,crown,,,bitcoin,,,,,,,,,,,gold_bone,,,,gold_B,,,B_diamond,,gold,,,
42,0.45,957,85.79,https://magiceden.io/item-details/7xF7GHBoJXpgnUPRZBbtXT7c5MxmgRyWHKHzUNtD1Tau,none,,orange,,,,ess_glasses,,,fire_man,,,,,,,,,,,,,purple_C,,,C_combination,neon_black,,,
56,0.45,29,97.08,https://magiceden.io/item-details/EX84hjcgmQswbfQBg5GLTT9cCoyhFmxFn6jbK2QpvpoF,,,pink,,fast_food,,ess_glasses,,,,,,,,,broken,,,,air_ape,,orange_blue_B,,,B_solana,,,fast_food,,
74,0.5,857,86.51,https://magiceden.io/item-details/5mn4uFa2KeGijednCetNBTXftEdA2fj42rejn4nMgncD,none,,mint,,,,safety_glasses,,,,,icecream,,,,,,dynamite,,,,purple_B,,,B_white_Chrome,,orange,,,
99,1,2162,65.64,https://alpha.art/t/FatXFBnxmewojobo9BvZUMGNyisHyeXDxkbPS3NLqtgM,none,,peach,,,,none,,,police,,,,,,,,,,,,,blue_C,,,C_white_gold,neon_purple,,,
119,0.5,1811,74.91,https://magiceden.io/item-details/7VxG3QFrvpFXj4QfFKiKETMgeJSiu7xTsMFcqYntczN3,,,lemon,,,captain,,,,,,banana,,,,,none,,,,black_A,,,,,,neon_green,,,
188,0.5,1719,76.02,https://magiceden.io/item-details/3Ro4LKKvpbx7HA6yzLGAwV3qNBQ7MEvgBkCFg553Rvhf,silver_ear_ring,,lavender,,,,none,,,pilot,,,,,,,,,,,,,olive_C,,,C_chrome,neon_purple,,,
244,0.402222222,179,95.73,https://magiceden.io/item-details/5JdwD29iXgt8KKUsAxv6ZrYyQTW1r4R6mQkEuhKWqtFL,gold_ear_ring,,lime,,,,,,none,,,,,,,broken,,Donut,,,,albino_blue_B,,,B_white,,neon_blue,,,
272,0.5,1813,74.88,https://magiceden.io/item-details/3x3TWjQ565aW8Fh5fuPxnxJAgczKswWxZ7z5PBmmk4Ax,,,orange,mine_helmet,,,sun_glasses,,,,,stickerbomb,,,,,none,,,,purple_red_A,,,,,,green,,,
305,0.75,2250,67.07,https://alpha.art/t/FoU3qsHTbheuoUvq9pGZJYgPp28fx7RX8KZzXBDuMWh8,,,sky,mine_helmet,,,none,,,,,bubble,,,,,,,,,,,purple_C,,,C_solana,green,,,
313,0.24,1937,75.97,https://magiceden.io/item-details/HioF1eJbng6qrzUHpJxtys9qMHNbqXvuTpUy2TA8qr4z,,,blue,mine_helmet,,,none,,,,,bubble,,,,,,none,,,,sky_B,,,B_white,,yellow,,,
321,0.2,1923,76.54,https://magiceden.io/item-details/DouUpzPJt4uDUWtqXFxoLG5GZrhKWv1SMnJoYMhNV7FA,none,,sky,,,,ess_glasses,,,viking,,,,,,,none,,,,albino_blue_A,,,,,,yellow,,,
337,0.23,1557,80.69,https://magiceden.io/item-details/J7uDwf1cpuqWxNgcPWnS39s4an4qvG6Rw6LpaGmFv5WJ,,,purple,headphone,,,sun_glasses,,,,,icecream,,,,,Bubble,,,,red_A,,,,,,green,,,
345,0.9,3032,56.06,https://magiceden.io/item-details/DdbV7ftWeqYg2TtrmK4uGEt9238VcqCQYU4qZZtNFMfM,silver_ear_ring,,lime,,,,none,,,,,bubble,,,,,,,,,,,black_gray_C,,,C_white,yellow,,,
357,0.25,2454,69.59,https://magiceden.io/item-details/3fEAekRpre7zNNLJJdDvZQoxqBKFwvRNoXm8Kz12sXTX,silver_ear_ring,,blue,,,,none,,,chef,,,,,,,,,,,,,orange_blue_C,,,C_white,black,,,
364,1.69,2649,52.81,https://alpha.art/t/4zZGUC5jDBKTYib2bzmmAWJS3ocgnsw6E6hcdCxkKaJi,,,grey,mine_helmet,,,none,,,,,banana,,,,,banana,,,,Broccoli_A,,,,,,purple,,,
368,0.6,103,94.68,https://magiceden.io/item-details/BVgb8orNiZaYuscnuXwtkaancWgQiCcyCpdKsZDzwdvh,,,purple,,fast_food,,none,,,,,,,,,broken,,,,air_ape,,black_gray_B,,,B_white_gold,,,fast_food,,
369,0.23,2510,69.1,https://magiceden.io/item-details/J9gRtJFJjRHe3KfFGQAxW1f8u8mVXUtJdZcu94Tyw6qo,,,violet,none,,,none,,,,,icecream,,,,,,,,,,,green_C,,,C_gold,red,,,
389,2.1,2573,49.64,https://alpha.art/t/5Ye8V9DRw6XMj8BiEpKYoHoqqSgeqRLp3Y1nDyovYY3,silver_ear_ring,,candy,,,,safety_glasses,,,,,stickerbomb,,,,,none,,,,green_A,,,,,,blue,,,
431,0.25,2128,73.55,https://magiceden.io/item-details/JDCRTcQkAJukKyVPHYU7Q2gZZfz9yNjVCr9KiMR9kDDM,none,,lavender,,,,none,,,,,icecream,,,,,,sushi,,,,red_B,,,B_white_Chrome,,green,,,
444,0.3,2189,72.31,https://magiceden.io/item-details/F4q4DeAK5ahHGoaFPExbmFHYtrzYSSaYdMwPHUgF3kf6,,,lemon,headphone,,,none,,,,,stickerbomb,,,,,,,,,,,leopard_C,,,C_white_Chrome,green,,,
470,1.3358,944,77.09,https://alpha.art/t/AFMjsEUpM9xtRQvGDuGqnJcBB8Eq3rZXsiXnZ1K1R11H,none,,pink,,,,gogle,,,police,,,,,,,,,,,,,black_gray_C,,,C_chrome,neon_blue,,,
494,0.65,740,86.43,https://magiceden.io/item-details/84vDzpS9q98sBnPNio2PCphmxBW7APRc9cpsH51BsKao,,,orange,mine_helmet,,,none,,,,,icecream,,,,,,bone,,,,albino_blue_B,,,B_white_gold,,neon_purple,,,
502,0.3,2378,70.01,https://magiceden.io/item-details/48ScAZjaTFQKCEHT6XzmJGZnoL4t456bXaQrnWpUCvps,silver_ear_ring,,peach,,,,none,,,taxi,,,,,,,none,,,,pink_blue_A,,,,,,purple,,,
519,1.65,2271,57.81,https://alpha.art/t/DnS1PNzLKuPuLiCcBnoWmp4dst23pg3FY4jj1inr5eGd,,,cerulean,headphone,,,none,,,,,stickerbomb,,,,,banana,,,,black_gray_A,,,,,,neon_purple,,,
532,0.4,1562,78.93,https://magiceden.io/item-details/7JFfrULY3HqXMyqozamCUKR23wmTTZQBGFHDnSttLwsq,silver_ear_ring,,candy,,,,,,star,,,bubble,,,,,none,,,,purple_red_A,,,,,,red,,,
533,0.3,1063,86,https://magiceden.io/item-details/CuAHXP334mXXY8gd31bNpEsSBjeZjXdL299Paiymh9xR,silver_ear_ring,,rose,,,,sun_glasses,,,captain,,,,,,,,,,,,,cow_C,,,C_white,purple,,,
567,0.68,2847,60.51,https://magiceden.io/item-details/5AMuDQzuH4tHF7e1rCEScsrVzoJ8wHeFHV5x3vXDkyQ8,none,,banana,,,,pixel,,,,,,,,drink_hat,,,,,,purple_A,,,,,,yellow,,,
583,0.35,1833,76.14,https://magiceden.io/item-details/6aD1WFSMDXCbgBttYgc2xE3QY9ZSXEq7e94TFS4T6LDT,,,grey,,,,,,,,,,,Ice_hockey,,,,,,,,,leopard_C,,,C_white,neon_black,,,
592,0.7,617,87.43,https://magiceden.io/item-details/AVood8QvQ34Khd9b1p5kmK81HpuWGCid8cVRupcSe7qF,silver_ear_ring,,ginger,,,,sun_glasses,,,,,stickerbomb,,,,,,taco,,,,red_B,,,B_white_Chrome,,green,,,
680,0.35,2260,70.94,https://magiceden.io/item-details/6kChv733ms6145Lw4UcivbeowK6rTECk9FgbNym6uPuH,none,,grey,,,,sleep_mask,,,,,bubble,,,,,,,,,,,golden_C,,,C_chrome,purple,,,
711,0.99,1930,68.56,https://magiceden.io/item-details/HkjpE9DP88aHHRLxjvwECNT7V5s2Qa5xWSE9z6mbYE1q,,,yellow,crown,,,none,,,,,icecream,,,,,none,,,,orange_blue_A,,,,,,orange,,,
719,0.99,253,88.95,https://magiceden.io/item-details/CcYPGyP5Kgx5iGNAbo5bpoLZLPyUViBvMfJTTZHPcPZ2,gold_ear_ring,,cerulean,,,,,none,,,,,,,,broken,,,banana_milk,,yellow_A,,,,,,neon_blue,,,
721,0.99,2491,61.74,https://magiceden.io/item-details/DFfqqrfWdiG2pR9kvvUWNLtu9bvoB55PiYxRDcPSTpvB,,,grey,,,,,,,,,,apetrooper,,,,,,,,green_A,,,,,,neon_blue,,,
762,0.78,3181,55.44,https://magiceden.io/item-details/ARwJwScb2Z1mxXEq9FTHVbQpiHETQqHnax6cbsxkyZEG,,,banana,,,,,,,,,,,Ice_hockey,,,,,,,red_A,,,,,,green,,,
773,0.85,126,91.9,https://magiceden.io/item-details/CQmBsDZ55w2bBwZkyTW7AM328QSE2tr2daYid7Lsxd2Y,,,ginger,,fast_food,,none,,,,,,,,,broken,,,,air_ape,,black_B,,,B_white,,,fast_food,,
785,0.35,56,97.75,https://magiceden.io/item-details/5wopZaJzPnZHJWkJvHXJNZEL1DE9bdoAN9Xxd8TmoTBM,,,blue,,fast_food,,swat,,,,,,,,,broken,,,none,,warrior_A,,,,,,,fast_food,,
789,0.25,1784,77.73,https://magiceden.io/item-details/3zqgLPHYsy36cFnVmF85JfhD9JnbVkYv5YfzGYKuZaSB,gold_ear_ring,,yellow,,,,none,,,pilot,,,,,,,,,,,,,olive_C,,,C_chrome,red,,,
