id,price,moonRank,💎 score (%),storeURL,Background,Cloth,Eyes,Hair,Hat,Mouth,Necklace,Skin,Type
13,65,3187,0,https://solanart.io/nft/5zE87qxmMNKJmgiEeuU7vqeXsbvRcNKgSpnaoiLcTWRT,Base Background,Jean Jacket,Viper Shades,No Trait,Twitter Hat,Lollipop,No Trait,Human,Aurorian
41,95,1730,0,https://magiceden.io/item-details/GFYBC2hAz3hUR3nSbKpDPuFFziPRY4ruSumCgNmhEdad,Base Background,Jean Jacket,Aave Glasses,Clementine Hair,No Trait,Cat Mask,No Trait,Solana Blob,Aurorian
138,43.99,8318,11.81,https://magiceden.io/item-details/6bsNxQwSpvV2K4eTAmHgJpPdy2Hw978p4za4bPncDSrj,Base Background,Black T-Shirt,Red Eyes,No Trait,No Trait,Cat Mask,Aurory Necklace,Human,Aurorian
193,51.400002,9943,0,https://solanart.io/nft/CQzsqqiWzWxNwant5iPYcGSNEdUSJ1SPjbQzYnbQvgt1,Base Background,Base Cloth,Base Eyes,No Trait,No Trait,Base Mouth,Solana Necklace,Human,Aurorian
194,46.69,4633,0,https://magiceden.io/item-details/F8chBzvVbuLqt7qqpVaiPucq4JC16FFNoLYW4HsXiEVV,Base Background,Black Hoodie,Base Eyes,Blob Hair,No Trait,Grin,Flower Necklace,Human,Aurorian
242,78,7750,0,https://magiceden.io/item-details/93pVGKtDs7fWemgD7S4bansEYS1euJ2s7nGq8gLrgMMR,Base Background,Overalls,No Trait,No Trait,No Trait,Base Mouth,Aurory Necklace,Solana Blob,Aurorian
264,150,5325,0,https://magiceden.io/item-details/CHsCB18hVsZ2K45Y68xXYanr2i811AuxnX5c1XzcRGa4,Base Background,No Trait,Viper Shades,No Trait,No Trait,Zipper Mask,Aurory Necklace,Solana Blob,Aurorian
295,111,7780,0,https://magiceden.io/item-details/9LXyRwqjkyXdxmVS7iPb4SoKqdgwfyKDyAB9W6qHn1Bv,Base Background,Base Cloth,Cat Green Pupil,No Trait,Phantom Cap,Base Mouth,Aurory Necklace,Human,Aurorian
321,68,2238,0,https://magiceden.io/item-details/7PrqbZH8Th6GE7UGA9pWUuDTgevKgRs2VEndc4E7iaQa,Base Background,Pink Stripes,Spring Glasses,No Trait,Big Crown,Cat Mask,Aurory Necklace,Human,Aurorian
321,68,2238,0,https://solanart.io/nft/7PrqbZH8Th6GE7UGA9pWUuDTgevKgRs2VEndc4E7iaQa,Base Background,Pink Stripes,Spring Glasses,No Trait,Big Crown,Cat Mask,Aurory Necklace,Human,Aurorian
342,70,3572,0,https://magiceden.io/item-details/EH4x1Lr7PooMXdpbjYcrbH7bStUvpC8FoNJephJhbjm4,Base Background,Base Cloth,Aurory Glasses,Green Hair,No Trait,Bane Mask,Shark Necklace,Human,Aurorian
368,59,6260,0,https://solanart.io/nft/4swM2QmfpWXizq8m31sGcjKxz83EneiswWpk3WiWBmXz,Base Background,Base Cloth,Blue Skull Glasses,White Hair,No Trait,Grin,Aurory Necklace,Human,Aurorian
380,60,8158,0,https://magiceden.io/item-details/CvKp3AHyJdBcKBMidvbLBQXpNtMw1sEwRjRebyRwgJ6b,Base Background,Base Cloth,Base Eyes,Blob Hair,No Trait,Barely Angry,Aurory Necklace,Human,Aurorian
455,54.5,4128,0,https://magiceden.io/item-details/HNu86i6L81pro6Eed5xGWH6TPYP8wJEzprVYe5pyjjsS,Base Background,Classy Outfit,Red Eyes,Undercut,No Trait,Angry,No Trait,Human,Aurorian
466,60,5371,0,https://magiceden.io/item-details/BS9owAFMPAGTeU7WKKzSy63CV7C42tCZZ1VZKb2nzDsC,Base Background,Overalls,Base Eyes,Playmobil,Twitter Hat,Base Mouth,No Trait,Human,Aurorian
479,65,8466,0,https://magiceden.io/item-details/6ouKop2FUxZhJxqtGezEsui54DfGwvNuu8h1WYEUobh6,Base Background,Jean Jacket,Base Eyes,Purple Dreadlocks,No Trait,Base Mouth,Aurory Necklace,Human,Aurorian
487,78,1704,0,https://magiceden.io/item-details/CkMCTskLV3znHLKomDDn2qz8HBmSihHfmFC9aWCueNTh,Base Background,Black Hoodie,Aurory Glasses,No Trait,Cute headphone,Base Mouth,Aurory Necklace,Solana Blob,Aurorian
488,70,5440,0,https://magiceden.io/item-details/2WFC8g9VMCnB1QCCrctxgtvm1hcTcRtZwTtfHTVF4A3m,Base Background,Leather Jacket,Base Eyes,No Trait,Twitter Hat,Base Mouth,Solana Necklace,Human,Aurorian
501,200,251,0,https://magiceden.io/item-details/G3HMJJtAG6LLfjkbTiZ2zgNJkt8oVnsJfQjZjAhS1eir,Base Background,Beetlefox Outfit,No Trait,Purple Dreadlocks,No Trait,Steampunk Mask,Shark Necklace,Solana Blob,Aurorian
565,40,5470,63.11,https://magiceden.io/item-details/E8rWsfJQRqZ44YPyu28FZvNjksbGhAUHjBX1UWi7ifLJ,Base Background,Base Cloth,Black Eyes,No Trait,Plague Hat,Base Mouth,Solana Necklace,Human,Aurorian
583,150,9994,0,https://magiceden.io/item-details/GKf4d1CwFNjzFXvN18PjjYcPDu78Q9we4iSpxXVL94cP,Base Background,Base Cloth,Base Eyes,No Trait,No Trait,Base Mouth,Shark Necklace,Human,Aurorian
584,69.9,5827,0,https://magiceden.io/item-details/9aL1e9b3pMPs5pY6ZizMJCQFQAGPZggVkRyG2JxZkHN9,Base Background,Puffy Jacket,Base Eyes,Pigtails,No Trait,Barely Angry,No Trait,Human,Aurorian
584,69.900002,5827,0,https://solanart.io/nft/9aL1e9b3pMPs5pY6ZizMJCQFQAGPZggVkRyG2JxZkHN9,Base Background,Puffy Jacket,Base Eyes,Pigtails,No Trait,Barely Angry,No Trait,Human,Aurorian
591,79,3566,0,https://magiceden.io/item-details/Axyd4hDdfcTeyrhrTMdLusVzJ6D54wzjKS1A9BaB1Pz9,Base Background,Yellow Stripes,No Trait,No Trait,Beret Hat,Base Mouth,Aurory Necklace,Solana Blob,Aurorian
592,88,1612,0,https://magiceden.io/item-details/F3cFmLj7QnRqAhHxZJUfwq8ZuSoA8xxXLu9a7ELQTxp5,Soft Blue,No Trait,No Trait,No Trait,No Trait,Plague Mask,Flower Necklace,Solana Blob,Aurorian
611,58,1502,0,https://magiceden.io/item-details/G5sdMhLvNnsv1UUr7FTGeBcPzNhUxz3hSSLM4DWLEJc7,Base Background,Overalls,No Trait,Zero Two Hair,No Trait,Steampunk Mask,Aurory Necklace,Solana Blob,Aurorian
621,51,9976,0,https://magiceden.io/item-details/FRjNC9tuBEbCCWgkN5R1UgExJqJ988KUwj28jbYx7Fog,Base Background,Base Cloth,Base Eyes,No Trait,No Trait,Plague Mask,No Trait,Human,Aurorian
644,69,4926,0,https://solanart.io/nft/2BMTEvjDTc53FifJiMVsP8GtCfYn67d5bsFc2d9XJ3o7,Base Background,Base Cloth,Red Eyes,No Trait,Big Crown,Oni Mask,Shark Necklace,Human,Aurorian
691,79,7313,0,https://magiceden.io/item-details/JAKeChtM9iTwhdafq5sjjxRFxHJpc3wmQNpb5t4qopKQ,Base Background,Base Cloth,Base Eyes,No Trait,Dragon Hat,Big Smile,Aurory Necklace,Human,Aurorian
691,79,7313,0,https://solanart.io/nft/JAKeChtM9iTwhdafq5sjjxRFxHJpc3wmQNpb5t4qopKQ,Base Background,Base Cloth,Base Eyes,No Trait,Dragon Hat,Big Smile,Aurory Necklace,Human,Aurorian
759,62,4690,0,https://solanart.io/nft/5xj5ofHwRgNd556qGmBC5ip285TN8f6uLGgPTgXkYWWZ,Base Background,Puffy Jacket,Viper Shades,Blob Hair,No Trait,Grin,No Trait,Human,Aurorian
767,69.989998,3677,0,https://solanart.io/nft/AL8WPCSFpJyxYKDw35eUoa8Z7MpvDqouyCQFs2b4zPZL,Base Background,Pink Stripes,No Trait,White Hair,No Trait,Base Mouth,No Trait,Solana Blob,Aurorian
