id,price,moonRank,💎 score (%),storeURL
24,0.05,590,67.59,https://magiceden.io/item-details/HQtZABh7DBRYCqKLAVALFwmkMaGe5Vk9xyjXdoXCQEv3
29,0.05,698,61.71,https://magiceden.io/item-details/2eeDGFQ3MpsiSCMcZthHFjRU8ykgTaRoZXFTtumeiuSP
32,0.05,595,67.32,https://magiceden.io/item-details/6hMD3qF33GxXLvyLBr96qKY8SGW3qf76yEtEyeTnrUbB
39,0.029,313,82.88,https://magiceden.io/item-details/62NigKJMxF8r75zhsWnbZDbdTwSXzx3ymn4buV759msp
43,0.5,508,67.55,https://magiceden.io/item-details/Coi72iJe2yLr8savc9QvnFwtZfpdGvANByVJR59QQG9U
51,0.5,706,56.78,https://magiceden.io/item-details/41d27Yza9mpx5eThdPcREMrJqER114KtsviVb8ptk6Hp
55,0.06,254,85.78,https://magiceden.io/item-details/DEWo2i6jVMM6bHRHznwXMfJHDAhDLnLBoXKvdLFbUC7s
62,0.06,579,68.09,https://magiceden.io/item-details/6WtCJY4N4DDGP9eiDUfnqfxPohWFodo95AS1FRcCGzPg
63,0.42,609,62.86,https://magiceden.io/item-details/VCVbAYSmqmSH236BKqNFmsmNCkUH2ZfYWHPA4k1C9Fz
74,0.02,326,82.26,https://magiceden.io/item-details/7AWDf5mSJ6qEvqqMrDuq9DhMVtZjZ4HBwBNf4tUhV9Mx
77,0.1,472,73.51,https://magiceden.io/item-details/HBYu1cnJTD8FKuYkkRVZ84ECKcQqCp6W6CX2yNUyPjuP
94,0.05,727,60.14,https://magiceden.io/item-details/CwQPZfS5UEwRiULsi161dSFe1od94jftGtySjqoL3sff
95,0.369,612,63.2,https://magiceden.io/item-details/6Cc8PE9nB31nVSSbSJCeQzcMBAVh3ZehkzVsAGzQonBx
113,0.03,448,75.52,https://magiceden.io/item-details/2V1aYtSAWKVByXf4xZG15wwDi8dFTpUZJvSTUR3nWXMT
119,0.5,406,73.1,https://magiceden.io/item-details/6Jpxu6Z3QxCb9E1wPE3rfWx4dJfWFhZgjrYRmV9qDe5
138,0.5,206,83.99,https://magiceden.io/item-details/C2SyzH8Yk3kmXia2UbZRb1TEZ5EhqkxuR7UgvKZoXLYM
141,0.04,129,92.78,https://magiceden.io/item-details/6e2GiV99HQNeduf8KCuDmSUjrYpFjU2dR8kcXGDwkPVb
183,0.5,16,94.33,https://magiceden.io/item-details/3w8Hm6ajtQMh1yuLsYTxj1Boq2oTQNo2A8DsCHDQdwvX
187,0.04,688,62.36,https://magiceden.io/item-details/9EQKahBM4XoJK1mqykWoWekFj7oQQ36EZrw7tRifsFH8
