id,price,moonRank,💎 score (%),storeURL,Cheek,Chest,Earpiece,Gradient,Headdress,Helmet,Jaw,Palette,Polish,Respirator,Shoulder,Tabard
0013,4,3684,63.39,https://magiceden.io/item-details/AogjjUpmo6VWHozGrvtsPvV8oFk6CuUr88FXNmhpLfkt,Arc-50,H Standard,Hermes,No,Splitter,Uniring,Commando,Forlorn,Stage 1,The Beak,Clockwork,Baseon
0063,4.2,1579,76.59,https://magiceden.io/item-details/f5Pxyt5yN1sTXbXsVCzVS9HonzRxCyACthxaTcJB4Z4,Big Dipper,H Standard,Frequency,No,Ridge,Exhibit,Cyltanks,Ocean Abyss,Stage 3,Brazier,Epaulettes,Shockwave
0154,35,5210,0,https://solanart.io/nft/DUA3KeojiRtV2SwLS6NcxkpBYt2dfCEPNwozn5Qp2iKt,W-Kit,Notched,Frequency,No,None,Center Stem,Conquistador,Superluminal,Stage 1,Support Cannisters,Clockwork,Control Panel
0197,4,5034,53.63,https://magiceden.io/item-details/og4FN3dLLBQQLU4FdKEMnWGctzrmKBb2KSfvLEqdCa9,W-Kit,H Standard,Hermes,No,Amygdalac,Prometheus,Exposed,Dirty Money,Stage 1,Quadic,Epaulettes,Baseon
0300,5,4512,47.4,https://solanart.io/nft/Fda7rzoUCSW8BDciCwAs2Vps68xaVwezSzAUdLVM7NfV,FE-TT,Uniplate,Grievance,No,Bi-Nocs,Code,Skirt,Apollo,Stage 1,Equalizer,Ergopads,Control Panel
0385,3.5,2119,79.69,https://magiceden.io/item-details/8N6us5Y9FwEL6WAxMFntyjiZpRYsf1mWgNWB6HhNuvwK,Revival,Shawl,Grievance,Yes,Splitter,RB-Fume,Second Wind,Anomaly,Stage 1,Quadic,Clockwork,Control Panel
0456,3,4374,68.4,https://magiceden.io/item-details/BMdjcfXxKG9DXGY8P1am6tmeyS7ESiaKGkisM49oTbtU,Big Dipper,H Standard,Frequency,No,None,Double Stripe,Analogue,Wasteland,Stage 1,AmoraTech: Ventilator,Discplate,Inner Rim
0619,3.25,607,93.11,https://magiceden.io/item-details/6KCpMj6kjhAJMNiqKXqecV8YpxVXk51aepQ3EbXmLwbi,W-Kit,Mondrimod,Magnesium,Yes,Ridge,Seer,Protector,Wyvern's Envy,Stage 3,The Iron Lung,Epaulettes,Baseon
0702,4.1,4555,56.09,https://magiceden.io/item-details/AnKGWUjXCUsmbxUUzCgLqcWtzHK9NReWfe42UPG5ibRi,FE-TT,Uniplate,Magnesium,No,Amygdalac,Double Stripe,Saturn,Yellow Jacket,Stage 1,Quadic,Armguards,Interlocked Baseon
0824,11,992,12.83,https://solanart.io/nft/FGV9nDFKjmh6UAEjg1bvJy2JUZCae8qJ7AKdV6RhBrxW,Lunular,Shawl,Plugin,No,Bi-Nocs,Code,Skirt,Starborn,Stage 3,AmoraTech: Capacitor,Epaulettes,Baseon
0994,4.2,4906,52.56,https://magiceden.io/item-details/45RHwoDEV9PMtsjNGkrNAsbDRcezTXudF2MYHbCz4MdW,Aero V,Shawl,Grievance,No,Splitter,Flush,Commando,Star Command,Stage 1,V Phase,Armguards,Baseon
