id,price,moonRank,💎 score (%),storeURL,Background,Body,Bodywear,Eyes,Eyewear,Headwear,Mouth,Topwear
12,1.99,946,46.99,https://magiceden.io/item-details/8rRiLDScFsRWB92bHkLPqiissPV12Lbj9yvjGe8Uz7QL,gold_gradient,mono,empty,angryfire,,pink_partyhat,baby,
24,0.16,1059,61.2,https://magiceden.io/item-details/8WmL5mpuEfxWhUx9MqxVbvzz5zTqNAiCr6M1j6kEDu2C,gold_gradient,cool,orange_hoodie,blank,,nothing,smirk,
41,1,977,55.77,https://magiceden.io/item-details/8uYhBtpFkPNTRRQDWfwDKXu6K1uuscBPfjsMZXru6GMK,gold_pattern,cool,empty,cute,,mix_beanie,zigzag,
67,0.49,859,65.15,https://magiceden.io/item-details/FRiNQNYMDEcyYqoaoaDYYEBDzbzmbbDTh1F8FYx5j8c1,gold_gradient,mono,brown_roman,wavy,,,blank,wizard_blue
71,2.5,109,72.25,https://magiceden.io/item-details/H2cbykntY5b34U7vfVTMuU4GCMz1UN28HXpB4yLhh3cj,pink_gradient,fire,orange_robe,sleep,,,gold_tooth,wizard_blue
74,1.9,122,77.78,https://magiceden.io/item-details/6cAuY9checceSv4h3JS2L17zHHXmn4sGoPwXwbzJdcNX,grey,albino,vibes,red,,gold_crown,baby,
97,0.45,99,93.11,https://magiceden.io/item-details/Ga4jTFYjQLPxA2FomQAUTJYXiUqvE2wCTPjT7UKtQJCs,violet_red,sol,green_roman,,orange_cyber,headset,smoke,
109,1.28,689,63.41,https://magiceden.io/item-details/4amCA324GiWsRXxEP3mLxiKkGRmpWLeX6KqDAoxVx6gj,blue_diagonal,mono,brown_roman,cute,,pink_halo,zigzag,
113,0.22,106,95.16,https://magiceden.io/item-details/Cp1AtdtVz5eLuS5Laj6isCRN4o47Km86UyfLAhjmTkRR,glitch_aqua,mono,brown_roman,orange_patch,,,smirk,wizard_blue
117,0.75,1023,56.6,https://magiceden.io/item-details/4m5WywXGjq91m6hvT5fB3iv1oadkhUc72baejogvhi3R,gold_pattern,cool,empty,moody,,gold_crown,wavy,
130,0.2,795,70.37,https://magiceden.io/item-details/2ujQQpKqmogExjQHKccj4SzF8HoYZ4QwGcfuVR93a2Ug,pink_dark_gradient,cool,green_roman,,orange_cyber,nothing,zigzag,
