id,price,moonRank,💎 score (%),storeURL,Face,Feet,Generation,Hat,Outfit,Pants,Rank,Skin,Type
00220,2.51,4208,58.06,https://solanart.io/nft/64GJ47tiJzb8oBTeh6Tm4NEGRjaxehvj9qurKXhYhyV6,Coolio,Black,Gen 0,Top Hat,Damaged,Chinos,,Pale White,Robber
00562,0.0274,6975,71.71,https://magiceden.io/item-details/GhDRgno7kNfGazVQfLJSHTGFqaxk8enHmKDQ42TRenw7,Balaklava,Orange,Gen 0,Wooly,Normal,Black,,Orange Tanned,Robber
00656,0.0275,9907,59.88,https://magiceden.io/item-details/8sCQ49Eo5ycAmUhteYFVw9WCvSsjqNa4vdi3jRTCg72i,None,Black,Gen 0,Wooly,Ripped,Chinos,,Yellow,Robber
00671,2.489,2588,64.81,https://solanart.io/nft/F4kGZE5913yjdzRLmEKh3n7e4XuRBk1qzpRTkC4cNt5x,Nerdy,Orange,Gen 0,Wooly,Turtleneck,Prisoners,,Pale White,Robber
00800,0.02,5365,78.29,https://magiceden.io/item-details/2XwWiWvVy8tmpwk7cnrjiDLfz4UHHd32Cx3d7muDbNvX,Show Off,Orange,Gen 0,Pirate,Normal,Black,,Yellow,Robber
00952,0.1,4531,80.86,https://solanart.io/nft/DuhwzBps1gy9HF9PmfXfx2zdpmzSPuzDqU6t86bPfsTJ,Balaklava,Black,Gen 0,Fedora,Damaged,Jeans,,Tanned,Robber
01057,3.6,3463,50.17,https://solanart.io/nft/22WsG3zxEPrb1d5RYAx4CBk8fMiYzEeiiL3imjXkT6YK,Covid,Black,Gen 0,Fedora,Looty,Black,,Black,Robber
01416,0.19,7707,67.13,https://solanart.io/nft/HEH2jvMNcYK3XmTyFfob8qY2fSfZCMcBZVJxDUZDwG8N,Spy,Sandals,Gen 0,Zoro,Normal,Black,,Pale White,Robber
01703,0.0275,1346,94.44,https://magiceden.io/item-details/EeAbfMrHF9MJaNfrSH6ybMi8VMpgmvauzChpkZZmFk9f,Coolio,Orange,Gen 0,Wooly,Looty,Ripped Jeans,,White,Robber
02024,0.025,4540,81.57,https://magiceden.io/item-details/332wcLP4hraLhGJmrNf1zgJbnEJXdcfbay6dbfUaCWZu,Zoro,Black,Gen 0,Zoro,Bloody,Chinos,,Pale White,Robber
02079,1.29,4488,69.13,https://solanart.io/nft/dDZq24ALLTJaAg7rphXzktj9oR2ozSFZH9BcMfiQm9a,Show Off,Black,Gen 0,Looty,Normal,Black,,Tanned,Robber
02526,1.1,2191,80.3,https://solanart.io/nft/4pmsPmrHPvpHLpJtnAS6mP352PfcL23ALuQjRdEUGnVp,Zoro,White,Gen 0,Peaky,Damaged,Jeans,,Pale White,Robber
03158,3.5,1646,58.5,https://solanart.io/nft/D5QpMvLSTodERVqm35K9FrkcPmPvzEDndhGhUjckfn2j,Speedo,Orange,Gen 0,Looty,Ripped,Prisoners,,White,Robber
03199,0.0275,1101,95.43,https://magiceden.io/item-details/9dTnkfd1zv5FdwGXFUfKc6gMUEzzbXFuHqtAhqRdhLaw,Bandana,Red,Gen 0,Zoro,Bloody,Bloody Jeans,,Dark Brown,Robber
03739,1000,4417,0,https://solanart.io/nft/78o3Kcq5vn7H27gaFhLAf9tVkaAmteibh82rfBpcDdWD,Show Off,Sandals,Gen 0,Pirate,Damaged,Chinos,,Dark Brown,Robber
03745,4,1409,54.46,https://solanart.io/nft/9vVaRcUDKxxEpesDihMPJEkPEt4R289VLumJUJW2Fp9f,Monocle,Black,Gen 0,Zoro,Bloody,Prisoners,,Dark Brown,Robber
03858,0.6,3011,81.99,https://solanart.io/nft/CpZ1zADU9U9dt9VCfWDSbbHNhTwMg2YGX6C6fx1gtTRo,Nerdy,Black,Gen 0,Pirate,Damaged,Prisoners,,Orange Tanned,Robber
04001,0.06,4796,80.19,https://solanart.io/nft/8C3a9CqaV2pY8VCXtmNhSwk6Qdypi5LPGQZ68f2imJnR,Spy,Sandals,Gen 0,Fedora,Damaged,Bloody Jeans,,Orange Tanned,Robber
04356,0.0275,4315,82.45,https://magiceden.io/item-details/DWSJgRQkkBA13GbjFdgiXhmsaDHj8A7EP6vhoT3dnD5C,Coolio,White,Gen 0,Wooly,Bloody,Black,,Dark Brown,Robber
04395,0.0275,7393,70.03,https://magiceden.io/item-details/6yNSJJEWF1F8qiDYX6SzCY6zXsM3H1SBGXozEmNjdD1t,Covid,Black,Gen 0,Peaky,Damaged,Black,,Dark Brown,Robber
