id,price,moonRank,💎 score (%),storeURL,Background,Body,Ears,Eyes,Head,Mouth
62,0.63,3035,60.45,https://magiceden.io/item-details/8BXctpKR7bMynbHSVMvLtX4mWUkVKg88NMVd9oz2zLYx,Cream,Red,Nothing,Nothing,Monkey Bun,Nothing
167,0.44,1739,78,https://magiceden.io/item-details/8zAU6gwEWUhGCDhAkvVzXnBdXkuLpGcvAKs7Se7Scpaa,Blue Gradient,Red,Nothing,Nothing,Pan,Banana
198,0.5,2596,67.05,https://magiceden.io/item-details/7kQ4Zg7AZnNZyTT9AqgBJdeXRkYbB1etBzcGMzXT2pgB,Purple Gradient,Red,Nothing,Nothing,CEO,Nothing
236,0.7,1528,77.95,https://magiceden.io/item-details/dU2Zfpc194PH935ARhnPJQ4C5YSju55hNnGSvJ2Qgsc,Blue,Brown,Nothing,Cyclowear,Santa,Nothing
312,0.47,1266,83.41,https://magiceden.io/item-details/75jGRQdiRxJ4QH9AySdq8fB4UFi6ZXKtJTLLwmYaqZHc,City,Albino,Nothing,Nothing,Fez,Banana
399,0.369,2595,68.37,https://magiceden.io/item-details/6F2ybHbGDLkrTPAxqkQSYP3VaegejuXrynbGamA2o9ms,Purple Gradient,Brown,Nothing,Nothing,Naruto,Nothing
753,0.5,282,94.99,https://magiceden.io/item-details/DTKXbiTezF9GBbzbj8DdeSncXzZWaYGsP8Xx2FiQFuJ5,Blue Gradient,Black,Nothing,Cyborg Eye,Usanka,Vape
768,0.4,2550,68.6,https://magiceden.io/item-details/ZAV2fDCqFsR32ud1AGtKM9JQ8grkz3kG85GcmeLVTvt,City,Blue,Nothing,Nothing,Pilot,Nothing
878,0.369,2472,69.85,https://magiceden.io/item-details/4ToirjNKaYwrXLUN3A4Z3C9rr5yAZuWnv2KcrhPGwHTy,City,Black,Nothing,Nothing,Monke,Nothing
924,0.369,2467,69.92,https://magiceden.io/item-details/GrDeunTcZb14xs2JpbjczWkppZGaf9yT9H7yJAdBZFVg,Brown Gradient,Blue,Neon Earring,Nothing,Nothing,Nothing
993,0.5,2924,63.09,https://magiceden.io/item-details/AqTtR527j5vgk1u3FHbL47ihPQ9eJtmi8TzPKUk58eUj,Brown Gradient,Brown,Nothing,Nothing,Pan,Nothing
1004,0.45,2281,71.35,https://magiceden.io/item-details/4kXAs7KZ2viYEXxZMABNLewTPuurqStaJGq8V3QmqHHm,Cyber Age,Brown,Nothing,Nothing,Usanka,Nothing
1006,0.34,3145,62.02,https://magiceden.io/item-details/BPdiTX8rf6cNusy3Lzq7d6uPfiyLFfJjupCbbqymGgek,Violet,Red,Nothing,Nothing,Monke,Nothing
1072,0.7,315,92.6,https://magiceden.io/item-details/J3FCWwAbVAJyTzX1SsG5fSkaqv6S39YJX8wHRnLu4bNW,Red Gradient,Blue,Nothing,Cyborg Eye,Shark,Gold NT Mask
1116,0.45,1903,75.92,https://magiceden.io/item-details/9GtiXA3Ckh2jHu75ZR1wPHHv1uqC4ct8LKSxsKafXEa9,City,Zombie,Nothing,Nothing,Military Hat,Nothing
1159,0.46,775,89.44,https://magiceden.io/item-details/8R2CwBwbR8Ai1FoiaLvwDXUDKCdVsf3ChvQWCZQiucpy,City,Brown,Nothing,Nothing,Usanka,Gold NT Mask
1191,0.689,997,84.47,https://magiceden.io/item-details/3Dma1X6VfnkfB4gcPyzXdcZKBxe1zTeWSFYjfyE3TYVX,Violet,Black,Nothing,Angry Visor,Santa,Nothing
1215,0.43,971,87.37,https://magiceden.io/item-details/A3gXd87PvXvAywq93xe3RL6QbpVJJVf8vayjEZL5Pjkg,Binary,Red,Nothing,Virtual,Nothing,Vape
1222,0.5,1253,83.27,https://magiceden.io/item-details/6hvaZgwFUy1HurnLDBs4LKSBg6aNGnBp2sb5ZQVrhrwU,Blue Gradient,Red,Nothing,VR,Fez,Nothing
1227,1,2515,63.03,https://magiceden.io/item-details/EuyHYQPSzKDpVEdmvVGnLU36cZ4iAkwtrdbtFFVbao9g,Red Gradient,Brown,Nothing,Angry Visor,Nothing,Nothing
1228,0.54,2707,65.31,https://magiceden.io/item-details/2c8vQiBnWJPDXFMyGYa3BVgvQ14Gm1apSNxEh6x7Uvco,Brown Gradient,Cyan,Nothing,Nothing,Usanka,Nothing
1234,0.38,2431,70.24,https://magiceden.io/item-details/7qYrxEvUQeY9RohtcZUwXLC7WSjdKtHEFuHZNRggeaeG,Cream,Brown,Nothing,Virtual,Nothing,Smile
1316,0.5,3280,58.79,https://magiceden.io/item-details/AamymYpHsabBnW4Wvc2sb7cYRN2qY94AAkSjxXEWfNF4,Cream,Red,Nothing,Nothing,Nothing,Smile
1328,0.7,1891,73.56,https://magiceden.io/item-details/5qGkQzawZegQJFKc88QWcmMD3K8xTGpCrDz46AXCf5Uk,Brown Gradient,Blue,Nothing,Cyborg Eye,Monke,Nothing
1380,0.6,2771,63.93,https://magiceden.io/item-details/A612CWYo4SgoBYgEtUYNGT9fHyh9w3SvbqpTEE15AAkv,Red Gradient,Cyan,Nothing,Nothing,Afro,Nothing
1498,0.69,1114,83.05,https://magiceden.io/item-details/BgmU8UBzF8xFbFfaUD2rs6DyoHsXdqewYU1UhrbRhPtc,Blue,Zombie,Nothing,Nothing,Afro,Banana
1504,0.4,2353,70.98,https://magiceden.io/item-details/835MLLjU2BuHsUiGVmFMA7TnkEjXNYFzzrqAXBU5Pn2t,City,Red,Nothing,Nothing,Ice Cream,Nothing
1505,0.7,391,91.68,https://magiceden.io/item-details/GWbGvy3PnKjLw3Nq6iB1vY3a1ZQkwHJHRjMWndZ86To6,Cream,Black,Nothing,VR,Afro,Jaws
1583,0.65,1097,83.65,https://magiceden.io/item-details/E1BqgDEKxXYkhAPVnnDZZEoNVgN9iGYDH933sgwxyYRZ,Blue,Blue,Silver Earring,Nothing,Saka,Nothing
1653,0.5,3312,58.4,https://magiceden.io/item-details/DGehyyHL92EJS8MEnXUTsXPNXNDsCW6H4tTRMgi4W7WA,City,Blue,Nothing,Nothing,Nothing,Nothing
1728,0.369,1640,79.9,https://magiceden.io/item-details/5mgJjBh5oExed9FhJtmvThCR3f89CwaQo8dHSTynqnTT,Blue,Cyan,Nothing,Metallic Visor,Monke,Nothing
1770,0.66,2430,67.45,https://magiceden.io/item-details/hbA2ntGoVYDCGoExYAzQhivi3RRq1hbv2x5r9F8tGih,Cream,Zombie,Nothing,Nothing,Monke,Nothing
1798,0.65,2747,63.72,https://magiceden.io/item-details/6Z7o43bRLH932v4avM8yGKnV6SFNcYWsfp7AWM9s2ivy,Blue Gradient,Cyan,Nothing,Nothing,Shark,Nothing
1876,0.69,1525,78.08,https://magiceden.io/item-details/D5Qkpr7X2fMxdAPwzrQQkhyBaorzhwEB6Q5AMV8xaVS,Purple Gradient,Albino,Nothing,Nothing,Shark,Blunt
