id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Beak,Body,Clothing,Eyes,Eyewear,Headwear
23,2.3,1659,82.45,https://magiceden.io/item-details/G2Za3A21jezCyVMX9gwcyuUtyyrwydf5rbcf16ojNckC,Spiked Choker,Rays Pink,Yellow,Hunt,Vest Biker,Metaduck,,Huey Hat
25,2.5,1682,80.33,https://magiceden.io/item-details/E5c1AKXjWEofFqnx21XGQnj1BKajxXkeGzx7ATY6JULv,,Chess Purple,Yellow,Metaduck,Wild Lover Suit,Hypno Black,Wayfarer Glasses,Mia Black
57,2.3,6576,57.12,https://magiceden.io/item-details/2raWe7Z4hBK3FgcUd7uhz8UytJ4ZS9vVqt8MfvvjMurX,,Quackgram Lines,Yellow,Goth,Lizard Wizard Tee,Classic,,MDGA Cap
203,5.5,1067,53.5,https://solanart.io/nft/7Gi5jdTWWEL3omykXzu2v4XBB9e6MMqmF5PS1PuppA3C,,Waves Orange,Devil,Goth,Total Black,Otherside Yellow,Band Hero Purple,Sambrero
217,1.4,7091,63.46,https://magiceden.io/item-details/EFAYqPysuJ1QZYfHceX1oXMR6UGdVwnFyKAfZvJadiKk,,Waves Orange,Goth,Metaduck,,Classic,,Goldern Horns
218,4.4,4815,45.19,https://solanart.io/nft/BMmuh7RST9Jwvidnsq4snpe7Gtd9joscDA3ctiYsd4ZH,,Quackgram Lines,Goth,Devil,Kill Duck Tracksuit,Classic,,Viking Helmet
237,2.25,1484,83.85,https://magiceden.io/item-details/J5eqcSppuq38CnF7uZs5oWTCYAq46szQQSQqKm6Zhqq7,,Dark Drips,Yellow,Bath,Raspberry 90s,Strab,Cyclop,Huey Hat
244,2.49,3538,70.87,https://magiceden.io/item-details/Q3S2jum1XJtkqANn6wu7TwGctKttmWApGU4hn3HGh3w,,Chess Classic,Yellow,Metaduck,Oasis Tee,Classic,Blue Makeup,Goldern Horns
263,8.2,2917,16.97,https://solanart.io/nft/CXrhcfQPzqDiUtYg7w6DZWnyo3B1wCq41KfczNVp6fcq,,Rays Dark,Yellow,Devil,Wang GOFL Tee,Empty,Hockey Black,
323,20,5167,0,https://solanart.io/nft/9mP6yZikuE96qNMbGLub16smcSZ9HpwSLxnheC2EnWkc,,Chess Purple,Yellow,Goth,Wild Lover Suit,Classic,,Brain
339,2.8,2798,71.58,https://magiceden.io/item-details/Emy27z2tduAJ98WMA6BskHGgLW29UvFk6deqNPsJPwfX,,Waves Purple,Metaduck,White,Outlaw Quacker Jacket,Classic,Round Glasses,Strong Beak
349,2.7,3687,68,https://magiceden.io/item-details/FiaM8W1sQ6f7NLfPH9ekuj91rE1NTLcbdha375iKrNKT,,Rays Orange,Goth,Goth,,Robo Blue,MF Quack,
355,2.6,5695,58.66,https://magiceden.io/item-details/8W9HuaqZftoRWu8TVzWrhpHCdBkTLhsmmnTDBfbPFiiL,,Quackgram Lines,Goth,Bath,Wild Lover Shirt,Classic,,Party Hat
374,1.5,6439,65.82,https://magiceden.io/item-details/3N8pH9KbQGcudt39esfhwhQjfU2xJLxJVgXXe1E8JeMF,,Rays Yellow,Yellow,Goth,Vercetti Shirt,Classic,,Black Bandana
382,2,6597,60.01,https://magiceden.io/item-details/ETTqXdBaEQQpfgf1GJHDiYK9tcccnaiHLJk7Vmdb3FSL,,Biege Dotted,Yellow,Bath,Babrie Coverall,Classic,,Black Horns
439,29,4736,0,https://solanart.io/nft/3MwYmiY5fru9e4CcWiu45oL8HMPKEoXxEVrzsqEEZroG,,Ducktrix,Yellow,Devil,Total Black,Classic,,Viking Helmet
461,2.8,2756,71.8,https://magiceden.io/item-details/9sKVdAsvnUCDLyfbfcyMdwmLkMtQ7L8M8efXuA6gKZzE,,Dark Drips,Goth,Devil,Coverall,Classic,Blue Makeup,Diamonds Poker Hat
493,2,6745,59.25,https://magiceden.io/item-details/BYKcu2J4sBNFqtn6YUEYRvsP5jJNRPQwp9E9K7ZxwUqB,,Waves Purple,Yellow,White,Experience Tee,Classic,,Mia Black
580,2.6,3721,68.83,https://magiceden.io/item-details/G9t8SbuPZNG2zi8izMeEtrdmALxwV7dT3kb52nStxuEf,,Waves Purple,Devil,White,Vest Jeans,Classic,Crystal Lake Duck,
584,10,1122,8.22,https://solanart.io/nft/B74TWh5HLSWRYiYRV9brzEn1RZKUtnT4V7LYByLsa68j,,Quackgram Lines,Metaduck,Goth,Black Cowboy Shirt,Hypno Black,Eye Band,Red Dragon Bandana
680,1.55,5326,71.06,https://magiceden.io/item-details/7Ei3u2PDthS6toB1NkxWbuFKKqKof9TcjdC5tCxXW7Dz,,Framed Strains,Goth,Goth,Vest Jeans,Classic,,Diamonds Poker Hat
711,2.38,3081,74.32,https://magiceden.io/item-details/8oe8MMfBwRe5VEmuMvE9zxAng7jBGsPZvs3WK4xNiGXe,,Solana,Goth,Hunt,Squid Game,Classic,Gordon's Glasses,Eric's Hat
722,1.4,2571,86.75,https://magiceden.io/item-details/HK2BLKAkdupfCP9GsjgmN44D4PCJqrgbs5Sb2xdqX5fn,,Rays Pink,Goth,Hunt,Black Cowboy Shirt,Strab,Hockey Rage,
