id,price,moonRank,💎 score (%),storeURL
453,10,NaN,0,https://solanart.io/nft/13vB4g4Q3omTKFYW27g98wCF9KA8MnnNqnuu1crHmoxr
2920,20,3626,0,https://solanart.io/nft/63VHhzp6sqk1em6xvZbjivLgWbtooh2JNetsHbeJJeKn
2963,20,4373,0,https://solanart.io/nft/8VQH1SfngDkif3ZjfqLS28fh6P8NjLcj9Na58vkcWR5X
3887,10,2204,66.23,https://alpha.art/t/7TByeFoVLT6LYF6yEsCFzHD7BpBQhWAQ6xo7L6tKTEuA
4219,8,5575,65.17,https://solanart.io/nft/6MtiDxZuw6MjgTg2BpXMA9cqVq2VBkWSTGhE5ebJPEzV
4306,9,6402,50,https://solanart.io/nft/3EQQj7RiBS4FR9qzzKfCL9Fx3pkAq5YnfvyXW1zqhBf2
4527,17,1803,0,https://solanart.io/nft/EHhr4pVc8oGgKpfTedvThPtoBuFbTayPU5SdK3QBjr12
4617,9,2469,74.57,https://solanart.io/nft/8BBGMRAhTWUV3je5HqeVC6SvX3sQY3vuchTKRThKEmWU
5071,9,4123,64.24,https://solanart.io/nft/GxdSiyeQStqQUn4DMGEpaMFK3yMjBeVCCMQTYhQpYAq5
5375,10,2200,66.25,https://solanart.io/nft/Fn1LwQ8DnkwRjkcRTis9uTK7GB1PcKFairqLrv8ahQ6L
5556,9.5,3616,62.41,https://solanart.io/nft/65NmeSMhju8WKS5WcBxsdZGHZFrVSdzLw6tPU9t24CCQ
