id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
8,38.75,6025,0,https://solanart.io/nft/C7xyn5aHAavL64kihoXn6HXj2aiHVGQqiJLbfDhabquY,Violet,,Jaded,Cap Pink,Smile,Shirt Camo,Natural
105,44,2652,0,https://magiceden.io/item-details/EQrkM4249hkx2hynhhq4f5FLYW1mYBUZiC6WeujbsQY,Mint,,Angry,Backwards Cap Pink,Blep,Sweater Dark,Natural
123,35,1091,34.37,https://magiceden.io/item-details/9xaoSDgjXXJzdPTBmfkJB5Cc4e9v3hxRSf4NnbnoN5Vh,Emerald,,Mutated,Captain,Fangs,Shirt Green,Natural
226,40,2003,0,https://magiceden.io/item-details/3YnNEx1N9MbA7KGux9yMdhNZbefRoUGhBRkj1zBgi18x,Emerald,,Scar,Sportsband,Smug,Shirt Pineapple,Natural
305,30,6586,55.99,https://magiceden.io/item-details/FAPZgrmP4p1jQYMUA2941UuWnPAY2uGKrA4HHQ6LKmeG,Persimmon,,Standard,Backwards Cap Pink,Fangs,Hoodie Green,Natural
472,30,2850,75.28,https://magiceden.io/item-details/2MJ8qcbp5w3mNeub6YrfEUk8b1fxUvX6XV3jH9Km5wJK,Purple,,Blank,Sportsband,Smug,Sweater Dark,Natural
486,29.6,5389,66.17,https://magiceden.io/item-details/6MzrSG5SQ7MnXNj2idcbtsx322d9dH2zDhCmSg2v4TWb,Sand,,Angry,Bowler Light,Smug,Shirt School,Natural
534,45,7743,0,https://magiceden.io/item-details/H4zSKeBTdneSFsqMWdCL7B2GNYZjfgKS3Er4kCENhdLx,Violet,,Jaded,None,Fangs,Shirt Green,Natural
624,33.333,4109,35.45,https://magiceden.io/item-details/36ZBrho4vxr72JH7kg3fpoU4C9e8d9xVoezU2jSfQTWv,Orange,,Blank,Headband Patterned,Blep,Tank Top Pink,Natural
648,45,1297,0,https://magiceden.io/item-details/HJRVL2voW6eyoFJ73zwXEn1QPaNNUfuo3HkBbVhXjAwF,Purple,,Wink,Safari,Stache,Shirt Red,Natural
670,35,5856,9.76,https://magiceden.io/item-details/HWSoKCBKNXYSvJCRJgRFg7h7fTN6NYt3arzf1FfNnZkT,Green,,Jaded,Headband Dark,Grin,Shirt Camo,Natural
693,34,2861,35.23,https://magiceden.io/item-details/AzYbQkRitPjG7LYUcS5iSTyDYo5Bu2PS2EfCcjn7PJQ3,Purple,,Wink,Valet,Smug,T-Shirt Yellow,Natural
827,33,1834,50.53,https://magiceden.io/item-details/BanjGF43scBedubbYNijZrYVL8Hmpye7LNb13BhjWZqD,Sky,,Sleepy,Headband White,Stache,Scarf Purple,Natural
840,45,6904,0,https://magiceden.io/item-details/8ArMf8mLzS9AVnhUbLEpPokUjm1wTwkUpsDMUshiWTrB,Rose,,Standard,Bowler Light,Blep,Shirt Flannel Red,Natural
867,30,5092,63.71,https://solanart.io/nft/5yorhZfFWLiLExHRdkMRs6g7t7NoUqCfUCjgqw4Yzzsr,Champagne,,Eye Patch,Bucket Hat Ivory,Fangs,Tank Top Purple,Natural
915,35,3919,19.76,https://magiceden.io/item-details/FAqYcqWC9v1KXpYNsvGh8qZMCVEsCXodPPRzw6pgUt6n,Violet,,Scar,Bucket Hat Green,Fangs,Shirt Red,Natural
990,38.75,6838,0,https://solanart.io/nft/AFiwMg5uPTBpeRGLbgh8eKtdDLUGNxc75yJr6cWEB4Lh,Straw,,Standard,Backwards Cap Camo,Fangs,Turtleneck Blue,Natural
1052,39.88,2362,0,https://magiceden.io/item-details/7r1NzxtsRnD2XmCR2M2VgBxiCSkuuZ5Z5XY1vfDUhmKF,Mint,,Eye Patch,Headband White,Grin,COPE,Natural
1099,333,87,0,https://solanart.io/nft/CD1akobmKPF9waVdvoA6WT6Q29zbG7zDAYQsbcAQNrsh,Alabaster,,Raised,Crown,Stache,Hoodie Pink,Natural
1131,40,3443,0,https://magiceden.io/item-details/Gqg42EErz1Y6kcotH86AVsUpQEnTyCnoUoczkyJs9N7A,Green,,Shades,Bowler Light,Smile,Turtleneck Dark,Natural
1193,44,4442,0,https://magiceden.io/item-details/55CToQ9CLv2zxKux5hPMbJSymq2G4MYQ5EdsAK4v8jCz,Green,,Jaded,Afro,Closed,Sweater Light,Natural
1207,29,6357,67.17,https://magiceden.io/item-details/2d5kmkM83S5unxLydLAzes5vKY2uEop5Sx2ND6pv2Zui,Sand,,Jaded,Backwards Cap Blue,Fangs,Shirt Red,Natural
1214,31,3155,63.71,https://magiceden.io/item-details/212jrwR2ds4UpFszjPMaYAZjY9WQ9jsW2TUUq4bHHXHQ,Sky,,Mutated,Cap Dark,Drool,Tank Top Pink,Natural
1215,30,6905,54.34,https://solanart.io/nft/HW53TdUgsYt9JApS2L6Jc8kwT5YghLDoCS9JNuUxcySg,Rose,,Standard,Backwards Cap Blue,Fangs,Shirt School,Natural
1324,30,4496,66.78,https://magiceden.io/item-details/8vZMS6NdGydW37N2mDawp2Rtdntp4XmYDmhwvMT8Wm3h,Mint,,Scar,Cap Pink,Smile,Tank Top Purple,Natural
1342,45,7554,0,https://magiceden.io/item-details/8ohYG3r7cFMdLD4pAhruoWnxxDGDvuLY7adHddzCZ8B1,Mint,,Wink,None,Closed,Hoodie Pink,Natural
1358,40,4566,0,https://magiceden.io/item-details/9PEU3MexzFofDE6DXKLkHdUKWdod2kR2HwwX4NzXuqAG,Sky,,Raised,Bucket Hat Ivory,Smug,Hoodie Pink,Natural
1383,39,5270,0,https://magiceden.io/item-details/3BDfJBdMb47CgCbbDQKcDwSnN6NS95G1ZCDGAREStbPv,Green,,Mutated,Cap Blue,Blep,Sweater Red,Natural
1430,35,2199,28.64,https://magiceden.io/item-details/HfErvnSgyTCryeCNQPptLwcLu4hYTd382f1wwHimb9gC,Sand,,Eye Patch,Bucket Hat Ivory,Stache,Sweater Purple,Natural
1468,32,3735,50.71,https://magiceden.io/item-details/5K73JbPYPfZRBke9Rj8uLGL89uQew19VayhF2z73QCQY,Mint,,Sleepy,Backwards Cap Camo,Smug,Shirt Red,Natural
1490,36.66,5175,0,https://magiceden.io/item-details/AnCodyJTh7aMdKfQQt2GRjfWTpJtZhpgzTwV9oEXVCe6,Emerald,,Eye Patch,Bucket Hat Ivory,Drool,Shirt Flannel Red,Natural
1501,44,5911,0,https://magiceden.io/item-details/14WaXrKt3waHpKTmuikReJr6ZYP5LEGcw3ZkM4AFPbgF,Rose,,Solana,None,Fangs,Tank Top Pink,Natural
1507,30,3998,69.35,https://magiceden.io/item-details/BxJVHWWMvZnLXYx1g7GZbuAwuWkMFurXJGoxRqg2KyL5,Sand,,Mutated,Headband Dark,Smile,Hoodie Green,Natural
1532,37.8,7746,0,https://magiceden.io/item-details/A1FhXKwcPphxUEz1oWAvX5iLUU6DSZZWnqYKpCVBpUBM,Emerald,,Jaded,None,Smug,Shirt Green,Natural
1533,34,4601,26.24,https://magiceden.io/item-details/Czu1zsJ5G9f1xr5wsenpE9wnpMxkg4ejdgiVFwXH9Z4t,Sand,,Angry,Headband Dark,Smile,Scarf Purple,Natural
1538,42,3123,0,https://magiceden.io/item-details/FDfdQw7rcH9PGqEbtprz5KfDoLjX91i9nUo36SBXZrkZ,Rose,,Standard,COPE,Smirk,Shirt Camo,Natural
1653,30,6877,54.49,https://magiceden.io/item-details/4z1MAH2cxqeGFnsg2Vnqq6nCskJpAjco15K6M4iJtuwN,Green,,Standard,Bucket Hat Ivory,Fangs,Sweater Light,Natural
1661,34,6464,16.62,https://magiceden.io/item-details/3AUX8oUWEP4dBAHNipdfT71L1KCbzFsRKb64mGPp48Rs,Straw,,Standard,Headband White,Blep,Hoodie Pink,Natural
1662,45,3897,0,https://magiceden.io/item-details/BYMQyiC6j5A12Nrd25UNJU1CFAgibnWQAzcwPAuipxBj,Champagne,,Thug,Headband White,Closed,Scarf Red,Natural
2041,34,2692,36.1,https://magiceden.io/item-details/4Y6PVYxFYXqsVkrk3CDd6yGSc893PS7UVDWwHJRTjWve,Rose,,Thug,Backwards Cap Dark,Smile,Shirt Flannel Red,Natural
2081,45,686,0,https://magiceden.io/item-details/76sasdNcLjRT9Rg28d5DPy7j3xgRFo8C8d6XDU6thJP6,Alabaster,,Thug,Cap Blue,Drool,Monster Trainer,Natural
2162,30,6585,56,https://magiceden.io/item-details/32JLWXCaDN24vakB7E5KjqmMu88AtvbS5WeaHG2kust9,Sky,,Jaded,Backwards Cap Pink,Smile,Hoodie Pink,Natural
2196,38,4721,0,https://magiceden.io/item-details/BJ8yBynSDpU8uTpDZuvCwxTx8TDG8cmxmKyurw1PqddR,Mint,,Standard,Cap Blue,Stache,Hoodie Blue,Natural
2202,31,1255,73.52,https://magiceden.io/item-details/67XXn6XkkakEG3UVFFYkFJ7xEq3BVNtUsYyQyeajDrwP,Straw,,Eye Patch,Backwards Cap Pink,Stache,T-Shirt Dark,Natural
2293,39,6463,0,https://magiceden.io/item-details/ErcwCUrQSygU1UK2UxsPDETTCPSBffpNjy7aERdb9wYA,Persimmon,,Standard,Cap Blue,Closed,T-Shirt White,Natural
2352,29.5,6477,61.55,https://magiceden.io/item-details/GtvpamotD5Ek25YbiNTxJiLFWbSgEAATjZLvcV16JQ77,Sand,,Standard,Bucket Hat Ivory,Smile,Hoodie Green,Natural
2445,40,4809,0,https://magiceden.io/item-details/49K8hhHqGZc5zxRgA3zWCXfSDFiL9iYeqbciUrU5EnbM,Emerald,,Mutated,Backwards Cap Pink,Smug,Shirt Blue,Natural
2448,43,2945,0,https://magiceden.io/item-details/4weUhDC4nL1FhXPvbnCauT7RgPoZQioYjaKrX3A6FkDM,Green,,Angry,Cap Blue,Closed,Tank Top Dark,Natural
2448,43,2945,0,https://solanart.io/nft/4weUhDC4nL1FhXPvbnCauT7RgPoZQioYjaKrX3A6FkDM,Green,,Angry,Cap Blue,Closed,Tank Top Dark,Natural
