id,price,moonRank,💎 score (%),storeURL
18,0.1,1445,61.66,https://magiceden.io/item-details/2mHsuHLHYf7MAFjuBDfy3YgmhkvnqiFFVPfqH5GxuDb6
48,0.03,327,91.33,https://magiceden.io/item-details/pw7WNjPQdMyCJPUi7oHsLUp4WDz81Zt1rCDMPKmg5jp
49,0.03,302,91.98,https://magiceden.io/item-details/63XR5P2ozEGdhd5FHnKXgviKRE2LFyaMEgqsk8SVHsDY
50,0.03,134,96.33,https://magiceden.io/item-details/CgGdwd4mYfSRD8J9pEz5eNvzp4wZDAx4A72KMkABga1j
54,0.025,437,88.53,https://magiceden.io/item-details/8oBJDZg3UCZC1f5ChW2EAeyZhNiXTSmpNAh9HeEzYuht
61,0.03,824,78.45,https://magiceden.io/item-details/Cs6bSfgcn1v3QZFmH34m6ZKRRdNdcHshavEUmiYDo5e2
62,0.03,1362,64.52,https://magiceden.io/item-details/2jfnCUATs5foYdn89ZMgWJhjqGjnFX4E1BnGTnUcZ9oq
75,0.02,141,96.25,https://magiceden.io/item-details/4A9cKJmAtBSCvZPNDA61obDUteJYsTYpMnyfBtZvcUmu
89,0.03,565,85.16,https://magiceden.io/item-details/6ajsUM3pW1ja3MkSYJRuVRTGXFZaU8eZYj4JeGp5Ud2A
114,0.05,1009,73.46,https://magiceden.io/item-details/544QPQG9pkf75PWTatAXZ2wUHR31TfnotPhvc23xwTnn
121,0.03,1141,70.24,https://magiceden.io/item-details/2xD93fXpiZpUgFxjk6Gf1LtYRENmCwjndUu6pkg1biD7
137,0.03,1276,66.74,https://magiceden.io/item-details/6TRE3SPbVVxd6QW2jpiyvRyq5iQWGQFmLMVckpxWEqkD
149,0.05,1288,66.23,https://magiceden.io/item-details/9rtZE5WvSzBokQDy7c5A4GKjKcUt2M97Xe5ECrL3Cz3X
154,0.1,987,73.53,https://magiceden.io/item-details/AYWiEZHQzDhicdkYWGbnngo3zQ8R9N6iuvfj88dABGvL
157,0.03,722,81.1,https://magiceden.io/item-details/5QCtK1jcqhSzHqbYqD6QZei6yPGzPo3u5rmSSNQYZF41
167,0.08,988,73.7,https://magiceden.io/item-details/8qJoeS5YyzdqyCQmSGExWgfLANEakh6W8qrGhWo4Ro47
194,0.03,1479,61.48,https://magiceden.io/item-details/5swpDPnWVDiWoS2a9d9zFVaMj8pRtf6uSVQM8HhHzibq
204,0.1,1279,65.97,https://magiceden.io/item-details/8i6SZyZkAYPvmEBeGBeGdSeeUHp5J1qhmkQ2wMLqF9kX
208,0.1,535,85.24,https://magiceden.io/item-details/6XaHDP6bc9KuNd3Hh1VN9VuiTVhE84mCknXSD4fS43bS
218,0.05,385,89.63,https://magiceden.io/item-details/D4N4NsdJMhSZJF3bs3zPwRWHCAxF55Jvv3xoyAgeGsVR
221,0.0195,1159,69.88,https://magiceden.io/item-details/JAEu9hwnTTdF4WiRhXJ4nLMRNBKUbSTBEWmoKxfajHHi
244,0.019,1018,73.54,https://magiceden.io/item-details/6nxCQgU9SzHmFnh1zgb3LGuCrtumFZvUEq2BLMK1UMVd
362,0.05,1099,71.13,https://magiceden.io/item-details/5y7vyLernoqXAj7SRfJ3QUgAuyGYxCqKzjsQvtzjx8ZD
402,0.015,1478,61.66,https://magiceden.io/item-details/FRGmjfCnZ7FCKB6w4Qxq3kVW6d6WQtjP9wsE5sXPTEXi
430,0.05,335,90.92,https://magiceden.io/item-details/AEquxU9DodFTr46i8eQzAWzdfCyQ5YkRBC2JEGBnPJ46
438,0.1,1250,66.72,https://magiceden.io/item-details/57EEBQuSLX8RStBj4dx2A7fViLLGdnaEh8GjWmpGGdZe
480,0.1,396,88.84,https://magiceden.io/item-details/5fFEoJBuuxeaRXo3VE3dXpgYbgH3qJ52ueRWxdQZX27F
482,0.079,1169,69.03,https://magiceden.io/item-details/4258w3n3KwiVuy6FNemQcqhb6aRdMkNWDoQXS41BmkH8
492,0.01,1504,61.04,https://magiceden.io/item-details/EDN8AKaEtLBZMvcFgFPJ1bjGjeshYE7W6ccnP32qoGgG
522,0.1,859,76.85,https://magiceden.io/item-details/CGj3ZN3TVS4PA7a24uniemGwuEKEXcRPRxfefmMvqjYS
554,0.04,1430,62.65,https://magiceden.io/item-details/6HthZH17z1Yb7GncF6mbg12ZSBjrFswxo68F9CyjUxHC
565,0.04,1223,68.02,https://magiceden.io/item-details/AYxUTZm12aFCadJuMETz6BY5DerzRnXjTvgfgSQNPcoi
574,0.05,518,86.18,https://magiceden.io/item-details/5wSx6muByrAXH3hCsrr5aJoZqC9eZUeu8K65bZHuHcdq
593,0.02,1513,60.7,https://magiceden.io/item-details/GwHjCozzqUGTcQZhXCNs8YMiiGcv5r2dCTshdQmFB7wc
598,0.025,297,92.16,https://magiceden.io/item-details/GuPmGWy1vrxQcR28ht4GBcAWg5zM83Vic8kBFntiZ95c
600,0.07,886,76.45,https://magiceden.io/item-details/DYrhPtMdEmqnrfxjFpMTwJi9jdAQxN4xQQ7cRF2L9SFK
642,0.015,1303,66.19,https://magiceden.io/item-details/9Gexaz28RFuhYxrZmkcKhj2GeFSUCFTNpEZtrrWuWcd
827,0.1,1544,59.1,https://magiceden.io/item-details/3oW7L6NrR6LVFNbM9pAGcybKuQgSTcSs81jzcvfMwATu
835,0.07,847,77.46,https://magiceden.io/item-details/53pQpWyKu91Y7aPsJ9bWUNPo2bAYLZRuvGrXhzuLEkXZ
865,0.02,1217,68.37,https://magiceden.io/item-details/FKHsoswDrvw5qunFwG3Mpg9vmACy5WRNvqkJcjrCAx9h
873,0.03,261,93.04,https://magiceden.io/item-details/CztFp4mS8gQj3FKkZMQNsV44Puq3wB8JqfTB9Xy9FwMZ
910,0.08,137,95.75,https://magiceden.io/item-details/2WqUpGy2rF3wc7kZxWcsrJBp3Me5GEkB5Afo7B1F1Utj
918,0.03,386,89.8,https://magiceden.io/item-details/2WiriaJkdgbbK3ebqeSgYVNg7HszhK8Bzrwo5UHbXzBD
919,0.04,931,75.58,https://magiceden.io/item-details/EK4SKX2pXVpXS2JpNsJaxu4DttkhL9XAqSUHDXt9iTak
929,0.08,1156,69.35,https://magiceden.io/item-details/vJFYdCss3fKWLnq53x8gzSRyFhz6tiDAtm1Hj4MYWTR
934,0.02,1149,70.13,https://magiceden.io/item-details/5NU4xgjXTaK5HHEvs9hKpXdK2i6BcePkv8Tisf9F9GMF
956,0.03,765,79.98,https://magiceden.io/item-details/7uaE4dWyESRArRopphnezPDXp2R1z2Ka62XT4KGUdYqQ
1000,0.08,500,86.35,https://magiceden.io/item-details/69D9Yosx1jUzpH3Hs652ZV46FM86ze67Ew4QpHGPjzB4
1015,0.07,1262,66.71,https://magiceden.io/item-details/Ee6kVfQMFTa35uTfXnQCX1miyv5FCKuf85JrYNx6tQyJ
1052,0.03,1044,72.75,https://magiceden.io/item-details/A8reoKPCcKcDm2M7TLvphQANjxNvFwiW7LhLfeuPAa8e
1059,0.03,21,99.26,https://magiceden.io/item-details/2eU1oAvShDzxLPs7mWvHUJs9WUgWKksgQJr5yERURBHr
1077,0.06,733,80.51,https://magiceden.io/item-details/3aexq4THhpukw3kdvKMeJFtHuQ8APwyqYMrTk8iaTWPY
1092,0.04,1243,67.5,https://magiceden.io/item-details/5G5m6LyEuZVXohx4ufrhcn6aHsXeBvYaGiFHcL9s7BMb
1100,0.1,1160,69.05,https://magiceden.io/item-details/HX1m1awttqG9FyNdKDPStQfgJL1fGTuT6CKd7CTCFBSB
