id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Face,Hat
135,0.64,1547,70.8,https://magiceden.io/item-details/Di3pJD6Z6TV3hU5qhgDiLwS951u9ZUwP2PZTFW4EFCJr,Bubblegum,Forest,FFSC Merch (Blue),Smile,Ribbit
186,0.88,1667,66.13,https://magiceden.io/item-details/51ysrz3cjaiV67zMuiym1pcPhHss4KMm7FCB4Y46gmTf,Orange,Juicy,Plain Grey Tee,Pressed,None
188,0.799,NaN,0,https://magiceden.io/item-details/3EK2fEpSAmSMznPjXdx4beYF92nX79MYLtQgzWMJjGF8,,,,,
316,0.89,1350,72.02,https://magiceden.io/item-details/Bd5XHTvss9ktRJXbguUfCizky8gasNs9K5FAcn2Cx41Q,Lavender,Forest,None,Resting,Lilypad
327,0.8,1930,61.97,https://magiceden.io/item-details/9nXTikXoBbYoS4qrTGX8BQH4ZRrrynCADa5hbL31nvQf,Slate,Ocean,Plain Beige Tee,Yummy,None
339,0.77,2023,60.51,https://magiceden.io/item-details/EKGdD6SGipEGjPppuUnH5YEUhUoHZd17PpjDPoma8Wwz,Lavender,Ocean,Plain White Tee,Lashes,None
384,0.85,NaN,0,https://magiceden.io/item-details/4tNwAnS9KxhGrZWWWqGXv9JiKdUF6Y4JHVgBcT1y7JRE,,,,,
457,0.8,NaN,0,https://magiceden.io/item-details/5MMb5oWcDzkbTSYuxME6f4uzj9f8Kx3rMHTWWr2KpgUm,,,,,
680,0.7,NaN,0,https://magiceden.io/item-details/78Hq9KUDrS65cDYJVnQVUJA1FBT7nmkUVZ9VEkpCMYmi,,,,,
755,0.75,NaN,0,https://magiceden.io/item-details/7fdC3xgMdwWcJ8xUkzip43r13dYCSfrMPubmKXw28amz,,,,,
781,0.777,NaN,0,https://magiceden.io/item-details/833ctKquPGwh4L6w7qDniD1DAT34PvXm3UHUBP9tXEfj,,,,,
892,0.75,804,83.72,https://magiceden.io/item-details/AKaMgyUpbF3TYukuEnfFFbgT243kPmjtu4U6xrqnLMmr,Just Green,Smoke,FFSC Merch (Blue),Glasses,Lilypad
974,0.85,NaN,0,https://magiceden.io/item-details/9HrGT88SeZuFDcUcmZf7dZuhmyZbpgmfmmfaVdSV8fuZ,,,,,
1078,0.89,1228,74.32,https://magiceden.io/item-details/VeZuxRFdGCjaAmQFe3aLZNNbFSFLLn5Kr52DbGgSue7,Aww Mustard!,Forest,FFSC Merch (Blue),Blep,Bunny Ears
1471,0.8,NaN,0,https://magiceden.io/item-details/DTNR3Ch7hzvJShUBWVx3JtXw3vhcRXy2n6QyfBQ1NMJ9,,,,,
1590,0.82,NaN,0,https://magiceden.io/item-details/EUhnVzi9Cwmg2yrZoFa7r2Evd5Ux7pbk341YrxSrCrv7,,,,,
1679,0.65,1617,69.38,https://magiceden.io/item-details/CfBpwircq9mcSWz8gj3AbM353TcJCEqwTYKXfbKtBjZv,Aww Mustard!,Original,Really Green Sweater,Meowers,None
1683,0.84,2119,58,https://magiceden.io/item-details/H1nsDZbY6CGH5L2kuhvVR77HyT5XRF1RqZTx5a3beaww,Dark Lavender,Forest,None,Lashes Blep,None
1930,0.849,612,86.36,https://magiceden.io/item-details/DoSkQnYjov5tXYLsTKo2RYp9y59TYGKT3cGaPRoDpCVL,Orange,Smoke,Bandana Shirt,Yummy,White Cowboy Hat
1977,0.7,704,86.11,https://magiceden.io/item-details/JA6qWWD3pfF22X1nVQjqsDiHeZn1CZPFA9cpWxh4Geco,Slate,Slime,Plain White Tee,Sad Lashes,Skull
