id,price,moonRank,💎 score (%),storeURL,Background,Extra,Eyes,Face,Headwear,Outfit,Wetware
Sentinel 5355,0.07,1777,92.01,https://magiceden.io/item-details/snTg4a6ygz8dRtfQi3ffWG2MJsueJEr7M23rW4vpwQK,Convolutional Neural Abacus,Mechanized Home Assistant,Liquid,Masked,Iron Militant,Platemail,Surrogate D
Sentinel 951,0.07,5461,75.45,https://magiceden.io/item-details/SNTeqxHjsuJwhehwjTvVfE8PLWscy8Zx7UKzFN6VPy6,Mesoglean Heat Exchanger,Quadrupedal Assistant,Veiled,Lovestruck,Neural Vessels,Azure Prototype,Surrogate B
Sentinel 6434,0.079,4516,79.61,https://magiceden.io/item-details/1337F3w9ypiK1amnB7ViqxZ6STCJ8QEhBusjyPG9zAnb,Diamondhand Harmonics,Aether Tree,Lecherous,Lovestruck,Iron Militant,Cranial Parka,Surrogate D
Sentinel 103,0.08,5887,73.43,https://magiceden.io/item-details/sntQxJviYVHipDkkBHG3Z2vreNEVVV6Qi54wkys1XtY,Submerged Boiler Room,Viscous Gasware,Impassive,Grimacing,Auxiliary Armature,Demonic Ritualist,Surrogate E
Sentinel 443,0.08,6723,69.67,https://magiceden.io/item-details/SNthRd5SDozwYGSZUzL4t9wX77KJgftbKSEWJ92kNx3,Diamondhand Harmonics,MicroVac,Veiled,Grimacing,JSON Mask,Cybermail,Surrogate B
Sentinel 8429,0.09,5044,77.12,https://magiceden.io/item-details/1337RRg9HVMSbgXi2dTV63mHjBGdydR2zbagaB9eJNs7,Diamondhand Harmonics,Quadrupedal Assistant,Lecherous,Woeful,JSON Mask,Platemail,Surrogate B
Sentinel 5499,0.09,3618,83.53,https://magiceden.io/item-details/SNthEhAT7N26K7Bkxkxrwh8Ze55mRWw27MTaJRvt8rQ,Convolutional Neural Abacus,Cognitive Augmentation Lampshades,Lecherous,Morose,Arachnodrone,Camoflauge,Surrogate E
Sentinel 4485,0.09,4819,78.13,https://magiceden.io/item-details/sNTkWUZxAUvsMcgptrtSkiiN7eLRs3XLi3memj4tpBp,Rotary Decompression Chamber,Multiverse Navigator,Augmented,Morose,Tatenen Plating,Bandaged Ranger,Surrogate C
Sentinel 4421,0.09,2700,87.66,https://magiceden.io/item-details/sNTQ1sz916GaD8Xqn12MNVitcSAc4Siu7fs6GjqLXt7,Diamondhand Harmonics,Aether Tree,Remorseful,Faint,Wired Essence,Kate Libby,Surrogate E
Sentinel 2060,0.09,8395,62.06,https://magiceden.io/item-details/sNt4ZVd8YWHACrJrvtidxNfMtJDVgqBF9pusJQi8r65,Convolutional Neural Abacus,Quadrupedal Assistant,Impassive,Woeful,Neural Vessels,Thermodynamic Exchanger,Surrogate E
