id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
0,4999999913984,1643,0,https://solanart.io/nft/5ryBUGrqxRR8zTy3bekwPVLXD1PYVfEtBKDFn8KCp37D,None,None,Sky Blue,Ancient Open (Golden),Runic Marking 4,,Ancient Angry,Shriving Stone,Default,None,None
311,40,6540,0,https://solanart.io/nft/DKyRk3aViuNkHzzUN21dhuCzEvXVH6pRvynRatsdFowp,None,None,Pink,Red - Oooh,None,,Occular Tech,Beanie 2,Heart,None,Hoodie (Purple)
452,15,9943,60.02,https://magiceden.io/item-details/47LrhhndgsKQrNDwJ7SswKMZ8YGNbJufTfecMcsRU1sP,None,None,Slate Gray,White - Toothy,None,,Sunken,None,Double-Barrel,None,Robe (Pink)
661,500,392,0,https://solanart.io/nft/Acaxcy1VxMVyke5Sbpb9GvWJ9FmkG96S1EddX5yvip7y,None,Harrow Staff,Fuschia,Red - Oooh,Piercing (Left),,Adorable,Punk Hair,Piercing (Studded Hoop),Gas Mask,Basic Tee (Blue)
697,50,3068,0,https://solanart.io/nft/A2b5xwN7xk2HsKTGU7FkZfiTjwwLoc2CFYqVR7YFGUUu,None,None,Red,Blue - Cigarette,Piercing (Left),,Default,Serow,Piercing (Barbell),None,Turtleneck (Blue)
791,444000010240,1774,0,https://solanart.io/nft/9SFKAPWATbQHFb8hdRVCdcFxrfukpacGyaEJy7eeFWmB,Crucifix of the Maligned,None,Deep Gray,White - Fangs,None,,Feminine,None,Double-Barrel,Reaper Hood 2 (White),Collared Shirt (White)
993,150,4829,0,https://solanart.io/nft/24Htq1Kx5Sz27vQ25Yq12dcByb6Dpy5jxKTwcXofb4m4,None,None,Yellow,Gray - Cigarette,None,,Occular Tech II,Beanie,Piercing (Studded Hoop),None,Bowtie
1386,16,4194,73.14,https://magiceden.io/item-details/81uWSzhztdw2jmnBhJKX4BVoaZV19oaP4gouegiDGWue,None,None,Slate Gray,Blue - Open,Piercing (Right),,Adorable,Jr. Sailor Cap,Narrow,None,Leather Jacket
1640,16.69,7400,53.35,https://magiceden.io/item-details/DrdZN9dF2mpgju8ejVpzCQsPaKF5EKYARdfYtG6K4FEJ,None,None,Fuschia,Purple - Default,None,,Sunken,Cyberpunk Hat,Double-Barrel,None,Robe (White)
1649,16.99,8651,45.32,https://magiceden.io/item-details/99KxnYEUjgMBthb4iAc9UrLpZWynvHPZw6fzLniw27HE,None,None,Slate Gray,Gray - Gold Tooth,None,,Glasses (Half-frame),Laurel Wreath,Triangular,None,Tanktop
1664,18.99,2486,50.1,https://magiceden.io/item-details/3nWyKwxctyQGW9v2LvCzctVZSjQf2ThBx6J5AmZRYxVJ,None,None,Bone,Green - Sewn,None,,Default,Tilted Halo,Piercing (Hoop),Surgical Mask,Turtleneck (Green)
1760,16.75,2936,70.69,https://magiceden.io/item-details/HkqjyXNprGiqiTb24FEBkutWh4AN2k6QCHhKbeJZ2Lm3,None,None,Blue,Purple - Lockjaw,None,,Sunken,Stapled Dome,Narrow,Surgical Mask,Basic Tee (Black)
1789,40,2690,0,https://solanart.io/nft/LYNE5XjJ1BV13X4ec52xGLw34SgXntsx43iKQ8tb621,Divining Staff,None,Slate Gray,Black - Lockjaw,None,,Eyebrow Raise,Viking's Helmet,Piercing (Barbell),None,Basic Tee (Yellow)
1804,35,769,0,https://solanart.io/nft/8dDfeQceDE2y9EjJYwkJMDGN7o3WEj5TrRj8GCXUd4KR,Draelic Nimbus,None,Pink,Blue - Side Open,Face Tattoo,,Flower Eyes,Flat Bill Cap (Adventure),Piercing (Hoop),None,Tanktop
1959,19,9186,23.06,https://magiceden.io/item-details/AzCPX1CC9CSU83LpeLq4aXXnhJmQsCJ9RKDTUioYbefv,None,None,Red,Green - Cracked,None,,Sunglasses,Ballcap (Night),Triangular,None,Basic Tee (Black)
2412,39.450001,5830,0,https://solanart.io/nft/J4QoA4Qq8kVbwjXvbfUMXr56rQbHcy59MPsSUPuvkShM,None,None,Bone,Black - Sewn,Piercing (Left),,Blindfold,Star,Triangular,None,Collared Shirt (Gray)
