id,price,moonRank,💎 score (%),storeURL,Bean,Bkgnd,Eyes,Head,Legs,Teeth
74,3,1333,60.48,https://magiceden.io/item-details/2qQduKcUdYh5uELjxidnyRssiuEcCfdDmz2e7JehggDa,Yellow,Black,Pure Pupil,None,Cartoony socks,Spiked uneven
96,2.2,355,84.27,https://magiceden.io/item-details/5tX9CpXFeA1CxjTTM1XHuy5BG7YLHbFmoqMgTpRNsvta,Silver,Red,Guppy,Dino spikes,Dino,Buck teeth
126,2.5,2359,48.92,https://magiceden.io/item-details/64LVLqtckQjkbYgZoMaKpLYHiPYUnb71rpoG8K96Kkw7,Red,White,Puppy Dog,None,Cartoony,Spiked uneven
163,1.25,1944,68.12,https://magiceden.io/item-details/FZP8JdrsNM2mUFb2atrnYmQXfMViDT5oRXSSeSFZskjC,Yellow,White,Offset,None,Webbed,Spiked even
187,2,715,80.46,https://magiceden.io/item-details/6ke4jm5NbES34Xd9dmSWZyjNe2aHALPL6UwHNkVf84S7,Red,Red,Pure Pupil,Bull horns,Dino,Round
193,1.52,1414,73.98,https://magiceden.io/item-details/9jqkadNwJSBJmETVFEshWCPVAwd9qYc7jwZnrkAirMqS,Black,Red,Guppy,Dino spikes,Dino,Round
222,1.25,2142,64.92,https://magiceden.io/item-details/CxdEbWo2ZkzoRis4LaPHixYEuu6YjRDsfD5QgPxYac5H,Red,Pale gold,Guppy,None,Cartoony,Spiked uneven
226,3.99,448,64.87,https://magiceden.io/item-details/BuZLkcyWcNxZDAGZkaqFqUSDPSw1Nu43gYZkErzLefqo,Silver,White,Guppy,Dino spikes,Cartoony,Buck teeth
233,2.44,1009,71.31,https://magiceden.io/item-details/98jZiNuGp4aXsnwDS9prPP5KhsQWRxPQKgA1BnxbEjb1,Orange,White,Guppy,Angler lure,Cartoony,Round
236,1.48,2111,63.12,https://magiceden.io/item-details/EGNAPms3B2qMMJyfTDjxEhbwiwTVgyDkQodbWZGLBBd7,Purple,Blue,Offset,None,Dino,Buck teeth
249,1.2,2390,61.42,https://magiceden.io/item-details/55HzL9QuZoFJwMwyAf7poLFq1gFVsV2tczStRA8rdVwz,Green,Yellow,Offset,None,Dino,Spiked uneven
258,3,1671,55.03,https://magiceden.io/item-details/E51G5vS16ogdEkkNzRkWuZAQe5sveAFuYU8FYb9qsAjf,Red,Orange,Guppy,None,Webbed,Spiked even
285,2.25,1754,61.19,https://magiceden.io/item-details/6MpXu8PBNr4Z5ecpmQwyyFNUGR4vbQoa7S7PWciU47Zs,Green,Orange,Guppy,None,Cartoony socks,Round
342,4.5,833,53.55,https://magiceden.io/item-details/GkkK981tF32WLzjbVDphvbT6hGAAp9TobkXhn9Nmkhmy,Red,Yellow,Black sclera,Bull horns,Dino,Spiked uneven
346,3.8,888,59.67,https://magiceden.io/item-details/3zj43foEB65PkVixVuvUZeDwDDWjYnGvd8C8tEvagWdn,Orange,Yellow,Cyclops,Dino spikes,Dino,Spiked uneven
399,3.33,1233,58.8,https://magiceden.io/item-details/BPiFojZnLCGXQ3gP8ia1W4viSY9R48yPwer6THVYzkYu,Green,White,Guppy,None,Mech,Round
