id,price,moonRank,💎 score (%),storeURL,backgrounds,clothing,eyes,head,mouth,skins,special_edition
Komodo Dragonz 681,0.14,758,65.66,https://magiceden.io/item-details/EzFMLyajCWL1qVYgVN8dzTrjmDgYF1Fyq8Q4ejU3d1W3,red,baggie hoodie,cute eyes,nothing,nothing,red,
Komodo Dragonz 41,0.15,589,73.22,https://magiceden.io/item-details/BKFAH9iNxgQ6FHoVHTs3CtLeX8U9YykxBWFCiaZrHZkk,blue,nothing,vegetta scouter,nothing,nothing,dark grey,
Komodo Dragonz 248,0.15,883,59.9,https://magiceden.io/item-details/G4wyW3GG8wAacMF1QZ4EUths9uWq3TcJjYswwi2h5HBE,purple,sleveless,regular eyes,nothing,nothing,red,
Komodo Dragonz 270,0.185,378,82.43,https://magiceden.io/item-details/2m8qyynWMyYEA6qCkZn6aP1eB1yaZk9ZQ9bHqveeiwVj,red,hoodie,ski mask,nothing,lizard tongue,white,
Komodo Dragonz 840,0.2,334,84.27,https://magiceden.io/item-details/EMiotPnb3ind7fGnCXyUeNvDZ6ibS9GW9N12LH5yjq3Y,green,nothing,stoned eyes,cowboy,nothing,black,
Komodo Dragonz 84,0.2,877,59.67,https://magiceden.io/item-details/QgL7XBXZEzPkQisDHHhgikGBzwbNVotdxGhT5EZQ7jp,purple,sleveless,regular eyes,nothing,nothing,black,
Komodo Dragonz 479,0.21,812,62.52,https://magiceden.io/item-details/8USDzgPwp34MYN7iUpq8TaYxX6aHDLX5JyqhKLAqCE1J,blue,regular shirt,regular eyes,nothing,nothing,robot,
Komodo Dragonz 842,0.22,478,77.55,https://magiceden.io/item-details/BpGggrZ5AaNQGBHJZSWQcYL7qiVKXSMZ9ujJaxKhczy4,blue,regular shirt,cute eyes,nothing,lizard tongue,robot,
Komodo Dragonz 322,0.22,872,59.7,https://magiceden.io/item-details/6oY6g3y89hRhjUCymXmxnokPnNDpEVDuLCFq3YEz3Rd,green,sleveless,sunglasses,nothing,nothing,robot,
Komodo Dragonz 440,0.22,506,76.28,https://magiceden.io/item-details/8tp2pnksFSr8xkZPhRNB4nkkFfz1DYFB8nxJQzvjV9bR,green,nothing,angry eyes,beanie,nothing,dark grey,
Komodo Dragonz 78,0.23,716,66.67,https://magiceden.io/item-details/9urrRwbMPtH9wKNoTpuRe8bBpWRzBdyAuqX1yq7sv6mD,green,nothing,angry eyes,nothing,nothing,white,
Komodo Dragonz 741,0.23,881,59.19,https://magiceden.io/item-details/DVET3t51chonmZC93robV3ahTBv2dLAvTB9ky5EqcsJD,red,nothing,sunglasses,nothing,nothing,green,
Komodo Dragonz 688,0.23,436,79.35,https://magiceden.io/item-details/AcQyu8WMrs6rq4WRryLrNYPNA6GBgQJRNwdV4mE5adKt,purple,sleveless,3d glasses,beanie,nothing,robot,
Komodo Dragonz 633,0.23,414,80.35,https://magiceden.io/item-details/Cz7b3JndCJLoR5fSFY8AkkPZvtoCPTwnyHJFN2nFumoN,purple,farmer,stoned eyes,beanie,nothing,white,
Komodo Dragonz 615,0.23,665,68.98,https://magiceden.io/item-details/5CUijD6Twh9GLbp2S5c1ktgS9tvsoDdB9NGgCG1YMPoK,blue,hoodie,cyclop,nothing,nothing,robot,
