id,price,moonRank,💎 score (%),storeURL,accessory 1,accessory 2,accessory 3,background,clothing,facial hair,head,helmet,type
13,5,1351,62.48,https://magiceden.io/item-details/8ZbpnC7pyqDscSoTdhX7aYQPrSMzquoUbg287eduDU8h,No Accessory,Chain,Cigarette,Pink,Blue Track Suit,Beard,Black Bhangra,No Helmet,Human
15,4,284,83.16,https://magiceden.io/item-details/BtNgwqhjEQH7CebM7np2HPgm4Cue3kNvr77Sgcfxf6xg,Specs,Chain,Joint,Orange,Airforce,Beard,Navy,No Helmet,Human
28,3,3259,63.38,https://magiceden.io/item-details/8h56g2Aui37j1mhPtQ1TkDRLkEKipXpDRztFKQa7DQbF,No Accessory,No Accessory,No Accessory,Pink,Vengeance Tracksuit,No Beard,Black Cap,No Helmet,Human
50,3,2287,73.11,https://magiceden.io/item-details/ChNADQry5eWwTvwMcDGWCjHRYAxBLrZzqacT3j1YceuG,Earring,No Accessory,No Accessory,Pink,Plain White Tee,Beard,Buzz Cut,No Helmet,Human
64,4.8,2414,53.84,https://magiceden.io/item-details/3bvYYQPoTToZW56iCgMaTLb42xq9Wxh8Ftgz28LZ7NZ5,Specs,No Accessory,No Accessory,Pink,Blue Vardi,Beard,Green Bandana,No Helmet,Human
70,4,3468,51.29,https://magiceden.io/item-details/9M8UUQFXDuZ1iFVwc8PBE4oFg6VRCvMuSRX2R8h88K6x,Red Scouter,No Accessory,No Accessory,Green,Blue Hoodie,No Beard,Red Bandana,No Helmet,Human
80,5,441,71.59,https://magiceden.io/item-details/CvAw98JYbcMZApxDC2N74zgup2YCqmrtLGbtgwK31wxs,No Accessory,Diamond Chain,No Accessory,Red,Blue Vardi,Beard,Red Bandana,No Helmet,Undead
84,4.969,1274,63.56,https://magiceden.io/item-details/Gj6SfXPCUM8DsX4cSfCuuPex41fGaWCVUDEMEBXsdxjg,No Accessory,Chain,No Accessory,Orange,Suit,No Beard,Navy,No Helmet,Undead
99,3.69,706,82.03,https://magiceden.io/item-details/CWQovbyJE594Tv5B2LwGKnn6rWj1RUNVqbGxcQRaHFcz,Red Scouter,No Accessory,Mask,Red,Suit,Beard,Green Bhangra,No Helmet,Human
115,3.33,2454,68.14,https://magiceden.io/item-details/Ek8tC3CAetppY321EBkL25mnm4RCDAHQtHTFNARN3UJv,Specs,No Accessory,No Accessory,Green,Green Vardi,No Beard,Airforce,No Helmet,Human
119,4.77,1555,62.73,https://magiceden.io/item-details/6NjsUu2pCexvbonTLjtAxWwpJp1EcnsaNipVpazDe6z3,No Accessory,Chain,Cigarette,Green,Green Vardi,Beard,Green Bhangra,No Helmet,Human
159,3.99,984,76.25,https://magiceden.io/item-details/C9b5t68bESRt8cZ5iXREBRbP1edDnHvSM9iscivqRNDx,Red Scouter,Chain,Joint,Orange,Blue Vardi,No Beard,Green Dupatta,No Helmet,Human
162,2.6,2383,76.15,https://magiceden.io/item-details/2JEnC17zPpw3FmkPbBLjs32ssKSdmxoryz3emvoHJ98g,No Accessory,Chain,Cigarette,Orange,Blue Hoodie,No Beard,Black Cap,No Helmet,Human
165,4.75,1657,61.91,https://magiceden.io/item-details/CptRxUwP1EfXeqfeyE5gWXy7zYUwhaacV41E8pHSQgwg,No Accessory,Chain,Mask,Blue,Vengeance Tracksuit,No Beard,Green Bandana,No Helmet,Human
177,5,3808,37.88,https://magiceden.io/item-details/FzyED2a2gU1rfc7i65RExSfoTYRkqp1ghuX97icsCshz,Red Scouter,No Accessory,No Accessory,Red,Plain White Tee,No Beard,Green Bandana,No Helmet,Human
201,3,2855,67.42,https://magiceden.io/item-details/39tjMU8H5JL7qpPqgaoBtCsNyq35zyv7j9hWR8vGb1on,Green Scouter,Chain,No Accessory,Red,Red Hoodie,No Beard,Orange Bandana,No Helmet,Human
