id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
77,3,7066,68.11,https://magiceden.io/item-details/9SWic8yPyy5aUSh42dDNr7dQ7xCevqh4JhDNP2Z6BH5r,,Yellow Leaves Aura,,#85e8a9,,03,18,19,Pink Flip Flops,red,34,,Blue Baggy Pants,02,human,
89,3.5,1977,83.56,https://magiceden.io/item-details/898EF1Fu15Z8ubfYmVQTvXcecjQrFmtva2gSQVgVQbFN,,Red Sparkles Aura,,#8ce647,,03,06,09,Red Running Shoes,black,37,,Red Shorts,03,lizard,02
172,3,2622,85.96,https://magiceden.io/item-details/EY4FTGJahhBf4HvmM7BTAL21huiPfoBpb11Eo28MMN2W,,School Fireworks B Aura,,#20cecb,,03,04,08,Brown Boots,black,37,,Black Leggings,03,lizard,01
204,3,8999,60.34,https://magiceden.io/item-details/8TLeRepfxbTtTcrYipcdiJuGMV8VfrogPGch4wR4T9r1,,Clovers A Aura,,#ffd864,,03,10,27,Strappy Green Sandals,red,36,,Yellow Baggy Pants,03,orc,
218,4.22,4021,68.14,https://magiceden.io/item-details/7u1Vy8fZK8XALoBrSmz84uVSi4WqmP8JjSMZEVAjLo4q,,Controllers Aura,,#9641ff,,02,06,21,Purple Skate Shoes,grey,21,,Black Pinstripe Pencil Skirt,01,catfolk,01
222,3.25,9213,56.98,https://magiceden.io/item-details/H25VmnjbUAe3RdFjdoWBjkaTtqqLuPUG7TsHpd8yi9KJ,,Scooter Aura,,#e2e2e2,,03,13,21,Beige Slippers,brown,17,,Plain White Baggy Pants,03,human,
317,3.59,8139,57.89,https://magiceden.io/item-details/HmV9CFkiWTnFmbkxzfqkuHiNyDvToaU7hZEGEnMzoT1C,,Gamers Robot A Aura,,#85e8a9,,02,,01,Gray Slippers,black,32,,Red Baggy Pants,03,human,
327,3.69,NaN,0,https://magiceden.io/item-details/3QeK9QfSwamq8jti9AT28btTRnteKLUNh9bz4h8CqyQY,,,,,,,,,,,,,,,,
477,4.48,1316,76.41,https://magiceden.io/item-details/86fRe8mSkiAWikWeG5omrHH67z2rWCprvCYRGvMuKgmb,,Red Flames Aura,,#87fff3,,01,03,17,Purple Sneakers,brown,19,,Red Pencil Skirt,01,catfolk,01
559,3.5,9107,54.9,https://magiceden.io/item-details/CqymYnVyQhk91UVBESpEUVTKSS2SYA4u5GSXdeRsqdNt,,White Stars Aura,,#ff99ef,,02,02,31,Beige Slippers,black,36,,Plain White Cargo Shorts,03,orc,
561,3,9283,59.2,https://magiceden.io/item-details/DzcEvoTTkDXYbG1inpzM5cCtHDKVRJNyCmvyBsbnjDgJ,,Bakery Chocolate Aura,,#ff99ef,,03,20,14,Strappy Green Sandals,black,37,,Green Leggings,03,elf,
626,2.945,2448,87.21,https://magiceden.io/item-details/Bq2k5v6BWwXRH39Vpy2TkgpG9ST82mvLJuBBCyAeno2M,,Red Sparkles Aura,,#383838,,01,03,31,Tall Black Boots,blonde,22,,Red Plaid Pleated Skirt,02,lizard,03
794,3,7754,65.34,https://magiceden.io/item-details/6hMHZpXqct5gQGHMzM2WCf7RMnKQrsb42daHE2VxRtif,,Maid Purikura Love Aura,,#9641ff,,03,04,24,Gray Sneakers,red,36,,Blue Shorts,01,orc,
838,3,6157,71.76,https://magiceden.io/item-details/5nUwTCvuCvFATFa3bnpZUGPeSqgcg8hGQo69WrZQFdfJ,,Pink Sparkles Aura,,#2b6bb5,,01,13,30,Gray Sneakers,grey,36,,Gray Shorts,03,lizard,01
909,2.79,NaN,0,https://magiceden.io/item-details/GrrmZTG5HNGtASVKeanyE2G2NKZ951zaTS6BNTR8Hf1D,,,,,,,,,,,,,,,,
1000,3.89,4329,70.2,https://magiceden.io/item-details/H2Qrqtdx3mrCFsmDnoLJtGvFS1CL1Wy3qoUwLa3whxUj,,Green Leaves Aura,,#ffd864,,03,18,27,Tall Green Boots,brown,36,,Long Green Flowery Skirt,03,catfolk,04
1072,4.45,2457,72.13,https://magiceden.io/item-details/9hK6VzS9mFDLBjH71HH4sZ1AjiUCtPVHRxxPDuj4P3PY,,Party B Aura,,#9641ff,,03,18,24,Pink Running Shoes,blonde,36,,Pink Polka Dot Pencil Skirt,02,orc,
1148,4,9579,48.01,https://alpha.art/t/Ekya6RCAkRicJXHNB3bbcp74bCwZpAX1rJGA6n4DBgcL,,Party C Aura,,#85e8a9,,03,13,18,Black School Shoes,grey,36,,Yellow Baggy Pants,03,human,
1466,3.9,5235,66.46,https://magiceden.io/item-details/Hz8Sk9pBn6sxmWLWbK7WwN6KndicDctx7PdXYUuDvviM,,Scooter Aura,,#383838,,03,06,31,Blue Slippers,blonde,36,,Light Blue Jeans,01,human,
1572,3.5,3103,79.03,https://magiceden.io/item-details/8XgdaC1NQuWRvaxrpRhSFaPtJXoCSwQ22VTNeEJzF9or,,Octopus Game Guard B Aura,,#61a8ff,,01,19,01,Blue Slippers,blonde,32,,Gray Pants,02,orc,
1793,2.8,2681,87.73,https://magiceden.io/item-details/h3YMwQ4Tu7aKRumsxfEsJSzEQYLxN3YDXvN1A51bviW,,Turquoise Flames Aura,,#20cecb,,01,03,19,Pink Running Shoes,grey,33,,Long Red Skirt,03,lizard,03
1801,2.99,NaN,0,https://magiceden.io/item-details/BRg1DUxSozZiLiffe3fRhMju8hGzrEeaQj9MW8xz3Vp7,,,,,,,,,,,,,,,,
2523,3.85,4351,70.52,https://magiceden.io/item-details/2152ydGKaYBCr8M8qxjYtqsZhwSEfzZhpVvXFBVzDq7L,,Green Ominous Aura,,#f14345,,01,07,04,Strappy Green Sandals,blonde,37,,Green Leggings,03,lizard,02
2590,3.5,4668,72.74,https://magiceden.io/item-details/5BeN3Jt5NMkHpNv3s5nS4uyzwpF4kEzN6PF3N5CCBFPT,,Purple Flames Aura,,#ff99ef,,03,10,06,Purple Sneakers,blonde,14,,Brown Cargo Shorts,03,catfolk,05
2592,2.945,4589,78.61,https://magiceden.io/item-details/GDRV2WsbCrbyCf6Zz4DzZR9rM59rrbM4RCYjBv4A6jME,,Party B Aura,,#85e8a9,,02,01,27,White and Gray Skate Shoes,black,30,,Gray Shorts,02,lizard,02
2632,2.99,3559,82.3,https://magiceden.io/item-details/6JyQBVFAfgnQos7zpSrR4ys8EbWAvVYGzibhhhvBfirc,,Ominous Aura,,#00d7f2,,02,02,09,Black Skate Shoes,black,11,,Black Jeans,02,elf,
2703,4,5972,62.5,https://magiceden.io/item-details/GYoyjrhkc4fwBfbsGR3kR9sXJn2Dg3yb3jEiZZWgtXKw,,Blue Sparkles Aura,,#14c078,,02,19,01,Tall Brown Boots,red,07,,Blue Jeans,02,catfolk,02
