id,price,moonRank,💎 score (%),storeURL,Background,Button,Clothing,Earrings,Eyes,Fur,Glasses,Hat,Mouth,Necklace
0023,10,7273,5.83,https://solanart.io/nft/LPEmNnMTVwkXgdzWFs1ihJyipfRKToCTD9C1QgQq4zR,Orange,,Jacket All Black,Stud Silver,Angry Eyes,Dark Brown,Eye Patch,Beanie Blue,Tongue Out,
0065,14.9,5999,0,https://magiceden.io/item-details/CqP8pzhtGzmXg1HN3goWYoZxcvWe9hkW3JeX4AB5D9cJ,Light Blue,,Polo White,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Cowboy Hat Brown,Cute Mouth,
0101,9.9,5232,15.01,https://magiceden.io/item-details/6kVA3tAnoJCBQs4ZrnPsvL6RTQaZvZMkw9z6Xem7gGKn,Light Blue,,Tie Dye Tee,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Fisherman Cap,Pizza,
0103,10,7419,5.24,https://magiceden.io/item-details/7fWh9CW2vL3HDJ6p8gdRzfzVtEpFyYYdS6j916yi4BqY,Rainbow,,Polo Red,Stud Silver,Angry Eyes,Pink,Masquerade,Beanie Blue,Sideways Smile Mouth,
0117,150,7222,0,https://solanart.io/nft/3N84tosXF5rn9Ya4cjwEuMuArwUvjia1vHJ22s2J8Yjz,Light Red,,Plain White Tee,Ruby,Closed eyes,Black,Masquerade,Bowl Cut,Sideways Smile Mouth,
0153,5,7278,55.81,https://magiceden.io/item-details/CxzsHFxeR5saBSUqJWi1o4socyApjQ4hBBQiCKwtqWZ8,Light Red,,Buttoned Shirt,Stud Silver,Bored Eyes,Cheetah,Round Glasses,Backwards Hat,Sideways Smile Mouth,
0177,35,7311,0,https://solanart.io/nft/4yEkKa59ex9VBrJDHHz6Hv3itez7jmwDaqm4MjnG9zH3,Rainbow,,Hoodie White,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Yankees Hat,Squigly Mouth,
0185,5,1843,77.61,https://solanart.io/nft/8dUap1BXaBRTMxfEx2jahQwkQwiVLZBysqRiVqBf4MwY,Light Red,,Hoodie Black,Cross Gold,Flames Eyes,Blue,,Blue Visor,Mouth Juul,
0222,35,7096,0,https://solanart.io/nft/9S86vHY8mv2cYnMpah1Thk9WzkgHGasdMyRD7gBCxdde,Light Yellow,,Hoodie Lilac,Cross Silver,Solana Eyes,Grey,Wayfarer,Police Hat,Sick Mouth,
0245,3.5,8356,66.48,https://magiceden.io/item-details/E2ouYwmXvqKPzJ1H4Rb1fQCFRDkJYrtGDLjyhTb1v532,Light Yellow,,Hoodie Red,Cross Silver,Solana Eyes,Grey,Wayfarer,Beanie Grey,Sick Mouth,
0261,4.5,8663,55.25,https://magiceden.io/item-details/B3JABF6v27b6wrfqVChWJbpihnapQKBFB5YLUzFpTDco,Light Blue,,Tie Dye Tee,Stud Silver,Bored Eyes,Brown,Clout Goggles,Beanie Red,Angry Mouth,
0267,10,3176,22.26,https://magiceden.io/item-details/9crGNiEakVNEk2aNEFdEV6prUimuciXSN5jGMmwPS9oU,Orange,,Jacket All Black,Stud Silver,Red Laser Eyes,Dark Brown,,Yankees Hat,Tongue Out,
0274,14,4570,0,https://magiceden.io/item-details/Gzt7vh56YFV7xuzRCQdwjiBi2zd5FCB57ycpMjMDN9Db,Rainbow,,Hoodie Aqua,Stud Silver,Bored Eyes,Brown,Gucci Glasses,Afro,Angry Mouth,
0350,14.69,2344,0,https://magiceden.io/item-details/79isiwtXBB2uNBKkjFhc6zY8R47Y8JzDEqWeHWh9xLKb,Light Yellow,,Polo Yellow,Cross Silver,Solana Eyes,White,3d Glasses,Halo,Sick Mouth,
0366,13.37,1517,0,https://magiceden.io/item-details/8ZsfPrWyyWanzJanP4Gv7a6qTkfALeR84iD4M1FvG5ZQ,Light Green,,Jacket Brown Tee White,Solana Silver Stud,Hypnotic eyes,Dark Brown,Clubmaster,Horns,Tongue Out,
0367,17,6965,0,https://solanart.io/nft/9sS74Yt43eUGFZaLndYNQYHig8a9AzoSGkZNuUEq3ffZ,Orange,,Jacket Navy Tee White,Stud Silver,Angry Eyes,Static SR,Clubmaster,Military Hat,Bacon Strip,
0373,20,8138,0,https://solanart.io/nft/AvM2mCfwBKzscVerBQ624y1ZVd4YYs6M3sDsfGwK2WSD,Orange,,Jacket Brown Tee White,Stud Silver,Hypnotic eyes,Dark Brown,Clubmaster,Wack Donalds Hat,Squigly Mouth,
0388,15,7902,0,https://solanart.io/nft/9CT5A5uMmCmRWGKdBW263aeCRTnqQZrmCkARjnTByLb6,Light Grey,,Leather Jacket,Ruby,Closed eyes,Black,Burberry Glasses,Pirate Hat,Bored Mouth,
0411,4.2,8485,58.97,https://magiceden.io/item-details/BVsdY8vkDcgzc9cFXTyX1BGvqk7CDTQ2dWdq2ERz4Hyp,Rainbow,,Jacket Brown Tee White,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Wack Donalds Hat,Squigly Mouth,
0431,5,9134,48.36,https://magiceden.io/item-details/FpPrbhHNk1XjL2J9B4pacGG8ESKT6R12hb9NSHt3d6qu,Light Yellow,,Hoodie Lilac,Cross Silver,Round Eye,Grey,Wayfarer,Beanie Blue,Bacon Strip,
0435,99,14,0,https://solanart.io/nft/5vYfFcd8nprjVu5Pto9Q8h7kn3d1X4KVeirLnAQBJkio,Light Green,,Jacket All Black,Solana Silver Stud,Robot Eyes,Robot,Eye Patch,Gatsby Hat,Robot Mouth,Thugbird Necklace
0446,10,5574,12.64,https://magiceden.io/item-details/759S144jCeXHn22VUkqLG4XiokZxnaPJ24BUL56vhJdA,Kalahari,,Wack Donalds Shirt,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Wack Donalds Hat,Squigly Mouth,
0491,13.9,3501,0,https://magiceden.io/item-details/2Ncqdp255e5xLG2TLiNZXqXf6xQ3f1bhYarYrrPaB1TZ,Gold,,Jacket All Black,Stud Silver,Angry Eyes,Pink,Clubmaster,Solana Backwards Hat,Bacon Strip,
0495,9,1898,37.39,https://magiceden.io/item-details/4VFmNcKcwuPuzX94EEJDFLtcL65F4UnsSNMH5CdbbZy9,Light Blue,,Polo White,Stud Silver,Bored Eyes,Brown,Eye Patch,Heisenberg Black,Angry Mouth,Degen Ape Necklace
0501,16,2961,0,https://solanart.io/nft/T3xk2JKPVKpsM8aLDH2u1TRv6G8KiPV8KKSEzATTFBv,Light Blue,,Polo White,Solana Silver Stud,Blue Laser Eyes,Blue,,Cowboy Hat Brown,Angry Mouth,
0543,14.9,4050,0,https://magiceden.io/item-details/EPv9o8YQ1AkrDgctFn85f5RNZsUjYAXVJwiRnCUeae5M,Orange,,Wack Donalds Shirt,Stud Silver,Angry Eyes,Pink,Eye Patch,Wack Donalds Hat,Tongue Out,
0575,36,333,0,https://solanart.io/nft/6JWLW1bTnYWGb9i78b3CdKD2B6RVkhD3BCBujwZ7ReTD,Light Yellow,,Hoodie Lilac,Cross Silver,Round Eye,Zebra,Wayfarer,Wizard Hat,Sherlock pipe,SMB Necklace
