id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Clothing,Eyes,Hat,Mouth,Neck
18,1.2,1206,88.69,https://magiceden.io/item-details/8JFsQXdBqvuiNTM6UvfspMNRwFGmuAtgtsBq8xBvQeWR,None,Blue Banana,Brown,White Turtleneck,Red,Brain,Tongue,None
122,1.8,2601,73.66,https://magiceden.io/item-details/6CGRDVHBP1XWLNHaqngCDncwnX8eNgQHQ1thqKDF6QMX,None,Sand,Pink,Bomber Jacket,Cross Eyed,Solana Mohawk,Grills,None
123,1.9,4226,62.15,https://magiceden.io/item-details/EakY6q7kcr8GYuYXjZbBDwLy2nGojvNnSaiLxudyfGAq,None,Aviation Red,Red,Bomber Jacket,Black Eye,Trippy Headband,Smile,None
124,1.75,5338,56.45,https://magiceden.io/item-details/CHrsB35FWVHpH4XtMTfu3VXKN5QFYECyLBnVwVKECupF,None,Deep Water Blue,Red,Denim Jacket,Angry,Solana Unicorn Horn,Serious,None
129,2.2,1996,73.58,https://magiceden.io/item-details/82vrQ4ZvFP2wSsKXa9mgwhqXV2TbNy6ZoVucvJqKC9F4,None,Sky Blue,Platinum,Captain Black,Sleepy,MHAC Visor,Rose,None
160,3,2377,63.11,https://magiceden.io/item-details/CCTnqXmYCucXMpxeXdhFJK84wpDsVWLK2h7LQxgfZwQQ,None,Aviation Red,Platinum,Solana Hoodie,Cross Eyed,Yankee Fitted,Sad,None
162,1.75,5008,58.59,https://magiceden.io/item-details/8SoojmHhQgcvMDh8iUYnTk4osggSyLDZj6kRCwfS5Bde,None,Sand,Albino,Bomber Jacket,Surprised,Banana Headband,Serious,None
173,1.75,4094,64.5,https://magiceden.io/item-details/H427gkaYwKL1TrPVY8FbFgsS2ShcNmV77cvmdCMMAco5,None,Blue Banana,Blue,Captain Black,Cross Eyed,Silk Durag,Big Smile,None
185,2,4548,59.06,https://magiceden.io/item-details/RXNcN6k3YHc2ZzFPQbow7A5XA3qfrRuE79xZZiG3imQ,None,Orange,Red,Green Jumpsuit,Blank,Oxygen Mask,Smile,None
202,1,3312,77.06,https://magiceden.io/item-details/2CtoFQtrxjp7yvn8KaCznN1W4Vb8B9tyjy7BVjDPdeTc,None,Pink Banana,Brown,Mafia Suit,Angry,MHAC Visor,Grim,None
214,2,2018,75.43,https://magiceden.io/item-details/5tTCDtrDHPvUssZdrEJNZ9YQZ3vonFk5qjX1rzfZFAwF,None,Lavender,Cheetah,Austin Powers Suit,Blank,Japanese Bandana,Money,None
216,1,1327,89.9,https://magiceden.io/item-details/GYtXfDHTypb5WAaPhLhkFSwfJgEibNTLjWJQfxdTJwsZ,None,Lavender,Brown,Black Logo Tee,Cross Eyed,Pirate Hat,Big Smile,Dapper Scarf
219,3,6100,39.02,https://magiceden.io/item-details/6onUBGGfNVAL9giSPxahYMsrxNvBDA53JBAjBi2EJdbj,None,Mint,Red,MHAC Hoodie,Sleepy,None,Smile,None
228,2,3584,65.3,https://magiceden.io/item-details/DB54rwUAouWykHWP7Y3dJhKKV6EncYbvaJLscZXJfRMA,None,Lavender,Blue,Drug Rug,Red,Trippy Headband,Big Smile,None
230,1.8,5233,56.63,https://magiceden.io/item-details/HLExArFbi2SehdNRUuxQvsw3So815v7tFn27g5zbTa2T,None,Yellow Banana,Brown,Drug Rug,Sleepy,MHAC Visor,Big Smile,None
231,1,6031,59.47,https://magiceden.io/item-details/3ecCcpCWR6hTZzyU9BWmchthE8zMPMzV4azvbVGCFZ7G,None,Sand,Red,MHAC Hoodie,Sleepy,None,Big Smile,None
232,2.1,981,81.14,https://magiceden.io/item-details/GARhqhPw4UvuYytzwmRHhGNTqzfhyFBo2djLivdbEP3b,None,Radar,Albino,Tie Dye Tee,Black Eye,WW2 Helmet,Rainbow,None
234,1.82,4433,61.61,https://magiceden.io/item-details/2gKaZpzNScjYkqTBJRLNJRctbY9LaZJyBg4W3kQvCXFz,None,Mint,Blue,Bomber Jacket,Stoned,Banana Headband,Fangs,None
246,1.79,4937,58.65,https://magiceden.io/item-details/BgtWqPxU7okebzFCtgsUXn91gyb2y195Z1wEJSRBdnyQ,None,Remove Before Flight Black,Red,Brown Mink,Cross Eyed,Backwards MHAC Cap,Smile,None
261,1.89,4862,58.13,https://magiceden.io/item-details/9B8HTZ1RCrT1Q6gBxGndBCC3GnAisjHMXLs9kGXHBi3y,None,Aviation Red,Brown,White Turtleneck,Sleepy,Pirate Hat,Bubble Gum,None
271,2.5,5174,50.01,https://magiceden.io/item-details/jgSSz9w22DcRgzkrLsXHPgSQCJx5yGU5KikLEduKaqy,None,Lavender,Blue,Wife Beater,Blank,Oxygen Mask,Serious,None
284,1.2,4416,67.92,https://magiceden.io/item-details/7nbQYKN2rdneFMwxqMCtmMBGvVYoEko9B88mvB437VbC,None,Sky Blue,Blue,Flotation Device,Black Eye,Banana Headband,Smile,None
292,1.74,5750,53.89,https://magiceden.io/item-details/4jnMnXHQVkCEzrbYTG66qcqgYPUBxCKmDtefHbktT6qm,None,Mint,Red,North Face Puffer,Angry,Silk Durag,Serious,None
323,1.751,5321,56.55,https://magiceden.io/item-details/7MXS3PJgJYDJohG4ncfvk8pGRjbaMentzpuT5AGcHFkK,None,Sky Blue,Zebra,None,Cross Eyed,Pirate Hat,Big Smile,None
346,1.6,2700,75.02,https://magiceden.io/item-details/3NKB45jA6Fy8SGY2LgDVRWPQbikTwLCKu7RWLSQ4XYWs,None,Mint,Zebra,Tiffany Biker,Surprised,Black MHAC Headband,Grim,None
368,1.5,3936,68.02,https://magiceden.io/item-details/AARdTNkyxak5Wc6bEkdYG9SHVCWQiogbivHqFmyyHZsL,None,Sand,Blue,Black Logo Tee,Stoned,Oxygen Mask,Fangs,None
396,1.89,5740,52.45,https://magiceden.io/item-details/4yiVKT6DGkLya3vGxt6MixwipG6qfUpg6NGesFAeiFRU,None,Deep Water Blue,Red,White Turtleneck,Sleepy,Banana Headband,Tongue,None
398,1.49,3266,72.46,https://magiceden.io/item-details/BMmKvdKZ8aP4AifTErULXiD815dPh84JieeUVPT9nCXT,None,Sand,Cheetah,Coogi Sweater,Blank,Green Mohawk,Smile,None
408,1.89,3544,66.66,https://magiceden.io/item-details/DPZiT6ruvogFPhmnwYwDbD3QpRjXSB3yntJbnWANpVrY,None,Mint,Red,Captain Black,Cross Eyed,MHAC Visor,Rose,None
427,2.5,4030,57.41,https://magiceden.io/item-details/9iqnRHPSdawverFyhkMxt6N9HhoUh4uBKLniEMDDSXD8,None,Pink Banana,Blue,Captain Black,Angry,Solana Unicorn Horn,Big Smile,None
447,1.75,5566,54.98,https://magiceden.io/item-details/G6PJrdVibSJcLWCJQF6gwPZ9WKYx3LeUs2tSJWWXiB77,None,Yellow Banana,Pink,Tie Dye Tee,Sleepy,Pirate Hat,Sad,None
453,1.75,4019,64.99,https://magiceden.io/item-details/7ZgyxGK68mhVBRLG4T9HjmF4cbgRo98tQFRYoEUZwnoE,None,Mint,Pink,Baby Blue Vest,Angry,Captain Hat,Big Smile,None
455,2.2,3719,62.43,https://magiceden.io/item-details/4FGUUn3k7qHqUp7mS6bwC9dKcTWdw9inEVTJHtbvU2kc,None,Aviation Red,Brown,MHAC Hoodie,Angry,Yankee Fitted,Rose,None
532,1,5825,60.8,https://magiceden.io/item-details/9zGY7TBBzMgRAPbJtPCmX31TCsGrnX6JDBHyPptk1fjb,None,Sky Blue,Pink,Brown Mink,Cross Eyed,Banana Headband,Big Smile,None
545,1.19,2154,82.65,https://magiceden.io/item-details/FQjttZn2k7QtTPBgZ9YjKaPKnyrNEfLT5ntbpBJim3gx,None,Pink Banana,Platinum,Black Biker,Angry,Yankee Fitted,Bubble Gum,None
546,2,3618,65.08,https://magiceden.io/item-details/8knGcXmyGytjFD2YhqgmHzqK2UsGHQuyT5TZZLX2grye,None,Remove Before Flight Red,Cheetah,North Face Puffer,Sleepy,Trippy Headband,Fangs,None
556,1.75,5973,52.34,https://magiceden.io/item-details/HyCQvGc46uYeoLW48MLVLxhYbAWbykdjyMrffmbB5Bz5,None,Sky Blue,Blue,North Face Puffer,Blank,Cowboy Hat,Sad,None
597,2,1564,78.37,https://magiceden.io/item-details/6U1DgwRb4tUWnFJap9UCExYaG9Vu1hPHh7YCyXSpedCm,None,Jet Engine,Blue,White Turtleneck,Stoned,White MHAC Headband,Grills,None
621,1.6,1015,85.92,https://magiceden.io/item-details/EqkKF37zrZzrq69wG1SfuYGgnU6CYH8XGEMyn7WDZkR5,None,Remove Before Flight Black,Brown,White Turtleneck,Cross Eyed,Trippy Headband,Grim,Dapper Scarf
624,1.75,3381,69.11,https://magiceden.io/item-details/afahrDtFqyfAaMVAK9MdKkEGEpXM2wQKn8cN178x8hY,None,Moon,Blue,Black Biker,Cross Eyed,Solana Unicorn Horn,Smile,None
648,1.8,3382,68.61,https://magiceden.io/item-details/Boz76rvBCRGRSAJM7HXKKUTGMXzTFqxoufJU3krVpsiv,None,Blue Banana,Brown,Ramp Vest,Angry,Cowboy Hat,Rose,None
650,1.11,4063,71.1,https://magiceden.io/item-details/2B2UYUshZqC4SwDJBzCE6M45NAkeLYw62h2htpNNeP7Y,None,Aviation Red,Albino,Blue Angels Jumpsuit,Sleepy,Pirate Hat,Smile,None
663,1.39,481,91.48,https://magiceden.io/item-details/6pKopfyNLp3W1idkJdra57h3BH3B4LKaj73N3AaM1T6E,None,Lavender,Cheetah,Solana Hoodie,Surprised,Brain,Cigar,None
664,1.79,1294,82.22,https://magiceden.io/item-details/5oKJBAQ7gz8w4e2capa1hLL8CCg1m7gU4JkdpJCTfLqA,None,Pink Banana,Red,Wife Beater,Angry,TopHat,Bubble Gum,None
674,1.66,5966,53.29,https://magiceden.io/item-details/CvPiKXZ6nPoV3ntvWtmm6GQqhdohKDwvv1PvQT7avW4F,None,Pink Banana,Red,Captain Black,Angry,None,Grim,None
679,1.3,912,89.59,https://magiceden.io/item-details/28kn4xJ4HxqXBQRd6UArfsP11jit6EZu5KxLGoAZv7ot,None,Lavender,Red,Mafia Suit,Red,Oxygen Mask,Grills,None
698,0.87,5778,62.4,https://magiceden.io/item-details/9n5udffNBTonVsvgpQpgCogzscxvvDikRnEtTT4RcPnv,None,Sand,Pink,None,Cross Eyed,MHAC Visor,Tongue,None
703,1.7499,2251,76.43,https://magiceden.io/item-details/5R4aRYysfaojB8KB1zZWtKePm21heAPojjCP5GVkgDqm,None,Pink Banana,Platinum,Hawaiian,Cross Eyed,Black Devil Horns,Grim,None
719,2.5,2499,67.32,https://magiceden.io/item-details/2fHdAfFkF1k78Q1JcrUSKMNix8NUJ6mkM62KNrXmiAfA,None,Yellow Banana,Rainbow,Black Logo Tee,Sleepy,MHAC Visor,Serious,None
741,2,2597,71.69,https://magiceden.io/item-details/BKH4ddcYnb2LetkqXBghe64RHuzoMkBkVrcWtosoyghN,None,Lavender,Red,Tuxedo,Angry,Fez,Fangs,None
751,2.5,3754,59.2,https://magiceden.io/item-details/85Gw935DmNHm8xcSeTZhPBi9exvrGXuPMAYdjseV38cq,None,Moon,Blue,North Face Puffer,Cross Eyed,Solana Unicorn Horn,Serious,None
758,1.88,1366,80.85,https://magiceden.io/item-details/7HjtFvhbqoojsdhZQFFpaPdkWsfmZT6A3bKa3bqMNeBB,None,Mint,Brown,Ramp Vest,Popping,Backwards MHAC Cap,Grills,None
769,1.9,3829,64.71,https://magiceden.io/item-details/7BZR3iHQbrMXkCKu4u3JDmAx4T1aaHceonVEPRh9hRGS,None,Orange,Red,Drug Rug,Surprised,Japanese Bandana,Cigar,None
795,1.75,1386,82.02,https://magiceden.io/item-details/2wQMedPJRW2xLTgupRHf6KfyHYucSABczrBbfEMUqYP9,None,Steel Gray,Brown,Wife Beater,Cross Eyed,NVGs,Smile,Dapper Scarf
823,3,1977,65.7,https://magiceden.io/item-details/HxvFJzExa6G6Xdp3grL57mCcpJuPKgcXKnP1aHGX4jLH,None,Orange,Pink,Baby Blue Vest,Red,Chef Hat,Bubble Gum,None
824,1.6,3342,70.87,https://magiceden.io/item-details/C1azfu3sbeZvHRCVMRvoMpQjbte42AWvVyTsubi446H,None,Orange,Cheetah,Wife Beater,Solana,None,Serious,None
827,2.69,2087,68.09,https://magiceden.io/item-details/3hXDojTJJp2NDEHqHxfc25QYsSD47tDXao6cmmGMaik1,None,Aviation Red,Cheetah,Tie Dye Tee,Solana,Chef Hat,Sad,None
858,1.8,2113,76.82,https://magiceden.io/item-details/7nDrL7o612DUXqy1kdhwEHeidfaNofXe8eCGMfviKrh5,None,Remove Before Flight Black,Gold,Green Jumpsuit,Surprised,None,Rose,None
868,2,3717,64.44,https://magiceden.io/item-details/WX2nQYfrXTKEi8FN5mCmi2b6oKSEKajD2HnXXvkDSVq,None,Deep Water Blue,Albino,Tie Dye Tee,Stoned,Pirate Hat,Bubble Gum,None
883,1,502,95.24,https://magiceden.io/item-details/Cj1DejzUDyzvzpS7B1YDihSfhEnVw2exDTEzC9imo6eA,None,Yellow Banana,Rainbow,Red Track Suit,Black Eye,None,Smile,Dapper Scarf
955,1.99,1781,77.07,https://magiceden.io/item-details/ASW4mgWS7oHxKuQpX1B9ej2s63Mfh7N6ceEcspopmrS7,None,Jet Engine,Pink,Captain Blue,Angry,Orange Beanie,Cigar,None
