id,price,moonRank,💎 score (%),storeURL
27,0.5,3816,63.57,https://magiceden.io/item-details/zo9avxDgTn8zxFSe5RWZi23HVQYXSHsVHUnGWFJj6Un
172,0.2,4131,63.9,https://magiceden.io/item-details/7dBLG1FMmPjbJBrn7q41XU39MibbuxKYDipnMHB5idoa
211,0.145,3151,72.76,https://magiceden.io/item-details/6rtyFYRzgiNVLPXYNq3iotUmz4WrY5WBJ5T7CqRTw3Dt
216,0.4,1620,83.2,https://magiceden.io/item-details/GPkdBCv9wLKKS5EhKSxsCRwpZHeswmfAYSpPrdU4NtpR
220,0.095,3574,69.67,https://magiceden.io/item-details/5K3UFf4Kzm2JdewfFw6H3AgUEsRAfbDj4u2fs5XFfdEr
228,0.12,1430,87.62,https://magiceden.io/item-details/9yLmdZzDiNVPKEAW72UCyCA5NXeqNHwU65VKquXNX3Sd
271,0.5,1044,87.09,https://magiceden.io/item-details/9648Z7JKvxXTEjVucQjTGerExg13WjUgHanS3FbxoDHp
304,0.4,2925,72.13,https://magiceden.io/item-details/77rs8PkQBQ1znuNECAYJv2FZSMaWwzT97o9dbkZyvrnK
309,0.3,4100,63.16,https://magiceden.io/item-details/7iKx6CurQvPUXRz3XWV2swvLRg3BvET8eNUTySuAnDrK
396,0.18,3140,72.51,https://magiceden.io/item-details/A9XAVPmGpzYsJwoGkq1283bPCxTSEorgXXEZ8WbQH1NC
410,0.18,4714,59.15,https://magiceden.io/item-details/AbQNQARWgwA96V6EmBpbR8f1TqVDtMGPvf2irRUnqjMx
431,0.17,315,96.58,https://magiceden.io/item-details/agEQ6qhtGePPdzmu9a58reRwn9mMJP8eD3uVm4DDcce
480,0.3,271,95.65,https://magiceden.io/item-details/6YVR8ZURwJuGGpEVYAG2EVsiVopbjLkudRCFuY7JbenM
486,0.15,630,94.1,https://magiceden.io/item-details/DygfnXYPwobNGzdFoBtNDBYwzJfCPNWt7KrJqvhMGESj
513,0.2,NaN,0,https://magiceden.io/item-details/4mduCSVm7pf73qpPzU4KNeQwSdrvrnwqjrroVska5WdL
541,0.1,2543,78.37,https://magiceden.io/item-details/7yg9CkMZ3gRmpd2SSHDbas5UTP8x3MUxQKJdkEPdc4bL
575,0.4,1826,81.46,https://magiceden.io/item-details/FuDxAejnm1qbjPa6iDgH9VHLTVrzhoEcpgJcbL6dCeX5
579,0.34,2297,78.06,https://magiceden.io/item-details/ru7zzeLt8eKVfrUPAGECpDc54tmaHur26yqyeqgLbp8
592,0.2,3878,66.04,https://magiceden.io/item-details/CVMPfNobSxDX4LW8ZoDgJCkZS8jBJ4ySTfHE1nizUi4n
594,0.44,1782,81.43,https://magiceden.io/item-details/FXgBymWV47f562mPAqW6oFoUXB5DPevemZjrNqDesZ6W
631,0.2,2591,76.96,https://magiceden.io/item-details/C74QsBAiHsK4EujV3Rx212RPgPsbKazCnPicE4MoK9Bn
644,0.2,4269,62.73,https://magiceden.io/item-details/GrqQdPm9b3Q2Bk15KwLUbDcZ87oYW4iR4Ym53iAi5uBt
683,0.45,4373,59.34,https://magiceden.io/item-details/5cE3AA4n8f8EpdhNgCSB8PuTW551SFwHLPXLRb1mqVNv
786,0.24,556,93.83,https://magiceden.io/item-details/5LGd4Zdkn1rZ4wyukmWKzaDq8hRvFjEz8YsmVB5qH47B
788,0.24,3879,65.64,https://magiceden.io/item-details/HoEnBk3M3rTRADeDgfcWYyHTjrH4KSN93hbWLGbeAXPt
811,0.24,2604,76.45,https://magiceden.io/item-details/MLZBJE5DcqwSUyZGxvdUVN49b4nxJpNcoRbg1Upk1Pg
881,0.25,1684,84.16,https://magiceden.io/item-details/Cch4BzFyBSSC1A9fDzYb9rT1LsgJ5d2uEa2MP6mJNUdh
923,0.11,2362,79.81,https://magiceden.io/item-details/HLbo4rHFFxrx4XUd5GMWvcepTKTMGzzwQhygfCBc55MX
959,0.4,3515,67.12,https://magiceden.io/item-details/48iZhC7LACyAFBjSb9eTLpLK8cdxAMv1TVeAFVnQNffm
967,0.4,509,92.63,https://magiceden.io/item-details/HTB56BeQjC5Yxaxm5aacadXAMMmPmXbavvD2v3WUyjSM
1006,0.4,3870,64.11,https://magiceden.io/item-details/HgdMyaSnHhtHc6H1yDVjv7AoBL5NHgsbJutp9f1Z8GD6
1017,0.3,2222,79.1,https://magiceden.io/item-details/6Njh2DkXsTHLueCsDbCGkZwSr3d9fbv3k7Sa74oS41JE
1084,0.12,4410,62.33,https://magiceden.io/item-details/DhRyqDUXZu9PSz6o8v1RHh36ZixV26pC9F8tethz57CS
1088,0.2,1004,90.43,https://magiceden.io/item-details/FzJLNFX4U2SSZ2LVJp7kEpREp3nkL7pqw95p1B7SagN
1120,0.095,1630,86.17,https://magiceden.io/item-details/GwsGNQ2gNzfnseFeC5gboZSbizEARPLjb19MacV8fH8m
1138,0.5,2499,74.75,https://magiceden.io/item-details/7ZsJnNUGtQvsehPbfN3d9a998oqXpRpowuU2KsWYPLC5
1189,0.14,477,95.5,https://magiceden.io/item-details/UK58B9ChhZcfGJLoPKNS7wkktVsdAKoqrm5DKBGCCdy
1238,0.5,2963,70.81,https://magiceden.io/item-details/4ivkWqnZW5JLKzndCetQNSDMhLLHeECKEJo8YsYgjQ81
1274,0.13,1976,82.88,https://magiceden.io/item-details/GfbrqCtxifAkoaxqZMNsgYSLJu5NYKc8E7Q34N6BNyvX
1283,0.2,4677,59.26,https://magiceden.io/item-details/9Ke5QnV38cvhwBSPYjux3Jje4bcCg87giv5b2LoScA5e
1289,0.238,1766,83.58,https://magiceden.io/item-details/31BKG6jp8P5FskrdTneCvLocZNb7JrPNyioc62vCB1BU
1317,0.2,3739,67.22,https://magiceden.io/item-details/ExCyjHfNgXBj7ssKf6Ccx5L55uKyS5UWDYSgeyBL5aaL
1326,0.15,4511,61.17,https://magiceden.io/item-details/8Z6e5Ug6N6VH4tDQgGTVWzACThAhJ3QpxiiH1gGejMaR
1340,0.2,3741,67.21,https://magiceden.io/item-details/4zno712BhR32V13sHZDexJs1Fi7iYogeJGUXNm742LN5
1370,0.25,3596,67.94,https://magiceden.io/item-details/4sL3yyeZSsgBHcJYC6cSBUnersU6Z3e6cDoRdryg2mfs
1379,0.4,4038,62.69,https://magiceden.io/item-details/AMhHUVkWMzm4ffYnSA8fbYgzFG39KHwcB3qJnoHJGojs
1387,0.5,2547,74.34,https://magiceden.io/item-details/2jAnkVCAPQxdXM58Sn7KNVyL8WiL9EfR5JuuJNh6HMec
1430,0.25,3273,70.68,https://magiceden.io/item-details/4VFBJjNcsoAnig2XLuhPDzJaPL4qVbK3AxHRHYVXW96V
1483,0.25,1356,86.94,https://magiceden.io/item-details/GReEEozgVC7bAZpqno9KtY1fetXgA4sTuyxE3jooUD2H
1490,0.4,582,92.01,https://magiceden.io/item-details/Bg2psmyY1dkfS69tNgDzL28vmf2WonLZQky5BtDA3g2z
1512,0.099,751,93.59,https://magiceden.io/item-details/9z7VGJEiPpVo5fi9SrMfvnbC9BtXz2WMTPWNNaUdVHsG
1544,0.35,2213,78.67,https://magiceden.io/item-details/DwMswXVhi95fAoYP7mfeVKJ1pj23ezpE1vZW37YRX8iY
1564,0.44,354,93.55,https://magiceden.io/item-details/AdRuzwTextUwZM2Vq2HHzbYK5xVMnWvP3W4P8UUL6M7G
1618,0.5,551,91.27,https://magiceden.io/item-details/5mBorbPS5XH7SczUKpW7DZvD3eMzh63kuYT7iBSVrsxQ
1630,0.095,3903,66.88,https://magiceden.io/item-details/3uz2pEBBnqkjJTtA1t2Mgynq9pBtfy7MiHg9RRbTzCg4
1673,0.15,3742,67.7,https://magiceden.io/item-details/DPgdqrKBDVxaQmycpBVQa8rdCSMAL4syZFP1WCdQiAv7
1698,0.25,4464,60.57,https://magiceden.io/item-details/ARZBy1pYdpdyrxruRz8cZC7KyRR226G5Dt2R5f9TpxqT
1735,0.17,NaN,0,https://magiceden.io/item-details/BGwZwUyXbgqrXSM2SBtEHZDbJUvcWCJcbEryVGVVAFva
1746,0.1,4508,61.7,https://magiceden.io/item-details/CrthtDvRc7QnyaBMgWuWyjKpPs9yHyE9BVFTjjGLEVRe
1764,0.2,3839,66.37,https://magiceden.io/item-details/FXYAPTKbA8TZLnod2B2aPe7ghDr7DTGKbM54Ea2GNiFT
1766,0.45,2964,71.3,https://magiceden.io/item-details/AP5PECT6M4rjXnX1qpJ54o1Ay53gxZPZ2UGxfEKBnvLx
1777,0.15,2272,80.17,https://magiceden.io/item-details/E2oKpzgjUcu553ts6Rgekr63mZoHTo1SHGFcKrcArfYF
1838,0.3,4519,59.6,https://magiceden.io/item-details/Ctam5aiNKgguePnGbZdLwSBaGBzCqPv9oxdKbozuAW5J
1855,0.128,34,99.38,https://magiceden.io/item-details/8vZevZbavAkusWX1v6ybSMLDKiyCwW264aJ3yVE4AEFC
1909,0.5,1563,82.69,https://magiceden.io/item-details/AHFJbQY4hcniJE7kHd5wEuxffeikRRRYANntuRVRNJyq
1979,0.099,1824,84.48,https://magiceden.io/item-details/CqKnPi1WifgXyACMyVba2o5zzJbze36U3xNN8Nqe61ip
1988,0.34,3576,67.21,https://magiceden.io/item-details/8xkQ98uiVb84gAzsHmrAEDjkZeo7tuj8CTC1yjfhuXd4
2001,0.25,3173,71.53,https://magiceden.io/item-details/APeU1UV6eaptxE47r5FdWYYdWBG63whJDKaFZHV9BXnL
2032,0.18,2167,80.76,https://magiceden.io/item-details/9UDHD16WPJepfBdiAeYSDNWvxfk7XDrrPstSWzKqgu3c
2096,0.12,2796,76.02,https://magiceden.io/item-details/GptyNpR1Vo2ftAXpoLbexeFXeNQpfQB4dJXuPnDCZAZj
2105,0.35,359,94.4,https://magiceden.io/item-details/DM5ifFt15SSUTMbyaDe1P29XYu8FLm5CmJBVEJoWLUis
2128,0.3,2320,78.26,https://magiceden.io/item-details/C2ryBu1iAKVhvYhbkjhaNvXzZVvxVBGvu6Bd3BhSAmBc
2170,0.44,177,95.05,https://magiceden.io/item-details/7iVVqzdGVyS8QzwpY6BHAXnzoehTnZtuL5nu3bxp6oSK
2200,0.48,1915,79.9,https://magiceden.io/item-details/F1tUEGXiM343qWJkWZKyjX1ErXGD69foZDPFkh65hyiN
2287,0.099,2948,74.95,https://magiceden.io/item-details/4najWbq6zWKf6UYpu3hFeAUiGk9JNaYKwcAAqP6DU2wM
2307,0.5,1733,81.24,https://magiceden.io/item-details/D44ywRqAtTJdrA9W4EuYvK1kBbcUQcZeSbFFaYuSFgGU
