id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
2,0.25,2695,66.62,https://magiceden.io/item-details/Ee8cMWgKmzPDzHKwbx6dXGHWAbc5ZKxBuyijH8NQPahd,Purple,Heart,Concerned Purple,Rain,In Love,Stars,Bunny Teal,Bored
17,0.4,2556,66.79,https://magiceden.io/item-details/Hsqb3e3vvVKjnfMFkvLDrPwqCPk5kbc1d6vTSV9ZZVcJ,Teal,Cell,Shy Pink,Rain,Panic,Cap,Cat Purple,Bored
23,0.4,1136,83.85,https://magiceden.io/item-details/BTWZGY3FZ7jHQQPMj413wazhex3NvJz6zWpyw8V6Zswk,Purple,Heart,Concerned Purple,Orange Halo,Worried,Cap,Bunny Pink,Hungry
26,0.4,2645,65.72,https://magiceden.io/item-details/BztBhDeKV5HXs2uN3TH32UW63CEe5ngHCwYV359RfEX8,Orange,Heart,Shy Pink,None,Hurt,Mouth Scribbles,Cat Purple,Sad
39,0.4,2916,62.46,https://magiceden.io/item-details/FfmStYmb8PQchfrAwHExdehcYFx28E6s5RpNwvB7HQBx,Teal,Cell,Concerned Teal,None,Excited,Cap,Bunny Teal,Bored
56,0.4,1852,75.25,https://magiceden.io/item-details/6sb215YUz7UgHezRH7M7KTXL2wbN4cECe1Bo2VoGXdjm,Orange,Heart,Grim Teal,None,Bored,Mouth Scribbles,Cat Teal,Joker
75,0.19,2393,70.85,https://magiceden.io/item-details/4QNmuTvfBvWPKxWrFRTpK25t9sQ3ZJ1Zn4EREFJdJddp,Teal,Heart,Concerned Pink,None,In Love,Tornados,Dog Purple,Hungry
80,0.4,3223,58.77,https://magiceden.io/item-details/3LghDkWK6tjcLxpshk3isKRKRFzq7nDA5pn1Cob7kBXR,Orange,Heart,Grim Teal,None,Panic,None,Fox Teal,Sad
104,0.4,1462,79.93,https://magiceden.io/item-details/52234RAd63efKk8S1T3HPYn48gvnjx9QxweSSEdGpVXt,Purple,Lightning,Concerned Teal,Rain,Bored,Cap,Cat Teal,Bored
105,0.4,3075,60.55,https://magiceden.io/item-details/ACnzsmtViNp5t6wMW9zr63BHVFkHBJMuJ2x92Nj2F8pX,Teal,Heart,Concerned Purple,None,In Love,Stars,Dog Purple,Bored
109,0.4,1558,78.78,https://magiceden.io/item-details/6g7zdCPw34Vaaz4EwCx8Ax1WcP7QoqiDZgir6B9EqKPa,Pink,Leaf,Concerned Pink,Orange Halo,In Love,Stars,Bunny Purple,Sad
113,0.4,3044,60.92,https://magiceden.io/item-details/GGx5pbpKa833GUYZy3nMuELbdmFwVzguG86XPZhnsqQP,Orange,Lightning,Shy Teal,None,Exhausted,None,Cat Teal,Surly
115,0.4,3073,60.58,https://magiceden.io/item-details/GZ4D22VypV3YNviXE6nsyAdJsz9WycmMrFVirQ9exurT,Purple,Heart,Friendly Purple,None,In Love,None,Dog Purple,Happy
126,0.4,1385,80.86,https://magiceden.io/item-details/Gmww7gWhmnJHWuWj9VadwXBwgiVvCEBV3Hb7carGQmC,Purple,Leaf,Grim Teal,Flames,Panic,None,Dog Teal,Surly
132,0.4,896,86.73,https://magiceden.io/item-details/9CGeZkCBejGKTYXacfxwKirTtdLFEUuzp2MS4McSsYXG,Purple,Leaf,Concerned Pink,None,Panic,Mouth Scribbles,Fox Teal,Surprised
145,0.4,3329,57.5,https://magiceden.io/item-details/9UAMrezyAeNRsnMu2ooNCwHZNZTVXsaR5cGNYBAAmGGs,Teal,Heart,Concerned Teal,None,In Love,None,Cat Pink,Happy
149,0.3,3267,59.24,https://magiceden.io/item-details/RoPhMq9BcAmXNMaVh6K9Mv1N12PonRiRjxFeWsUMvUY,Orange,Lightning,Grim Teal,None,Panic,None,Cat Purple,Surly
160,0.4,3314,57.68,https://magiceden.io/item-details/5eFJE7jYvCkb3fsgqHUXrLK8g2iWLUHwfbJrAYNr7jTh,Orange,Cell,Grim Pink,None,Happy,None,Cat Pink,Bored
161,0.4,2775,64.16,https://magiceden.io/item-details/9R24Y8XbCpiUNcmVKY58KRhSDJftmYhri6cNPGsFobdN,Purple,Cell,Grim Pink,Rain,Happy,None,Bunny Pink,Cheeky
162,0.4,1846,75.32,https://magiceden.io/item-details/7Xa2CQ1sE8mSA7i5umY7npPGP5TDZH4Cf4vf12VvgniB,Purple,Cell,Grim Teal,None,Panic,Scars,Dog Pink,Sad
163,0.21,1879,76.82,https://magiceden.io/item-details/36wxTQM24qSHP3vwczogMjQjLCEgXNZh66j13RzC76Yq,Pink,Heart,Grim Teal,Rain,Panic,Stars,Dog Teal,Sad
165,0.4,1877,74.95,https://magiceden.io/item-details/DDLVwNSRKHa8Rgogw4S9Fs6Qy2khJBV7QL3yjxqJ74Bn,Purple,Heart,Grim Purple,Pink Flair,Hurt,Cap,Cat Purple,Surly
173,0.4,2518,67.24,https://magiceden.io/item-details/J2ZvVKfwDD475mtgWYMxEw16BciYhYdQYQ1tqBp4Hh4N,Teal,Cell,Grim Teal,None,Happy,Cap,Cat Teal,Joker
178,0.4,1647,77.71,https://magiceden.io/item-details/CoffVtNpMGTkt1uaDsbb9bdKCgESxTjfJNRBgeCQyfBr,Orange,Leaf,Friendly Purple,None,Exhausted,Mouth Scribbles,Cat Pink,Hungry
183,0.4,1354,81.23,https://magiceden.io/item-details/BqjXZ9jseoUK4CHez4sxShVBKJJLzXxxFkAv2gmTy4s3,Purple,Lightning,Friendly Purple,None,Exhausted,Eyes Scribbles,Dog Purple,Happy
194,0.35,3002,61.93,https://magiceden.io/item-details/7B8yjBqv2snH4QKkjtyVGgfFH1GprrC27XjRUTD58qz4,Orange,Lightning,Concerned Pink,Rain,Excited,None,Bunny Purple,Sad
201,0.4,1536,79.04,https://magiceden.io/item-details/2v9qXnCb68xgEk756rNH3PVtFCjVaSD5VzPvbQ5BcCLi,Orange,Cell,Shy Pink,None,Panic,Scars,Fox Teal,Hungry
223,0.15,3031,63.58,https://magiceden.io/item-details/5PABGG2NJ3vreWb6bb99RnybJvgRfJWXRyqyWP8WKk6v,Pink,Cell,Concerned Teal,None,Exhausted,None,Dog Pink,Bored
225,0.4,2049,72.88,https://magiceden.io/item-details/5dJjrNBghjC9DyHzJBnQcPrUkgJ8Ab8QH568EH9T4GuC,Teal,Lightning,Shy Teal,Orange Halo,Panic,Cap,Cat Pink,Happy
227,0.15,3047,63.39,https://magiceden.io/item-details/EsbktB7RUqo1ps3ESwjEg9yGfGqn2q9fAdvdLWDGKruh,Teal,Heart,Grim Purple,Orange Halo,Panic,None,Bunny Teal,Sad
232,0.15,3182,61.77,https://magiceden.io/item-details/9AUA25Mv1Yeq1WNzYt3wEapoNVXAt2eYVg5Djp1Wkruh,Orange,Cell,Concerned Purple,Orange Halo,In Love,None,Cat Purple,Surly
234,0.41,322,93.53,https://magiceden.io/item-details/DyZCQD4CA93VLy1dwGu7X7YW6wYX9V4brzbZLVfDrBE,Grey,Leaf,Grim Teal,None,In Love,Scars,Fox Pink,Hungry
242,0.4,2055,72.81,https://magiceden.io/item-details/FKU5HXrB6aeibYyNdGLCmWS9PP6eL5932oKZxRRFSado,Pink,Cell,Concerned Pink,Rain,Panic,Mouth Scribbles,Bunny Teal,Bored
252,0.4,2400,68.66,https://magiceden.io/item-details/FFgupoTCzQWfvod7NdEbNfprELu96m3bxucjBFysN4am,Orange,Heart,Grim Purple,Pink Flair,Excited,Stars,Bunny Teal,Bored
262,0.4,3247,58.49,https://magiceden.io/item-details/GuKQNfARuo4Vm2AvDNq521obNTQgs5tGPUsWPefpXZiu,Orange,Lightning,Concerned Teal,Rain,Panic,None,Cat Teal,Happy
265,0.4,2279,70.12,https://magiceden.io/item-details/2RNV9CRdANmLBnLM489iSoLMk1DxoepmoHitucpgEvk5,Orange,Heart,Concerned Pink,Scribbles,In Love,Stars,Dog Purple,Bored
291,0.4,3316,57.66,https://magiceden.io/item-details/A5JwwYySYg2pHcL1C26MLmv1gf7z8wZJjBB2CbT7v3Dk,Orange,Heart,Concerned Pink,None,Hurt,None,Bunny Pink,Bored
303,0.4,2677,65.33,https://magiceden.io/item-details/rYhZzoYRTh8w77meNHeXwqrg6q2EajpypmdvUjxo9Jh,Teal,Leaf,Grim Pink,None,Panic,Cap,Cat Pink,Cheeky
304,0.15,1534,81.57,https://magiceden.io/item-details/8pejeeNZvnccBpbwhtBbUxcT2xmseKvcUDgCtnJEv63s,Orange,Cell,Friendly Purple,Pink Flair,Worried,Stars,Cat Purple,Happy
306,0.4,3254,58.4,https://magiceden.io/item-details/4rZW9Y6Gk4yK7EPEXGo6Z4myLUVEDgaLFscBkrtDGJEc,Teal,Heart,Grim Teal,None,Exhausted,None,Dog Teal,Happy
316,0.4,2095,72.33,https://magiceden.io/item-details/GzgDsPFr4x82Uf1eWgZNj8wZ821de4o3WBodPfft8q72,Purple,Cell,Grim Pink,Rain,Happy,Cap,Bunny Teal,Bored
322,0.4,3212,58.91,https://magiceden.io/item-details/4LJ2UDy3Ar94BFCEjuKHT3mmU3tSNDXs8MprqfyDiw9t,Teal,Leaf,Grim Teal,None,Panic,None,Bunny Teal,Sad
323,0.4,2530,67.1,https://magiceden.io/item-details/8ywSJk8wdMHLHr82tA4gRsjS2Dw1tN5xxPQTw63EixC9,Orange,Lightning,Concerned Pink,None,In Love,Eyes Scribbles,Dog Pink,Hungry
329,0.4,2153,71.63,https://magiceden.io/item-details/2bg6RZJ11JMyLm3zjJzqSHn1V8yAr8scytjj6tYLLb26,Pink,Heart,Grim Pink,None,Hurt,Stars,Bunny Pink,Hungry
343,0.4,2637,65.81,https://magiceden.io/item-details/4e9BCJf3GzvFYh98xM4AWAP1urYDrruv2GESE2BCD9JQ,Teal,Cell,Grim Purple,Pink Flair,In Love,Stars,Cat Purple,Cheeky
371,0.4,2142,71.76,https://magiceden.io/item-details/DYHYKNQV6JwZ3fV2c8zpzCWfzkXN6MQBP2Uoy6zXQWX6,Teal,Heart,Grim Pink,Pink Flair,In Love,Eyes Scribbles,Cat Pink,Cheeky
385,0.4,2655,65.6,https://magiceden.io/item-details/GdTJjqsoREGraiHfqfYQP29424iXQ1HgbmwCKHGemEYt,Orange,Cell,Shy Teal,None,Panic,Tornados,Bunny Purple,Bored
388,0.4,2554,66.81,https://magiceden.io/item-details/2EaVydJp4xanjXwWib6KbSX3pMgbYbnuaLz54xVU8bv7,Pink,Heart,Grim Pink,Pink Flair,Hurt,None,Bunny Teal,Bored
389,0.4,2111,72.14,https://magiceden.io/item-details/CfScQtdfQ9RJVMH2XZcHpJWxkJfLsgBGH6GG97rdUgaH,Teal,Cell,Shy Pink,Flames,In Love,None,Dog Teal,Bored
424,0.4,2869,63.03,https://magiceden.io/item-details/8ANbmRNvoFU8B9juYmPZD7ThEoAAwkgdPPrEdjC7qAbc,Orange,Lightning,Grim Teal,Rain,In Love,None,Dog Purple,Surly
441,0.4,1518,79.26,https://magiceden.io/item-details/6DvvyDGRB6NGcDuejfZT2T6JcRZVE6sv3BvdNSAGhEGY,Green,Cell,Shy Teal,Rain,Panic,Stars,Dog Purple,Bored
448,0.4,1248,82.5,https://magiceden.io/item-details/CreNPnrkhyzpTfoG9UARPLjRrMoqUGWSq9qbf8XnXWH3,Pink,Lightning,Concerned Pink,Flames,Exhausted,None,Cat Purple,Hungry
453,0.4,1489,79.61,https://magiceden.io/item-details/CftmwS8phhYrZUK5CJgYWmYyEq4AoJP5HeX71WzSmHT6,Teal,Leaf,Concerned Purple,None,Worried,Tornados,Dog Pink,Happy
467,0.4,3036,61.02,https://magiceden.io/item-details/6gqSjbaxcVaJvsKbQT87Q5U6ngXv3Keqv2nwg5zeEGiE,Orange,Cell,Concerned Teal,None,Panic,Eyes Scribbles,Cat Teal,Cheeky
474,0.4,2976,61.74,https://magiceden.io/item-details/FBa2c67gns3LRRdjNkNTTSVqhUvo1jKCrnkNxjz9mJKC,Orange,Cell,Concerned Pink,None,Excited,Cap,Cat Teal,Cheeky
477,0.2,1397,82.71,https://magiceden.io/item-details/Eg2c6GwdW2KGn3377jZMHVtJSJYJDUW8uNJqKp9qRdE5,Teal,Lightning,Concerned Teal,Scribbles,Exhausted,None,Dog Purple,Speechless
478,0.4,2154,71.62,https://magiceden.io/item-details/6DCW1X81yW7zSmtUs7x99snpnT2RkrxUeYLZzaTUNMuc,Purple,Heart,Grim Purple,Rain,In Love,Eyes Scribbles,Bunny Purple,Hungry
502,0.4,3163,59.49,https://magiceden.io/item-details/ByJGpF1nsTxj9j8yR4n7YJrcBK5YM7Gy5sddWtm2hHJ7,Purple,Heart,Concerned Purple,Rain,Happy,None,Cat Teal,Happy
538,0.2,2908,64.56,https://magiceden.io/item-details/7xmhx3uM9y1jATrjSCxPoDuEnqpkVBTX22YD2y6PNNXo,Orange,Cell,Grim Pink,None,Excited,Stars,Cat Purple,Hungry
539,0.4,3177,59.33,https://magiceden.io/item-details/CELYoqCAUba9Mxd272GzXgftkohUa8dXVeg6x6sqZL6W,Orange,Cell,Concerned Pink,None,Exhausted,Stars,Cat Purple,Happy
547,0.2,2747,66.49,https://magiceden.io/item-details/Ato9cNm6vm2owthfLXFtUu1YVhf2zjkjAeE64j6C6yfB,Orange,Heart,Grim Pink,None,Hurt,Stars,Dog Teal,Hungry
549,0.4,2270,70.22,https://magiceden.io/item-details/EnTfeAAPybvWr4kh7VgmYFDkeTZA7v24hJ4sQJRPfb3B,Purple,Lightning,Grim Pink,None,Sad,None,Dog Teal,Bored
551,0.4,2952,62.03,https://magiceden.io/item-details/76H2fGqezmPj8TGhNq1kybgpej3BFPjtUvstmwdxxumd,Purple,Cell,Grim Pink,Rain,In Love,None,Dog Teal,Sad
555,0.29,942,87.28,https://magiceden.io/item-details/GuEYeK3rTpJG9SZ7i4ZLhEE4FTZK5eFc126kqozRCyx,Teal,Cloud,Shy Pink,None,Sad,Stars,Bunny Teal,Happy
