id,price,moonRank,💎 score (%),storeURL,Background,Body,Body Accessory,Colour,Dog,Glasses,Hat,Mouth
6,2.39,3403,69.8,https://magiceden.io/item-details/77NFBZYJsixQCqF5WJphVb2Q2j5QnsKnSeL5DKHrBeWj,Cyan,Blue Uniform,None,Blondie,Chinchin,None,Red Beret,Stogie
110,2.88,3096,67.18,https://magiceden.io/item-details/8JXP9dxQEbJxVVDHXNLX89fngE1XP7VrSTF47PegumEU,Orange,Sneaking Suit,None,Coco Cream,Puppo,3d Glasses,Green Bone Hat,None
139,2.5,4158,63.11,https://magiceden.io/item-details/gob9B9bWNNNoehHpUqwMhoYMVPiGu9QitMabsk1cYTZ,Green,Orange Uniform,None,Ginger,Scar,Eye Patch,None,None
298,2.5,3808,65.7,https://magiceden.io/item-details/FoYp3otbSDJ2eoV3ij5iRvewUaJx7e4uxsmbFyf56za7,Green,Green Uniform,Blue Bandana,Silver,Oldboy,None,Red Beret,None
374,2.999,2341,71.58,https://magiceden.io/item-details/CiXsGEzbNdY2bvfQSbtZPpPRpkdrDbkv1yXtiKxKPZbN,Cyan,Blue Uniform,Red Bandana,Salt N Pepper,Scar,Cyber Visor,None,None
682,3,3432,63.49,https://magiceden.io/item-details/FTYziDkUKwLMKxgNWZEPjtWiGFAHiN8Dd7DzDFsk6wDu,Yellow,Yellow Tracksuit,None,Silver,Pugsly,Eye Patch,Yellow Beret,None
735,3,148,87.8,https://magiceden.io/item-details/4sHecFwhRKUprAVmk1u6VrgXYiLkzaGkTzX8UB5HXooi,Yellow,Blue Tracksuit,Red Bandana,Twilight Beach,Rage,Monacle,Green Beret,Cigarette
744,2.4,5370,55.14,https://magiceden.io/item-details/5xxF4QLZDfe4YPnq4XaD5DdTTWqAGuMEe1AuzYTRoJjn,Green,Blue Tracksuit,None,Silver,Puppo,None,None,None
787,2.7,1199,83.02,https://magiceden.io/item-details/RekYuYZouAXAwiAVjaiXo2L7d4EJohmHtvi7hEpD5nb,Green,Winter Uniform,Blue Bandana,Blondie,Pommy,Eye Patch,Red Beret,None
809,2.9,3178,66.37,https://magiceden.io/item-details/2fFzpog8XKQRGCFg15EtnEPyDmvwADik8DmwkXf7M217,Yellow,Green Uniform,None,Aquarium,Groucho,Viper Shades,Yellow Beret,None
838,3.2,4623,52.67,https://magiceden.io/item-details/Ap9bDMdhErFEpQSiaN8prJ8T7Qg7RXFbTr2Zaum2KQxZ,Yellow,Spiderdog Outfit,None,Ginger,Schemer,None,None,None
842,2,4439,66.03,https://magiceden.io/item-details/6o8i3xBKqDNHbqpkHec4MsHWWLqDJVzfhvkrP8Msqic4,Yellow,Green Uniform,None,Chocolate,Puppo,VR Headset,None,None
909,3,4207,57.75,https://magiceden.io/item-details/AhPMgri5ksLzL7VNpLfEBxCMMaWHzc3sFhPaZdDRhrj9,Pink,Leather Jacket,Red Bandana,Ginger,Crazee,None,None,None
916,3.2,3016,64.57,https://magiceden.io/item-details/HRgu9zsNMNatGEmYqk1jvZ7qwKSvA8pjyWDmhMr1yDoc,Green,Spiderdog Outfit,Green Bandana,Blondie,Sniffy,None,None,None
921,2.3,4387,63.42,https://magiceden.io/item-details/7nnUxNk9EMA1HZZtYbCjhtkjbn8P7w5WdfVJtERXDEGQ,Blue Speed,Leather Jacket,None,Chocolate,Shibe,None,None,None
936,2.65,5382,52.55,https://magiceden.io/item-details/6jHxm2QRDPUg3EGHV8vqsfH6ez4JCYbmQV2gZcuuUtLU,Blue,Green Tracksuit,None,Brown Bear,Puppo,None,None,None
1051,3.5,4992,46.94,https://magiceden.io/item-details/pLXKEVEDXxMRLHyTQnNcJG7A7bMJwjhurjN3L6m1af9,Yellow,Green Uniform,Red Bandana,Salt N Pepper,Crazee,None,None,None
1053,3,3721,61.35,https://magiceden.io/item-details/3PYgNa1HNLSzHTgvEPCS41UW48shoUpWuBdo4EEnJMgg,Pink,Green Uniform,None,Ginger,Wolfie,Deal With It,None,None
