id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Beak,Body,Eyes,Head,Type
23,6.5,3062,73.13,https://magiceden.io/item-details/B4FXsrivmViwEdekhPS2TAiASFjjFGYvAB2q9jm1K7mW,None,Violet,None,None,Superhero,Mohawk Thin,Green
85,7,4772,60.17,https://magiceden.io/item-details/7sXjhqxLnMwEmE753oGJck4cV4TMTqfY6jpaZH7NT7uW,None,Cocoa,Joint,None,Closed Eyes,None,Green
88,11.69,6708,4.25,https://alpha.art/t/H88kBUQXTdB7owsTjurrQTtsUcyiW5vnecxtxhXUDKrT,None,CoolBlue,Vape,None,Normal,Crazy Hair,Orange
306,8.5,1803,59,https://magiceden.io/item-details/CsgQy8bjBhZz78seVTbbHQCMY9UK3RsaxezXwW5A83jx,None,CoolBlue,None,None,Big Shades,Fast Food Cap,Skeleton
327,9,8541,22.61,https://alpha.art/t/8woFLRRxUNgkWJ7AqWtMbSTtH1Lvb6qfs4VE1gCCjYM1,None,Greyteal,None,None,Normal,Crazy Hair,Orange
339,6,2840,79.17,https://magiceden.io/item-details/DSb1aVc4HVDYxb2zzbRd33bXmj8FgTckcJsdgRcZr2bV,None,Violet,None,None,Superhero,Mohawk Thin,Orange
367,6,1617,84.87,https://magiceden.io/item-details/AC5WnsRAKEo3bqHAWiiR4gcZGeWoLqZy9XEkoCWvoNpy,None,CoolBlue,Mask,Kimono,Normal,Vampire Hair,Robot
381,8.39,2731,55.78,https://magiceden.io/item-details/HqtuBqkRSuSpf1v37zmf67XyXBLJyydBT6Ne9HJu3suW,None,Cocoa,Mask,Life Saving Tube,Normal,Mohawk Thin,Black
421,7,2289,71.74,https://magiceden.io/item-details/5VcFmRpqhEJbyFD2doUp7zToj9PF5CYnKeiNvz2ibc1F,None,Greyteal,Blunt,Dog Leash,Normal,Cap Forward,Purple
453,7,3772,64.83,https://magiceden.io/item-details/3C3zSXjgZEyKfuwHNN2XH3zndp1dagM2HZ61aufRQPaq,None,Violet,Cigarette,Life Saving Tube,Normal,Cap Forward,Purple
495,500,4042,0,https://alpha.art/t/EdkD7FbB9aomaCbMYB4TnjBPRJR5dXctGh1Q59q6Q3GA,None,Greyteal,None,Black Suit,Wink,Cowboy Hat,Green
517,7,1158,77.01,https://magiceden.io/item-details/ERQGoJr3pWaBT9PuRAmvWK5q6DrTY6S8St5mcrfG6Yf6,None,Cocoa,Cigarette,None,Regular Shades,Burning Head,Robot
543,5.24,4479,79.13,https://magiceden.io/item-details/EgXVaRymtoVfoZ4LauhHRq9xFvzPF3EFmALDEQvFCzgR,None,Solana,None,Life Saving Tube,Normal,Pirate Bandana,Orange
559,50,4416,0,https://alpha.art/t/DAepvGF6EYGaqCc3djSCUHAB6eG9tXqsQHcCgybVNQwC,None,Cocoa,Vape,None,Normal,Crazy Hair,Robot
604,5.25,2116,90.04,https://magiceden.io/item-details/97yVBy6ozLXStY4GeaJvEgk7R6HRHPpkdonj85Qpb13M,None,Cocoa,Warforged,Black Suit,Normal,Bandana,Blue
605,14.4,742,4.94,https://alpha.art/t/CPRMTRgJvm3aXuBhGy3kWGN1pYJ8eJh1mQueGVScpAZ8,Earring,CoolBlue,None,Dog Leash,Relaxed,Vampire Hair,Black
641,7.9,6356,43.79,https://magiceden.io/item-details/BiS1tJ9aWE7V4kembs94jADyW1YhBZBovq4oQjP535a7,None,CoolBlue,None,Hi-Vis Vest,Normal,Tiara,Black
