id,price,moonRank,💎 score (%),storeURL
15,5,524,64.31,https://magiceden.io/item-details/FiC7R1QLzCGSQT8MefQ1dvP7Vsp12yNCeZwPkhEpZ3p4
54,20,52,0,https://magiceden.io/item-details/2Uyffqzsmc3hfhRBXEPAnJ7qQqi8S8Zy4Nkb4e2XqWZG
237,80,965,0,https://magiceden.io/item-details/A3B3tYpwtFZpKvhcyhkNHnvGaLARCaihqij9PN9X5Mie
239,2.4,5407,55.04,https://magiceden.io/item-details/94mdv3nFqffKpxavz2TPUs9eiQDDauSUUugXY1QSJrcz
278,3.4,771,78.53,https://magiceden.io/item-details/A5xcX9fF3Z2NamKkDxbdKTvK2Nqt8o6pqfDc4PKqu2B
319,7.8,268,38.16,https://magiceden.io/item-details/955ow9T6pAaTZrYJ8ryWbcsQqCVqn6KszpQA6qSgmyvD
334,3,289,86.01,https://magiceden.io/item-details/3WbFDzMGWcG32J399MKgzt5aFHnK14tajvLYaqM2dnH4
410,2.2,4453,63.93,https://magiceden.io/item-details/AXUM9V6eH5MoF5Sq6xhhDDtU6zPD34SaJS9keFv25VBv
423,2.8,1607,78.49,https://magiceden.io/item-details/HWjg8daakvVQHAC3oykbfTZRNc7STpviXHYsCNHBGWSq
426,4.8,222,68.5,https://magiceden.io/item-details/8RA92eJsiyrKivxHKYXJ8m4mqeCaJrCvTgf6vZJpWp7
432,2.2,3075,73.89,https://magiceden.io/item-details/6SwHuzNyKX6W5SF6YDBSKRLVCcgsRxKsRLXfr9ifCNVh
724,4.44,211,72.18,https://magiceden.io/item-details/DWguEfj8XrVb5W46ouUPdcot33asKU2o9VkkBkwKsPkJ
745,10,719,12.91,https://magiceden.io/item-details/82o1wJwqG7cao7ZiSb6EeccqvmEVaKz63ww1NkN1tgBZ
771,2.5,1172,84.63,https://magiceden.io/item-details/2i7dbsPw8niLZqB1oGzpRGq6mEQV8hhomnWXAiAD8c6Z
790,15,277,0,https://magiceden.io/item-details/BJk2BF6P5XJn987kcZCaHhQmaivZqGGk6Hp4DKiKaW6u
795,2.15,5297,58.33,https://magiceden.io/item-details/D2VsYUkUidyhz32QpLMMyDZhRTGAzBZiLxqrgoCXVK2
816,2.5,4903,57.68,https://magiceden.io/item-details/3Ya6FYoYbaTrhSHHpXtVnXv1ziqbEMyFftmq9pEnSzzE
914,4.55,4721,38.49,https://magiceden.io/item-details/CErFEJ8CGMn5TpBtcZ7fTQGhWWzFDb56WGmFXrx4jwgT
941,3,4894,52.75,https://magiceden.io/item-details/92pbk5Z8Gy9ow5GMoRD1pMvhhGxnAeZECuDBc7htSvzb
1027,4,3254,54.59,https://magiceden.io/item-details/5miGbytxd6p6HNzyUvYsmE8FnaYZ3KYR9jjoSti6Rk2z
1150,3.33,3479,59.67,https://magiceden.io/item-details/XjGFY64vZCLGq4kWS6rEyZebe2ShvrumtNf2QoqdFA5
1193,2.5,1856,79.69,https://magiceden.io/item-details/D3yYppuGZCeiS4mSS6m1PPcRKvMekzkXAE5u4eZnS9mn
1314,4.44,216,72.14,https://magiceden.io/item-details/CoEd6xAEsBTfks8VE45KUrSq2PaoT5gsGgWJhfZAd6vj
1342,3,3149,65.35,https://magiceden.io/item-details/6GNEEZ58T8eDod8RCkuadMg6h3BXf7uwcti4zhSCGfmS
1343,3,2681,68.73,https://magiceden.io/item-details/8Wnwb9f1HyL6Dru1fJGYtSsdEhPUeYFwei19J5HoeWpL
1378,5.5,754,57.65,https://magiceden.io/item-details/HgRgQ7hut9TpYSxFinCRSk7NF3CUYSqhLTA7q7NCE1W5
1452,2,1506,87.22,https://magiceden.io/item-details/5erf5YCivdW1yWXEQzkZnt8cbkZXA7hAzrLKsfMi6k4z
1465,4.9,9,69.03,https://magiceden.io/item-details/B1RVSRC2kp9qWkBhi78UvVCmMaSS8uYyrExHJgAeNGGN
1467,3,5097,51.28,https://magiceden.io/item-details/Czh9ynzqai62eueMsFmZ2zyDNJLnvo2C71FD2Zrjrqe6
1499,6.66,113,50.68,https://magiceden.io/item-details/69xPLUC3wEVhBjpSNS4FTygmgdLr9RVnRyCeBic1Pr2v
