id,price,moonRank,💎 score (%),storeURL,accessories,division,extra,eyes,hair,mouth,outfit,skin
30,0.42,4182,61.48,https://magiceden.io/item-details/45preyB3aN7HNc3ZGCoLKCeZq7bC6UKSevS2sufNnX4b,blue neon bars,industrial,none,neon green,middle part yellow,lollipop,saiba t shirt,default
36,0.44,3502,67.41,https://magiceden.io/item-details/HwPwjTdZPDUrqYabymb8wKBmJsscHM27fW4bW2tXuxbW,none,industrial,neon katana,neon red,spikey red,side grin,knight,cyan
36,0.44,3502,67.41,https://solanart.io/nft/HwPwjTdZPDUrqYabymb8wKBmJsscHM27fW4bW2tXuxbW,none,industrial,neon katana,neon red,spikey red,side grin,knight,cyan
63,1.69,291,83.88,https://magiceden.io/item-details/9eUovEfvib4ShKXo2nTZ3dKMogtw5UgLTQ4THdeY2UHL,studs,portside,neon katana,rage,middle part black,zomie mask,punk,purple tattoos
103,1.5,135,87.18,https://magiceden.io/item-details/APRRneikmjB7WSV8uRaXY23P4rVsACfpp3p96fBw6GuW,blue neon bars,night,charge swords,black,red slicked back,shuriken mask,rider,toxic
104,0.6,3691,64.11,https://magiceden.io/item-details/EEByCAnT3utxuVqo6s8HDRDf6spRWEnw5bSyPbscS8DM,none,dregs,none,emerald green,short white,lollipop,tech jacket,cyan
124,4.99,233,51.4,https://magiceden.io/item-details/Cx7qVc3FKjE3este8WXASWipgfBfLXTKRn1SmKZbB4ZV,blue neon bars,portside,double neon katanas,neon red,short blue,default,punk,bionic
125,2,1457,70.26,https://magiceden.io/item-details/DJBkEsDMLrmQKAGMbyYLHXrff9zncjYgQ2gW8taFLUz7,studs,night,none,neon green,middle part yellow,default,amplifier,ambernetic
158,1,3306,63.58,https://magiceden.io/item-details/B4CFV3h2GAokTLaQQY8jmDrJ4CY2hWtmWZdq4PBuhek9,none,night,neon katana,neon red,middle part black and white,lollipop,amplifier,implants
160,3,3552,41.36,https://magiceden.io/item-details/FXTNiosNwqFbqbKswfFVvChQo4fFdtbjDoEFVU2WaFmV,blue neon bars,portside,none,neon green,white slicked back,lollipop,tech jacket,cyan
181,0.8,2418,73.59,https://solanart.io/nft/C4A5fcR4gAKavUGABQsc8Srx5xNpggmm1DFJw6dFQQ1X,red neon bars,dregs,neon katana,black,mohawk,radioactive mask,saiba hoodie,implants
217,1.5,357,85.18,https://magiceden.io/item-details/Hm9C3kFwCEYm2pKypSnhGFkBk8vpPk7RjVDoos49pWMS,ball earings,night,neon katana,neon red,short purple and black,smoking,guardian,green tattoos
218,1,1687,78.18,https://magiceden.io/item-details/8FbxyNnx42BWLQNd6kF3mHrfjSs9YLpVM5uVWTsWbToH,green neon bars,portside,none,black,mohawk,viper mask,rider,striker
219,1.4,2971,62.6,https://magiceden.io/item-details/3YEstGXYgAPndG7PQNtQRtxRBfBAfgy5BWtQMgnvJNJH,none,dregs,none,neon blue,red slicked back,oni mask,punk,booster
227,0.8,2492,72.92,https://solanart.io/nft/CmWGBHZX8RWugxWFvknsCPFHdiupThrYjmJZMgJN6Qci,none,night,none,implant,black long,oni mask,saiba hoodie,cyan
239,4,961,54.73,https://magiceden.io/item-details/8gkin2hdbTuY4UCAKmdk21YXRWSuMbwQMXrGs6YSLEZS,none,dregs,neon katana,candy,short white fade,akuma mask,saiba t shirt,implants
249,2,76,82.71,https://magiceden.io/item-details/D3eiTpe9fbVFVwgbpiZu7Bad1YaZcJj8FU7o6QTypFBZ,blue neon bars,night,black katana,night vision,short purple fade,zomie mask,paladin,booster
281,0.5,926,90.05,https://solanart.io/nft/5mWD3CKbyzsW56p5ync3YqxmjVDKPSyScFu9ZAWSrhkJ,kunai,night,black katana,black and yellow,black bob,lollipop,tech jacket,gunmetal
