id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Base,Face Feature,Hat,Nose,Shirt
5,0.19,884,63.81,https://magiceden.io/item-details/9cAuMZXqPf6uLuwEJHrjk75aNKGt2juMoASqigArCaX7,None,Cyan,Brown,None,None,Blue,Patrol Shirt
29,0.15,988,60,https://magiceden.io/item-details/7Cm35CRbQShjfF1uKj8i9QWcLjKE2WLXHWZq8zJnXpDt,None,Teal,Yellow,None,None,Black,None
103,0.5,264,85.81,https://magiceden.io/item-details/2EntHVVESjhC9zCNJzq6tzCcMDGyJmgxEMvvjhoL9seP,Pink Readers,Blue,Orange,None,Plunger,Light Blue,Blue VNeck
111,0.25,396,82.97,https://magiceden.io/item-details/2qUZAnzmG1PSQGnpiU83q7eW6UMW8XdGcDqC26xcismx,Blue Sunglasses,Salmon,Grey,None,Beanie,Blue,None
137,0.34,171,91.18,https://magiceden.io/item-details/2GZRxrqcLE62FkEVLFrLpx7a6K6ZxLD8QX7UDC5azDA8,Cigarette,Orange,Silver,None,Afro,Black,Yellow ZipUp
144,0.44,194,89.25,https://magiceden.io/item-details/7Z41cRj7tavxcwtwkSpik4BrNR4EwHc3BvZ6TrvVmTN5,Cigarette,Purple,Steel Grey,None,Lucky Hat,Yellow,Brown Shirt
188,0.3,724,69.19,https://magiceden.io/item-details/2YexZnynVHVQRgBfmibb31BMQvWAcMoM9wcY7j4jMFNn,Blue Readers,Teal,Silver,None,Bandana,Steel Grey,None
193,0.33,657,71.6,https://magiceden.io/item-details/66DCcDnGHxBgLPkaazx4EW5EKVs95TwqcGfCSzkbtWiB,None,Lime,Brown,None,Buccaneer Hat,Black,Red VNeck
202,0.315,737,68.51,https://magiceden.io/item-details/BMECcxcAbps6tXD9rnmgK8KWwr6ZYN3KtA2L1Tc2X4pz,Blue Readers,Sunflower,Sage,None,Turkey Hat,Brown,None
220,0.44,648,70.87,https://magiceden.io/item-details/GSCEzJh74eRbNZackYRNch9bsqYVmhA2XUxHKuAo8v41,Purple Sunglasses,Magenta,Lavender,None,Ham Hat,Green,None
248,0.2,222,90.51,https://magiceden.io/item-details/EgEXyFGKYo9mnKkXfScSJ6EEKMUaweHpaG6Fk7EFtd9J,Cigarette,Pink,Grey,None,Lucky Hat,Green,Red VNeck
286,0.24,105,94.85,https://magiceden.io/item-details/JAzBsVfcmP9yEXMVK6eLQ5oTGydZPRWaeHYeJMh2uay1,Gold Chain,Sunflower,Brown,None,Yellow Miners Hat,Pink,Yellow ZipUp
345,0.5,603,72.09,https://magiceden.io/item-details/6DupDP7LJeaQWN9SifF8MYmN1HiZC6PuwmQRBeJsrWGQ,Solana Vipers,Blue,Fuschia,None,None,Brown,Red VNeck
361,0.32,502,77.98,https://magiceden.io/item-details/44L2Wn7HRQgHatmS9JsgwqVCioHsGWLA299fXbqYrxfA,None,Blue,Pink,None,Cute Hat,Purple,Red VNeck
408,0.3,324,85.38,https://magiceden.io/item-details/H1nZTgR6hKXiXGXGmqmQDqDWiFdJNAoSpPZTKCgbAMWt,Purple Sunglasses,Lime,Lavender,None,Bandana,Purple,Green ZipUp
440,0.5,456,78.04,https://magiceden.io/item-details/C5MFuyGzVbTGK7FpFZKd3QmpkEpCwA8N9yXRVCvkSnFS,Green Readers,Blue,Black,None,None,Magenta,Brown Shirt
444,0.15,791,67.98,https://magiceden.io/item-details/6d6XJPQa2ojD9rCj9rgUBijhtdLpsecjEFFtyE5CNTCX,None,Pink,Red,None,None,Magenta,Red VNeck
