id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothes,Eyes,Hat,Model,Mouth,Reactor
264,0.07,1922,84.35,https://magiceden.io/item-details/7GvDzgZk53JpfxHoAqxhS9ed6WiAPaD3cgujPEJs9S6g,Pink,Green,Nun Robe,Happy Green Black,Purple Cap,BLZ-420,Red Red,Blue
503,0.08,3496,71.43,https://magiceden.io/item-details/G6dDuTQDfnU6iDXxxURJu8wk4Rkf7sqCTVmaT65XTEG3,Yellow,White,Pink Sport Bra,Purple Beach Sunglasses,Headphone,R4D-69,Titanium Green,Blue
638,0.099,810,93.11,https://magiceden.io/item-details/EN2PrYj3yUpRD1XVf9pLDQWXiqzg87FxESaJRENGPnP,Light Green,White,Red T-shirt,Angry Black Green,Bandana,BLZ-420,Blue Green,Blue
705,0.1,4911,59.7,https://magiceden.io/item-details/csnQjhTuBgTyeYTawxgq6oxyVEcNcrgqzDYPnmqcG2j,Blue,Blue,White Tank Top,Angry Black Green,Purple Cap,R4D-69,Orange Green,Red
798,0.099,3827,68.54,https://magiceden.io/item-details/EbspwWjo2YMf3KuqSeL5X6kacgXVtSUgp5RYnyafPbh8,Green,Red,Red T-shirt,Neutral Blue Black,Beanie,BLZ-420,Blue Blue,Blue
985,0.09,3804,68.82,https://magiceden.io/item-details/CuMUYhDZvXY5LcDtUnAAVHZ2LNE1vcE5J6AYUnysYFnA,Green,Red,White Vest,Happy Blue Black,None,R4D-69,Titanium Blue,Blue
1227,0.099,2863,76.39,https://magiceden.io/item-details/HzTK48uoG8EUyNaz6DcbPd41QC9qtoEDdTCfud3Af37z,Yellow,Blue,Purple T-shirt,Angry Black Green,Headphone,BLZ-420,Titanium Green,Red
1573,0.099,912,92.28,https://magiceden.io/item-details/2AmJSzJ7AvPmBpEpFGp9huTJ9vBpJeGzHU5QkJraE45P,Purple,Black,Armor,Angry Black Red,None,BLZ-420,Pink Red,Red
1846,0.08,3313,72.92,https://magiceden.io/item-details/F19JRj3xfxUDVei7Q6rShg2FVBL6vbCsFDrFSmTFgx5Z,Green,Gold,White Tank Top,Bored Blue Black,Devil,R4D-69,Blue Red,Red
1871,0.09,871,92.71,https://magiceden.io/item-details/BHt3uLMiivhYMZvNbLsCEMUYVcvBq3EZ7BCdFoXUEMdn,Blue,White,Red T-shirt,Orange Beach Sunglasses,Party Hat,R4D-69,Titanium Green,Red
2233,0.099,2542,79.01,https://magiceden.io/item-details/2RwHGJ86VNXTxabuWemvLaKL7xccVD72jt7JVGoLmbHC,Green,Blue,None,Matrix Black Sunglasses,Construction Hat,BLZ-420,Red Green,Green
2290,0.099,3939,67.63,https://magiceden.io/item-details/E9mjHSxD2s5ZnMFRtUk6wYssbgX2hDC7Y4sz64VUEUa,Jupiter,Black,None,Bored Black Blue,None,R4D-69,Titanium Red,Red
2443,0.1,297,97.28,https://magiceden.io/item-details/D9SVzaz4fbpSkvygDUAJtwqtsDgaboZfGUPhL4VfefpF,Jupiter,Titanium,White Tank Top,Happy Black Green,Headphone,BLZ-420,Green Blue,Red
2461,0.099,4775,60.82,https://magiceden.io/item-details/H6xmHG7sLvMy9YfCDTtVzpTwNf4JjWiSL7Ju2ZpVGHoU,Green,Orange,Red T-shirt,Matrix Black Sunglasses,None,R4D-69,Blue Red,Blue
2547,0.1,4883,59.93,https://magiceden.io/item-details/88JjwvWXuLJzeTygjAUQKwzu9t784FvY5fjUzik2jMmM,Yellow,Red,None,Neutral Black Blue,None,R4D-69,White Blue,Red
2817,0.09,126,98.77,https://magiceden.io/item-details/9bG2SU993r72kADzpnarPworn9jVhgSHYqgLufT1nnwN,Blue,Copper,Purple T-shirt,Yellow Sunglasses,Military Beret,R4D-69,Titanium Green,Blue
2859,0.08,711,94.11,https://magiceden.io/item-details/ANhLbDphJHvEvoNiY877Z8vJ6oDWbmXVxp3pdf6dPG87,Purple,Gold,Yellow Jacket,Sad Green Black,Purple Cap,R4D-69,Orange Red,Blue
2902,0.08,2430,80.11,https://magiceden.io/item-details/8VRW2XGSobo1w6U4DoPgBXgLe3GMtAKxiRu1fxfFC49d,Pink,Red,Green Sweater,Yellow Sunglasses,Construction Hat,R4D-69,Orange Red,Blue
3511,0.099,3107,74.4,https://magiceden.io/item-details/WG1PFSDQs16SJUxVEpRqvzHsFakgv2mxztWNVspx9MN,Yellow,Green,Green Sweater,Evil Red Black,Beanie,BLZ-420,Blue Blue,Blue
4474,0.099,2549,78.95,https://magiceden.io/item-details/EbfjHSBb9RhuMdEKM7J5NzZZW2xTdqEWxAjmeeNSYmJE,Green,Blue,Blue Sweater,Happy Red Black,Construction Hat,R4D-69,Blue Green,Blue
