id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Face Decor,Full Mask,Headgear,Lower Face,Mouth,Whiskers
15,0.05,1847,77.41,https://magiceden.io/item-details/2jenoRDFznzgyFoKbAxij9odRBbvLKgvhyH3mowb3R91,Mars,Bengal,T-shirt,Beat up,,,,,Unhappy,Electrified
16,0.05,1543,81.09,https://magiceden.io/item-details/6zwUDUe8PXNiPfYto87zTvLF7TSrfbpY3exBrhfiu7Lp,Night Blue,Sphynx,Cyborg Enforcer,Sus,Steampunk Goggles,,,,Unhappy,One
18,0.05,1194,85.32,https://magiceden.io/item-details/BshToGbGqG4ph1oVX3p7oKhyNhW2dqAZNvjLL57FXDaK,Violet,Zombie,Pilot Suit,Crying Cat,Steampunk Goggles,,,,Standard,Messy
19,0.05,1253,84.61,https://magiceden.io/item-details/BdGhBF68M32tsipKiFViPdNqCUbttioKViEtvvhMH1Ar,Cyan,Spotted,Bling Bling Necklace Silver,Tranquil,Cyborg Pioneer Head,,,,Robotic,Two
20,0.05,2395,70.77,https://magiceden.io/item-details/AmPeybSdFRkzRUc3QErxx29DxrCajtkfcKSFKr8FsXfx,Night Blue,Spotted,Leather Jacket,Amazed,,,,Bandana,Excited,One
21,0.1,2277,71.7,https://magiceden.io/item-details/6N18e4iUFacKdWPb3jnuvNk6A3fuciAZx9RqbpzUBARK,Violet,Persian,Patient Coat,Bored,Visor,,,,Standard,One
23,0.1,820,89.35,https://magiceden.io/item-details/3bPyU7RNCBThD4Y6g4xnEYmEWwnofXLfi8C9yiQuQHR3,Navy,Black,Mecha Pioneer,Crying Cat,Monocle,,Sandwich,,Standard,Curly
24,0.1,1477,81.39,https://magiceden.io/item-details/hREj4bZsdJAa7fxw3qTZJBN2sXPjSfuq2f4yQBFcpBu,Magenta,Spotted,Bling Bling Necklace Silver,Possessed,Steampunk Goggles,,,,Shocked,Long
25,0.1,1751,78.07,https://magiceden.io/item-details/EVSGJTsqnMpdMNPvQtdg3mtxHAL7Aiizj7xa99Kaqupx,Cyan,Black,Cyberpunk Dalai Lama,Scar Sad,Eye Patch,,,,Standard,Curly
90,0.03,1035,87.45,https://magiceden.io/item-details/FXuPU9w7AeuiCeSMbCuJ1MWSRX63g4S3Efwe8ekdmdrd,Classroom,Siamese,Bling Bling Necklace Silver,,,Mecha Technician Head,,,Robotic,
124,0.05,2472,69.84,https://magiceden.io/item-details/BsAj2j8TFBJRjxu57w2i8i3sgLksE3GzeTuqH1JQuT8W,Classroom,Bengal,,Cool Cat,Steampunk Goggles,,,,Standard,Thick
