id,price,moonRank,💎 score (%),storeURL,Background,Body,Eyes,Flair,Mouth,Smoke
29,0.22,460,71.56,https://magiceden.io/item-details/5BwvyjUGaZ2as8P39anwbsmZTDm8WhXxk9JJeQcqZ4zB,Candy,Stray bunny,Watery,Rain,Scary,Mint
71,0.48,549,63.46,https://magiceden.io/item-details/2mAyQBCHjZFgneTkiKGioSHvxePw6TRfT8XAaQnkNqhW,Raspberry,Bat,Flaming,None,Fangs,Mint
89,0.45,401,72.91,https://magiceden.io/item-details/2YgHDk6en1evR6wXnhxZHPvYT8nYm2qs4TtJzKLuuv1d,Candy,Snake,Flaming,Rain,Teeth,Cotton candy
157,0.25,647,59.7,https://magiceden.io/item-details/4FM3FuHPYHYVA8cyCEwXXqUnCXZ5vs3aqpgnLwAyKVB9,Candy,Stray bunny,Flaming,None,Scary,None
168,0.35,345,77.37,https://magiceden.io/item-details/HS2TddGTL1S3V7zNXT4Ty5sQe8uDcZxS8Lergcw8uPqq,Ice,Worm,Watery,Rain,Scary,Cotton candy
169,0.22,418,74.16,https://magiceden.io/item-details/9jgaySuWXJL7MaDRsZbHvWqmrz6TLQEvAido7PnHjys4,Candy,Snake,Flaming,Rain,Fangs,Toxic
191,0.5,142,88.42,https://magiceden.io/item-details/DXZkYotokheg2mgzwBzsPGyHZS2nMxq1uBuCbqobTkLj,Raspberry,Bat,Spiral,Lightning,Teeth,Mint
209,0.45,595,60.91,https://magiceden.io/item-details/HhFyPwsWn5aiU9sjCMEmLTQJMiJYzaojeTQvPFngbRjC,Candy,Snake,Watery,None,Fangs,None
262,0.46,289,79.73,https://magiceden.io/item-details/QhAvfTb3DGaYejDrYHQsBLreW5T98bt27cEQK1v7vWD,Raspberry,Worm,Spiral,Rain,Bored,Mint
291,0.5,384,73.46,https://magiceden.io/item-details/DeiBgU2kmbcJHtzWVS2YseR9ytzpWhcMZyNQnbCAmLKT,Raspberry,Snake,Spiral,None,Bored,Mint
307,0.22,535,66.92,https://magiceden.io/item-details/Fn6epgQjHtXGvjRYFcsViqZwT3ymtUK44ssixcAhgsc2,Candy,Snake,Flaming,Rain,Bored,Cotton candy
322,0.22,451,72.12,https://magiceden.io/item-details/34dwuTNctRoWqTeHkqb7XVdveq7qMCPRctRf54sBKPpb,Ice,Stray bunny,Spiral,None,Fangs,Mint
338,0.69,426,68.96,https://magiceden.io/item-details/FZbuPSbAGTCj278aJtJcxxqCtQyb9zwQagWdrxty8DXG,Ice,Worm,Spiral,None,Fangs,Cotton candy
399,0.48,618,59.19,https://magiceden.io/item-details/G3xgGGCTvugo3ja7Tx2VfmmncRKmXab1UxwvARUUz97j,Ice,Snake,Flaming,Rain,Fangs,Mint
401,0.48,643,57.65,https://magiceden.io/item-details/DkUGxu8ULsiJqcSSqNMZ71WHs7h7xWkeQazQzhDYNeSx,Candy,Snake,Flaming,Lightning,Scary,None
430,0.69,378,71.93,https://magiceden.io/item-details/3jG65krrbGWUyh7rzzr3d6N29p5x2dwANrzK9KvdPjP7,Candy,Stray bunny,Flaming,Lightning,Bored,Mint
491,0.4,587,61.91,https://magiceden.io/item-details/89NH6oDvuNT6urHKnid2jVqsieiVYkfS9a8iPYXBusLP,Candy,Snake,Spiral,Lightning,Scary,Mint
579,0.47,191,85.69,https://magiceden.io/item-details/3VhDdBaroXCKCfZkCRy3vr2JLvpKvia32gPjP6KzUa4W,Raspberry,Stray bunny,Watery,None,Bored,Mint
584,0.56,580,60.74,https://magiceden.io/item-details/AxVtv5JmQLyBg4Dkh4EXmCpnSjYMVtmoSX5NwGvChEuu,Candy,Bat,Watery,Rain,Scary,None
651,0.55,100,90.52,https://magiceden.io/item-details/CVW8VYx42jwQfWQQLNK1hMp34uA4H8T4Uzu4KfXBPetd,Raspberry,Snake,Bored,None,Teeth,Mint
