id,price,moonRank,💎 score (%),storeURL,Accesory,Background,Clothing,Eyes,Hair,Mouth,Name,Weapon
335,0.07,2417,79.93,https://magiceden.io/item-details/CSnGB2HUEtwApzvSuevo8r1cz6SGxgJ8ED7JC1sGQxFP,Blindfold,Rose,Bandit Tee,Amber,Wasteland Mask,Neutral,,Chainsaw
336,0.1,2179,81.55,https://magiceden.io/item-details/49cRaRJ5JeHC4MK8ZTz2EYhoZ9cCLTkHVz8ZoKFVmr3K,Samurai Mask,Yellow,Street Kid Tee,Blue,Cutoff Bun,Annoyed,,Submachine Gun
389,0.02,2432,80.31,https://magiceden.io/item-details/DVWPZkhBFNPZNT4WxSZX2mS8stxcqkWM17T6ZZkEWsHx,Box Earrings,Lime,Streetwear Jacket,Amber,Slicked Bun,Excited,,Dual Swords
438,0.02,3279,73.46,https://magiceden.io/item-details/5rHiuv6wtDkwdc7fPLk7iYa7df1wxAb1X2owG76mQ4Xq,Scars & Piercings,Purple,Bomber Jacket,Yellow,Wasteland Mask,Excited,,Bat
536,0.015,4586,62.96,https://magiceden.io/item-details/2Pp9n1Zh9yjTAdsYzyfENumGeDPPP8VfmDwcZvPkdBHC,Face Paint,Teal,Fighter Tank Top,Empty,Slicked Up,Grin,,Dual Swords
550,0.026,3707,69.95,https://magiceden.io/item-details/9dComGqeqCXHzoEMX1Toiw3ghZ31sJGWTdJdzQicpsE5,Scars & Piercings,Lime,Fighter Tank Top,Purple,Wavy Long,Neutral,,Scythe
650,0.1,2684,77.47,https://magiceden.io/item-details/ArFDD6TfocCaHr4TodvVQJe5Bedufcvnsn1kJzt2skdr,Bandaid,Orange,Street Kid Tee,Black,Combover,Grin,,Chainsaw
709,0.1,345,96.36,https://magiceden.io/item-details/DeZJw1vECduApHdTGNo8w5FhLGAmnGct9fGo4T8Rgecp,Tattoos,Teal,Corrupted General Uniform,Empty,Middle Part,Excited,,Greatsword
716,0.015,3180,74.31,https://magiceden.io/item-details/Ab4MRRuJTgyUdyEUWiyga8txJRiSARdRgKuTwts9uSVR,Box Earrings,Orange,Military Uniform,Black,Slicked Back,Shark,,Katana
733,0.1,1241,89.13,https://magiceden.io/item-details/Cro8jefzuevsYGgd6uyxoF68rxK6NAMKGbCh4on5zEun,Mecha Beak,Purple,Royal Hunter,Green,Dreads,Excited,,Submachine Gun
737,0.1,1789,84.7,https://magiceden.io/item-details/5rv1Fm196LYNskAaUJdAoJ847T5BjZYuqTLPYonLAXvJ,Bone Mask,Blue,Casual Tee,Blue,Slicked Back,Tongue Out,,Scythe
816,0.02,2671,78.37,https://magiceden.io/item-details/5Z8iwGDn3QtmeXLNe542rpSU4tH9aHMtSLG3HF7qzXTU,Box Earrings,Blue,Bandit Tee,Sky,Slicked Back,Annoyed,,Dual Swords
