id,price,moonRank,💎 score (%),storeURL
0013,0.09,2750,60.77,https://magiceden.io/item-details/EbixA3pgvNFqVtrZQ4dGpx4hm6oNYWwJCLaS5Yy4Y6XZ
0620,0.12,NaN,0,https://magiceden.io/item-details/543Srgpr4i2DbmbDF275H61ux4TRQDcFpJGp6RfT9gxG
0640,0.099,941,86.49,https://magiceden.io/item-details/3xcPY3dRezTmJnafsBcnRwno7RheAtKbR51QVA65RMXZ
0718,0.099,2772,60.37,https://magiceden.io/item-details/E3W9N823LRfnSGwnpxoSkePFmxj7euZQ8zgGrkFPZtB4
0738,0.1,NaN,0,https://magiceden.io/item-details/9caXWKSiRYDw28CTc9A4U5pAd1ABT3ovL9kxVKwRxtp1
0968,0.11,NaN,0,https://magiceden.io/item-details/6eX15cEqB3FzVSbZSf4Wm9n8dRMbnEQKnAwVH4fxzKqs
0973,0.09,1704,75.69,https://magiceden.io/item-details/6HRgby1FaWnvrm1EcsDwa92fd2rtoe83LF2ATfkiqPYD
1381,0.122,1862,73.12,https://magiceden.io/item-details/GayVB7JKbWSUB9V3oXpZwqXcaWuU1qdFHWVVVG2Bqbyf
1779,0.099,631,90.91,https://magiceden.io/item-details/C7VfsZ48KYD7YH9ZAGrDxwhJRYqka32gugwNQZismUqK
1834,0.1,NaN,0,https://magiceden.io/item-details/CfKaTsWXA1ZtapaJXTMoVQPFkRPfYjjfiDkPLqcVPNSz
1844,0.09,556,92.07,https://magiceden.io/item-details/FULW9CaQ1MJ3MJn6ZwYCsmNqYPLEQmZfvJcmqHJac56q
1953,0.1,1226,82.41,https://magiceden.io/item-details/3THgGE66rYg4LuCdKiJhbPiHBcUsUyTB1bnLiVgHTr5f
2811,0.1,NaN,0,https://magiceden.io/item-details/EX79sH8K94N7XzgJBpTk9QLvND5DQYgRomXwKecnZvz5
2850,0.099,1477,78.84,https://magiceden.io/item-details/HfrUB6qQKUaUQDoUqLnW6VpoMDNJHsMG9JVkPt1YfQCJ
2865,0.09,328,95.32,https://magiceden.io/item-details/3HJQwFYbHrQLanvGgKCzCThJ1zh5ZxBfm6F3A8T8Shxd
2888,0.09,2804,60,https://magiceden.io/item-details/8XGFz88bAjfwowxwSasKdCsYfunMzVU1LMkKHKUir6vz
2967,0.1,NaN,0,https://magiceden.io/item-details/J7poUMsUMC4Z2rzHTHz92s5xgUHJezRZ6i4Hz4ZB2kuc
3113,0.09,926,86.79,https://magiceden.io/item-details/7Enx5J5cXnbeC4x3SQUhGVNRYKVoD9t5Y4sfcuzPWQ6
3308,0.1,NaN,0,https://magiceden.io/item-details/AcN9jNTyWiohAJRLv97mk5GhRaj7PUHHtcQknn3ffXp9
