id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
93,6,6807,52.89,https://magiceden.io/item-details/4HQxz9t7mECYEPuycqYx4ms8osBqgqSCsmCGnaJHxrHj,Alabaster,,Jaded,Backwards Cap Camo,Closed,Turtleneck Green,Natural
141,10,1485,40.34,https://magiceden.io/item-details/GBCSVVMGLh8fZWpBXQPU58RJy9F5T5mSUHJnDEj4anoz,Amaranth,,Mutated,Valet,Grin,Sweater Green,Natural
147,5.330490405,5397,66.86,https://magiceden.io/item-details/xikjk6aecYtFdaMoD3JrdUD8yg4vSC2in6Fm7whGzia,Rose,,Synth,Backwards Cap Pink,Smug,Shirt Flannel Yellow,Natural
332,7.9,6439,35.79,https://magiceden.io/item-details/BBguLWXr4NxWVVxW9P2vVRysL6fXF2Qno24xT5Ug9B3Z,Persimmon,,Wink,Cap Pink,Fangs,Turtleneck Orange,Natural
333,5.2,4921,70.62,https://magiceden.io/item-details/Cv7PSaMApDh3RakJCjTWzksM12cEbi86xZeN3tnbbWSG,Mint,,Shades,Bowler Light,Grin,Shirt Flannel Red,Natural
381,6.9,1181,72.91,https://magiceden.io/item-details/CRFG3A4CYsPy5jHWxAB6TYNkuHE19wJ2kBt5vQovoHSg,Yellow,,Wink,Viking Light,Smirk,Shirt Flannel Yellow,Natural
450,5.7,7248,53.62,https://magiceden.io/item-details/HYCZhJr4ttfECVKBCt8cP5bkEsqc5B7YNuz4u6tFGNWA,Sand,,Raised,None,Blep,Turtleneck Blue,Natural
476,10.15,1071,40.98,https://magiceden.io/item-details/6jU8awAtL3WjarQH3QPPRVdjsSAz8S1iK5L73rvSsqj9,Mint,,Spectacles,Backwards Cap Camo,Blep,Shirt Camo,Natural
536,8.88,5225,32.25,https://magiceden.io/item-details/DoXfvdv7ep3FtPDPKyVMwyJa245QAbZNxanh646VHPrz,Amaranth,,Standard,Bucket Hat Blue,Fangs,Scarf Striped,Natural
557,5.330490405,5264,67.55,https://magiceden.io/item-details/3zy4tdgvNtjVRUnDZDEaeR7fuUH9TLyFUxFMppUAbN14,Emerald,,Sleepy,Headband Dark,Fangs,Hoodie Pink,Natural
565,10,1843,38.5,https://magiceden.io/item-details/Lnd9yzWm4Ci2nvDDoMH5yNENJNwssMnT9iwdf3doCTR,Amaranth,,Mutated,Afro,Grin,Shirt School,Natural
572,8.5,1680,54.34,https://magiceden.io/item-details/52vSP6yhPcvXKJUXDzQ4veF3cW5bR53gHTHFCDaeN6vX,Purple,,Eye Patch,Headband White,Blep,COPE,Natural
668,5.99,5765,58.37,https://magiceden.io/item-details/EeiNdcLPxNTiRt4UK4j7tTRNzf8HUH772ZUHksc6txMA,Pink,,Standard,Bucket Hat Blue,Drool,Hoodie Light,Natural
709,10.5,170,42.12,https://magiceden.io/item-details/8TZjZdnmKsZxH7YzeFe36a7jpsFkrnhYJjcn7iJ2NFdD,Emerald,,Spectacles,Viking Dark,Smile,Sweater Green,Natural
723,10,3720,28.81,https://magiceden.io/item-details/6WYFs1BC8NgceyHbmpnVT4yRn7GgWeUCVMU3F3kCX8uV,Yellow,,Mutated,Cap Blue,Smile,Turtleneck Green,Natural
748,8,4155,46.57,https://magiceden.io/item-details/4AZgiMNKCr7L7MbCn3jfX1AvE5uzQsa2mwd4kUum7nBj,Yellow,,Shades,Backwards Cap Blue,Closed,Tank Top Pink,Natural
759,9.7,745,47.16,https://magiceden.io/item-details/CEpSRRsJc2gW1WjGQs9GZEQKKhgj9sTsxYiArAv6JZFP,Rose,,Scar,Pirate,Blep,Shirt Green,Natural
796,5,5275,70.8,https://magiceden.io/item-details/6udYZZK1hnyGcNjKCRygMxUrvBoQxCFw1vfSBtWttckp,Amaranth,,Mutated,Headband Dark,Smile,Scarf Red,Natural
854,11.42,7331,0,https://magiceden.io/item-details/bfYLthg8A9BGgBuCiPjjGD9zy27ezrmsDWrUabVeBSx,Champagne,,Raised,None,Closed,Scarf Red,Natural
889,8,7551,29.06,https://magiceden.io/item-details/JDurzTd4Mr7TRFBKjt5SyEG9quUttXZBsDbW9DthfKk9,Blue,,Blank,None,Grin,Shirt Flannel Red,Natural
1029,11.5,1974,22.82,https://magiceden.io/item-details/7Qj1YFAxxDsmXbUTbDh2e3ZHsE7RPAtmY2K5UqLUY4na,Violet,,Eye Patch,Bowler Dark,Closed,Turtleneck Dark,Natural
1114,5,3618,79.34,https://magiceden.io/item-details/5PMr7a8LZwefayQukjQb4XHaTyG6hmG3yLV9oFmWcMN,Blue,,Sleepy,Backwards Cap Camo,Drool,Shirt Flannel Blue,Natural
1151,8.4,5472,35.78,https://magiceden.io/item-details/Br1g8wm1GbSYG89a7s5bZCrstELdKt5jbVn3XvuckKgy,Green,,Standard,Safari,Smug,Turtleneck Blue,Natural
1177,5,5292,70.71,https://magiceden.io/item-details/7uEcvwMvNb8FNKtz8QaB34riNfQLWHDztr1SFAFfCQjr,Alabaster,,Scar,Bucket Hat Green,Smug,Sweater Red,Natural
1207,6.69,4249,59.19,https://magiceden.io/item-details/6TdBHVqSwvehWnJUYCWfpkT2NABQz49chLGqFhC8z4tz,Mint,,Thug,Cap Blue,Closed,Scarf Red,Natural
1221,10.69,1383,33.97,https://magiceden.io/item-details/G7Z1EGyWqfKUcGVPwqDaYwiL1EkdXxqzhSCm64qZJKRH,Sand,,Solana,Bowler Light,Smile,Hoodie Light,Natural
1231,5,2703,84.06,https://magiceden.io/item-details/G69Rkz5Gh2G96hU8tryDkpjuCyA3MRjt5d8bJbqAXs87,Persimmon,,Sleepy,Cap Dark,Smile,Turtleneck Green,Natural
1298,5,2989,82.58,https://magiceden.io/item-details/CbrZGK8jLLF7QVVZQ2FZ9YdbVvB9GuHmpLeZSzgLXex6,Persimmon,,Synth,Bowler Dark,Closed,Turtleneck Blue,Natural
1353,8.69,6479,27.69,https://magiceden.io/item-details/4PbsHpd3QYmD5f4QXaKGhMs5bcTCcViqhmv8F8ze9LAR,Blue,,Standard,Bucket Hat Green,Smile,Shirt School,Natural
1430,6.5,1599,74.75,https://magiceden.io/item-details/3g4dAFzHM5Emcgg25gipHfQr2C7WUqcLfwAHQy9ticzd,Rose,,Synth,Valet,Drool,Shirt Flannel Blue,Natural
1437,9,849,53.62,https://magiceden.io/item-details/2mCHnqWeJLPZoKHxPwtP9UT6fAogptoYKHwP94KPC4kg,Green,,Solana,Bowler Light,Stache,Tank Top Pink,Natural
1468,12,455,25.65,https://magiceden.io/item-details/ER1iJWu6jekcKLp6xZdi1zNS2GQy2DewTus5ia8Avse1,Persimmon,,Scar,Astronaut,Fangs,Shirt Red,Natural
1561,5.5,6116,61.46,https://magiceden.io/item-details/v6QqaseXXwVXS8jw8knngDh1QWDTeVv8hF9etd6XxbN,Yellow,,Wink,Cap Blue,Grin,Sweater Red,Natural
1618,6.9,4992,53.25,https://magiceden.io/item-details/3ym4rrHQazxYyiGKQFQ1gaPiPvwsF7txSnvc4vEfgPrK,Pink,,Mutated,Bucket Hat Ivory,Grin,Shirt Flannel Red,Natural
1629,7.99,1587,59.92,https://magiceden.io/item-details/9Xpdds1nyWZmtsTQYa3coZZi6CnjK7GDFSJpH7qDVeLw,Blue,,Standard,Captain,Closed,Hoodie Pink,Natural
1635,11,3952,17.62,https://magiceden.io/item-details/GAgqt1VMja6X8thDnuziBSSPWurBoMHi4fMXAW2LM19S,Emerald,,Jaded,Valet,Smirk,Shirt Flannel Green,Natural
1637,7,1545,70.03,https://magiceden.io/item-details/5JPYsPpPrn8L4wzkiesLsHiKwUU8SR3pFvPBAwuewcNF,Champagne,,Synth,Valet,Grin,Sweater Red,Natural
1686,12,652,24.64,https://magiceden.io/item-details/AjAPTqabwXCgy1uJ9gBumyavsRZZvadwBPVWQo53eNC8,Persimmon,,Solana,COPE,Drool,Scarf Purple,Natural
1802,5.3,7716,55.21,https://magiceden.io/item-details/C1TeSJrAkzCiVifyaZNig3rp54qU7ju8fwyChVbHkmSu,Sky,,Jaded,None,Fangs,Shirt Flannel Yellow,Natural
1839,6,6774,53.06,https://magiceden.io/item-details/DvGkKTNhW8bUm2hcpunswe88UacJFNrHKLpCLPjU77CY,Green,,Jaded,Bucket Hat Green,Blep,Hoodie Green,Natural
1993,5.5,7126,56.25,https://magiceden.io/item-details/D9yicFyJHBU5b1zF5LfYfwDkFdxRqZawcWd11zykW6qC,Emerald,,Standard,Cap Pink,Closed,Turtleneck Blue,Natural
1994,7,1437,70.59,https://magiceden.io/item-details/GMeiiL4JgoK4VaULwJAXg46FWqbQUX9BTbPGC5271C1X,Pink,,Sleepy,Safari,Smile,Hoodie Light,Natural
